kegg.names labels type x y width height exp1 exp2 exp1.col exp2.col
23 C00222 C00222 compound 268 327 8 8 0.00440909449192078 -0.707973468397111 #D3D3D3 #3535F4
24 C00804 C00804 compound 265 449 8 8 -1.27486066469278 0.481953357499679 #0000FF #E9E96A
25 C01013 C01013 compound 367 327 8 8 NA NA #FFFFFF #FFFFFF
26 C00099 C00099 compound 368 388 8 8 1.86546245325154 -0.354398129647626 #FFFF00 #9E9EDE
28 C00083 C00083 compound 265 228 8 8 0.530072439966752 0.907353156986738 #E9E96A #FFFF00
81 C00109 C00109 compound 650 91 8 8 2.21148093862233 2.46007571162107 #FFFF00 #FFFF00
82 C02876 C02876 compound 775 88 8 8 -0.396439476702604 0.334693446348244 #9E9EDE #DEDE9E
83 C00163 C00163 compound 775 157 8 8 -2.05936067149331 2.00850576283162 #0000FF #FFFF00
84 C01234 C01234 compound 555 63 8 8 NA NA #FFFFFF #FFFFFF
85 C00186 C00186 compound 549 157 8 8 NA NA #FFFFFF #FFFFFF
86 C00827 C00827 compound 549 228 8 8 NA NA #FFFFFF #FFFFFF
87 C00894 C00894 compound 549 327 8 8 NA NA #FFFFFF #FFFFFF
88 C00100 C00100 compound 776 324 8 8 -0.668536461155092 -0.563895213336936 #3535F4 #6A6AE9
89 C00683 C00683 compound 777 454 8 8 NA NA #FFFFFF #FFFFFF
90 C02170 C02170 compound 867 454 8 8 -1.96117055524964 0.57083478439713 #0000FF #E9E96A
91 C02335 C02335 compound 462 388 8 8 1.65545337952371 -1.5159212540894 #FFFF00 #0000FF
92 C05668 C05668 compound 461 327 8 8 0.673934004724519 1.2852606906779 #F4F435 #FFFF00
93 C05984 C05984 compound 555 91 8 8 -0.862189515970293 -2.29011897264685 #0000FF #0000FF
94 C05989 C05989 compound 461 228 8 8 NA NA #FFFFFF #FFFFFF
95 C05983 C05983 compound 775 228 8 8 NA NA #FFFFFF #FFFFFF
96 C01213 C01213 compound 777 538 8 8 NA NA #FFFFFF #FFFFFF
106 C04225 C04225 compound 996 532 8 8 NA NA #FFFFFF #FFFFFF
109 C00091 C00091 compound 777 619 8 8 0.450403452411245 0.123937706974143 #E9E96A #D3D3D3
110 C02225 C02225 compound 996 433 8 8 NA NA #FFFFFF #FFFFFF
118 C00042 C00042 compound 888 619 8 8 0.13248856050837 -0.339686253771944 #D3D3D3 #9E9EDE
119 C04593 C04593 compound 995 619 8 8 NA NA #FFFFFF #FFFFFF
124 C00024 C00024 compound 133 227 8 8 NA NA #FFFFFF #FFFFFF
125 C00132 C00132 compound 129 649 8 8 NA NA #FFFFFF #FFFFFF
132 C01845 C01845 compound 223 520 8 8 NA NA #FFFFFF #FFFFFF
133 C00207 C00207 compound 129 520 8 8 NA NA #FFFFFF #FFFFFF
134 C00164 C00164 compound 129 454 8 8 -1.28263420001535 -0.258972930881075 #0000FF #9E9EDE
135 C00332 C00332 compound 129 379 8 8 2.00850576283162 -1.10003556276239 #FFFF00 #0000FF
137 C20783 C20783 compound 223 454 8 8 NA NA #FFFFFF #FFFFFF
142 C17530 C17530 compound 129 585 8 8 NA NA #FFFFFF #FFFFFF
146 C00033 C00033 compound 81 632 8 8 NA NA #FFFFFF #FFFFFF
151 C05979 C05979 compound 626 581 8 8 -0.372247042154403 0.870630878881159 #9E9EDE #FFFF00
154 C00479 C00479 compound 626 468 8 8 NA NA #FFFFFF #FFFFFF
162 C00111 C00111 compound 329 581 8 8 NA NA #FFFFFF #FFFFFF
163 C00583 C00583 compound 537 468 8 8 -1.07926901793147 -1.23241638922116 #0000FF #0000FF
164 C00424 C00424 compound 537 581 8 8 NA NA #FFFFFF #FFFFFF
168 C05235 C05235 compound 434 468 8 8 NA NA #FFFFFF #FFFFFF
169 C00546 C00546 compound 434 581 8 8 NA NA #FFFFFF #FFFFFF
173 C06002 C06002 compound 920 454 8 8 NA NA #FFFFFF #FFFFFF
