"p.geomean"	"stat.mean"	"p.val"	"q.val"	"set.size"	"exp1"
"hsa00970 Aminoacyl-tRNA biosynthesis"	NA	NA	NA	NA	0	NA
"hsa02010 ABC transporters"	NA	NA	NA	NA	0	NA
"hsa03008 Ribosome biogenesis in eukaryotes"	NA	NA	NA	NA	0	NA
"hsa03010 Ribosome"	NA	NA	NA	NA	0	NA
"hsa03013 RNA transport"	NA	NA	NA	NA	0	NA
"hsa03015 mRNA surveillance pathway"	NA	NA	NA	NA	0	NA
"hsa03018 RNA degradation"	NA	NA	NA	NA	0	NA
"hsa03020 RNA polymerase"	NA	NA	NA	NA	0	NA
"hsa03022 Basal transcription factors"	NA	NA	NA	NA	0	NA
"hsa03030 DNA replication"	NA	NA	NA	NA	0	NA
"hsa03040 Spliceosome"	NA	NA	NA	NA	0	NA
"hsa03050 Proteasome"	NA	NA	NA	NA	0	NA
"hsa03060 Protein export"	NA	NA	NA	NA	0	NA
"hsa03320 PPAR signaling pathway"	NA	NA	NA	NA	0	NA
"hsa03410 Base excision repair"	NA	NA	NA	NA	0	NA
"hsa03420 Nucleotide excision repair"	NA	NA	NA	NA	0	NA
"hsa03430 Mismatch repair"	NA	NA	NA	NA	0	NA
"hsa03440 Homologous recombination"	NA	NA	NA	NA	0	NA
"hsa03450 Non-homologous end-joining"	NA	NA	NA	NA	0	NA
"hsa03460 Fanconi anemia pathway"	NA	NA	NA	NA	0	NA
"hsa04010 MAPK signaling pathway"	NA	NA	NA	NA	0	NA
"hsa04012 ErbB signaling pathway"	NA	NA	NA	NA	0	NA
"hsa04020 Calcium signaling pathway"	NA	NA	NA	NA	0	NA
"hsa04060 Cytokine-cytokine receptor interaction"	NA	NA	NA	NA	0	NA
"hsa04062 Chemokine signaling pathway"	NA	NA	NA	NA	0	NA
"hsa04064 NF-kappa B signaling pathway"	NA	NA	NA	NA	0	NA
"hsa04066 HIF-1 signaling pathway"	NA	NA	NA	NA	0	NA
"hsa04070 Phosphatidylinositol signaling system"	NA	NA	NA	NA	0	NA
"hsa04080 Neuroactive ligand-receptor interaction"	NA	NA	NA	NA	0	NA
"hsa04110 Cell cycle"	NA	NA	NA	NA	0	NA
"hsa04114 Oocyte meiosis"	NA	NA	NA	NA	0	NA
