Gene	HN_1	HN_2	DCIS_1	DCIS_2
"10113"	8.209861795	7.804375013	8.243387495	8.026616652
"10130"	9.088828493	8.983822578	10.5632743	9.15807985
"10134"	10.80848794	8.880848834	11.08996412	9.445486562
"10273"	8.681796432	7.908829024	8.524141498	8.315097128
"10277"	6.963280388	7.596964798	6.651448539	7.513397644
"10294"	7.353276668	7.180148222	8.174494148	7.230111492
"10299"	7.80134384	8.958702386	8.006371746	9.186118899
"10427"	7.585033768	8.181517886	8.104558647	8.236857395
"10483"	7.864657867	7.728902756	8.346402347	8.073135098
"10484"	7.31618314	7.291960216	8.021583989	7.279719721
"10525"	8.76636469	8.608724334	9.491300706	9.66586862
"10802"	7.423181953	7.460712017	7.415729918	7.804848187
"10808"	7.649544809	8.633105029	8.864628027	8.654289392
"10905"	6.970727144	7.407310091	6.977601617	7.615553721
"10952"	10.27709626	10.44424828	10.49487105	10.75978958
"10956"	8.083646446	8.030689598	8.168326532	8.091683002
"10960"	8.952229538	7.750355623	9.665677646	8.011926746
"10961"	9.665081829	9.600714213	10.01218217	9.819442608
"10970"	7.746560651	9.239255783	8.666656188	9.280042777
"11231"	7.624406524	8.720530837	9.091096575	8.675558445
"11253"	8.669525982	8.375365861	8.717858973	8.469010245
"1388"	7.10821887	7.328733416	7.169083526	7.553574476
"1409"	6.994155105	6.990812174	6.987940059	6.991384663
"1410"	9.773393503	8.670083378	7.621353812	7.328579999
"1603"	9.168134518	9.500293134	10.74307037	10.02801587
"1649"	7.909305333	7.805594162	7.929858692	7.734453968
"1650"	9.658846198	8.942914557	9.563046491	9.254244094
"1965"	7.386518847	8.498852221	7.471209874	8.693981764
"2081"	7.057225339	7.292296225	7.094661083	7.285881522
"22824"	6.68173048	6.858684874	6.642686716	7.33501739
"22872"	8.433998054	9.157042536	9.313161594	9.64901234
"22926"	8.582396212	7.812384598	8.605523844	7.948662857
"23193"	8.751101858	8.117226841	9.128002091	8.169288998
"23471"	8.666098532	9.37662753	9.16913422	9.986576258
"23480"	8.772768491	8.505013909	9.875018242	9.124048896
"23640"	8.323935279	7.52980539	8.048146934	7.534088877
"23645"	8.755904966	7.340207809	7.465505717	8.246298363
"25956"	8.255531245	8.173817167	7.780016753	7.872148419
"26232"	9.012137153	7.604588937	7.783247383	7.228320742
"267"	8.081633519	7.725164941	8.457990705	8.457675927
"27102"	8.572899775	10.37512783	9.496353269	10.50877694
"2923"	9.362370959	9.15022129	11.16840922	9.39668278
"29927"	9.679766155	8.411048105	9.516895339	9.130830396
"29978"	7.905957103	8.198214932	8.411925318	8.249785077
"30001"	7.042490543	7.302388427	7.55198839	7.799086082
"3300"	9.373072491	9.223461634	9.034109019	9.470998099
"3301"	7.397919569	8.643237904	8.777680059	9.388974534
"3303"	11.2464586	10.85646296	11.3080441	11.09957788
"3304"	8.974392192	8.64147027	9.530057101	9.321911316
"3305"	6.802892884	7.565874545	6.8055973	7.206507455
