"p.geomean"	"stat.mean"	"p.val"	"q.val"	"set.size"	"exp1"
"hsa04930 Type II diabetes mellitus"	NA	NA	NA	NA	0	NA
"hsa04932 Non-alcoholic fatty liver disease (NAFLD)"	NA	NA	NA	NA	0	NA
"hsa04940 Type I diabetes mellitus"	NA	NA	NA	NA	0	NA
"hsa04950 Maturity onset diabetes of the young"	NA	NA	NA	NA	0	NA
"hsa05010 Alzheimer's disease"	NA	NA	NA	NA	0	NA
"hsa05012 Parkinson's disease"	NA	NA	NA	NA	0	NA
"hsa05014 Amyotrophic lateral sclerosis (ALS)"	NA	NA	NA	NA	0	NA
"hsa05016 Huntington's disease"	NA	NA	NA	NA	0	NA
"hsa05020 Prion diseases"	NA	NA	NA	NA	0	NA
"hsa05030 Cocaine addiction"	NA	NA	NA	NA	0	NA
"hsa05031 Amphetamine addiction"	NA	NA	NA	NA	0	NA
"hsa05032 Morphine addiction"	NA	NA	NA	NA	0	NA
"hsa05033 Nicotine addiction"	NA	NA	NA	NA	0	NA
"hsa05034 Alcoholism"	NA	NA	NA	NA	0	NA
"hsa05100 Bacterial invasion of epithelial cells"	NA	NA	NA	NA	0	NA
"hsa05110 Vibrio cholerae infection"	NA	NA	NA	NA	0	NA
"hsa05120 Epithelial cell signaling in Helicobacter pylori infection"	NA	NA	NA	NA	0	NA
"hsa05130 Pathogenic Escherichia coli infection"	NA	NA	NA	NA	0	NA
"hsa05131 Shigellosis"	NA	NA	NA	NA	0	NA
"hsa05132 Salmonella infection"	NA	NA	NA	NA	0	NA
"hsa05133 Pertussis"	NA	NA	NA	NA	0	NA
"hsa05134 Legionellosis"	NA	NA	NA	NA	0	NA
"hsa05140 Leishmaniasis"	NA	NA	NA	NA	0	NA
"hsa05142 Chagas disease (American trypanosomiasis)"	NA	NA	NA	NA	0	NA
"hsa05143 African trypanosomiasis"	NA	NA	NA	NA	0	NA
"hsa05144 Malaria"	NA	NA	NA	NA	0	NA
"hsa05145 Toxoplasmosis"	NA	NA	NA	NA	0	NA
"hsa05146 Amoebiasis"	NA	NA	NA	NA	0	NA
"hsa05150 Staphylococcus aureus infection"	NA	NA	NA	NA	0	NA
"hsa05152 Tuberculosis"	NA	NA	NA	NA	0	NA
"hsa05160 Hepatitis C"	NA	NA	NA	NA	0	NA
"hsa05161 Hepatitis B"	NA	NA	NA	NA	0	NA
"hsa05162 Measles"	NA	NA	NA	NA	0	NA
"hsa05164 Influenza A"	NA	NA	NA	NA	0	NA
"hsa05166 HTLV-I infection"	NA	NA	NA	NA	0	NA
"hsa05168 Herpes simplex infection"	NA	NA	NA	NA	0	NA
