kegg.names	labels	all.mapped	all.mapped.symb	type	x	y	width	height	ge1	mol.col
10	4329	ALDH6A1	4329	ALDH6A1	gene	202	325	46	17	0.651534656126273	#D3D3D3
12	32	ACACB	32	ACACB	gene	202	237	46	17	-0.61674173729319	#D3D3D3
14	23417	MLYCD	23417	MLYCD	gene	202	196	46	17	1.75507493922352	#E96A6A
21	18	ABAT	18	ABAT	gene	319	378	46	17	3.87745072707586	#FF0000
29	26275	HIBCH	26275	HIBCH	gene	418	327	46	17	-1.29870064779537	#6AE96A
59	4329	ALDH6A1	4329	ALDH6A1	gene	921	390	46	17	0.651534656126273	#D3D3D3
60	4329	ALDH6A1	4329	ALDH6A1	gene	857	538	46	17	0.651534656126273	#D3D3D3
62	84693	MCEE	84693	MCEE	gene	778	494	46	17	3.45684341365511	#FF0000
63	5095	PCCA	5095,5096	PCCA,PCCB	gene	685	390	46	17	-0.698066273248544	#D3D3D3
65	55862	ECHDC1	55862	ECHDC1	gene	801	390	46	17	-0.343197448611146	#D3D3D3
67	79611	ACSS3	79611	ACSS3	gene	800	282	46	17	-0.998316126803538	#D3D3D3
68	79611	ACSS3	79611	ACSS3	gene	800	196	46	17	-0.998316126803538	#D3D3D3
70	55902	ACSS2	55902,84532	ACSS2,ACSS1	gene	750	282	46	17	-1.37727996167185	#6AE96A
71	55902	ACSS2	55902,84532	ACSS2,ACSS1	gene	750	196	46	17	-1.37727996167185	#6AE96A
77	3939	LDHA	3939,3945,3948,92483,160287	LDHA,LDHB,LDHC,LDHAL6B,LDHAL6A	gene	603	90	46	17	-2.2955524010477	#00FF00
83	1962	EHHADH	1962,3030	EHHADH,HADHA	gene	504	327	46	17	-0.624013282256377	#D3D3D3
106	34	ACADM	34	ACADM	gene	601	327	46	17	-3.97454397871237	#00FF00
111	4594	MUT	4594	MUT	gene	779	577	46	17	-1.20089615404023	#6AE96A
119	8801	SUCLG2	8801,8802,8803	SUCLG2,SUCLG1,SUCLA2	gene	835	630	46	17	1.83695807104463	#E96A6A
120	8801	SUCLG2	8801,8802,8803	SUCLG2,SUCLG1,SUCLA2	gene	835	609	46	17	1.83695807104463	#E96A6A
126	38	ACAT1	38,39	ACAT1,ACAT2	gene	130	340	46	17	0.135251385193971	#D3D3D3
