kegg.names labels type x y width height DCIS_1 DCIS_2 DCIS_3 DCIS_1.col DCIS_2.col DCIS_3.col
10 4329 ALDH6A1 gene 202 325 46 17 0.746866833206171 0.0528781211285212 -0.813691454398512 #56D348 #56D348 #56D348
12 31 ACACA gene 202 237 46 17 0.701491503097509 0.185838014760938 0.359868177470439 #56D348 #56D348 #56D348
14 23417 MLYCD gene 202 196 46 17 -0.251450396367465 -0.371508854396314 -0.219749349214628 #56D348 #56D348 #56D348
21 18 ABAT gene 319 378 46 17 2.78549061276607 -0.327235932649068 -0.636358709405431 #85E94C #56D348 #56D348
29 26275 HIBCH gene 418 327 46 17 0.769797009391658 -0.114395529428588 -0.529197665232175 #56D348 #56D348 #56D348
59 4329 ALDH6A1 gene 921 390 46 17 0.746866833206171 0.0528781211285212 -0.813691454398512 #56D348 #56D348 #56D348
60 4329 ALDH6A1 gene 857 538 46 17 0.746866833206171 0.0528781211285212 -0.813691454398512 #56D348 #56D348 #56D348
62 84693 MCEE gene 778 494 46 17 NA NA NA #FFFFFF #FFFFFF #FFFFFF
63 5095 PCCA gene 685 390 46 17 1.13344358671428 0.26075888897336 -0.0545292834639604 #56D348 #56D348 #56D348
65 55862 ECHDC1 gene 801 390 46 17 0.162456902810799 0.090195705244402 0.196080609229972 #56D348 #56D348 #56D348
67 79611 ACSS3 gene 800 282 46 17 0.0732513506532015 -0.215322044816453 0.191928577921018 #56D348 #56D348 #56D348
68 79611 ACSS3 gene 800 196 46 17 0.0732513506532015 -0.215322044816453 0.191928577921018 #56D348 #56D348 #56D348
70 55902 ACSS2 gene 750 282 46 17 NA NA NA #FFFFFF #FFFFFF #FFFFFF
71 55902 ACSS2 gene 750 196 46 17 NA NA NA #FFFFFF #FFFFFF #FFFFFF
77 3945 LDHB gene 603 90 46 17 0.365771841560694 0.280045857822616 0.16272196646702 #56D348 #56D348 #56D348
83 1892 ECHS1 gene 504 327 46 17 -0.0173607340663509 0.187065031904917 -0.0592526832311133 #56D348 #56D348 #56D348
106 34 ACADM gene 601 327 46 17 0.731463851750625 0.318627337872371 -0.578561623518672 #56D348 #56D348 #56D348
111 4594 MUT gene 779 577 46 17 0.413144631593626 0.0633322291375098 -0.368994198490086 #56D348 #56D348 #56D348
119 8801 SUCLG2 gene 835 630 46 17 1.13331986267737 0.24228512053068 -0.0493623033171513 #56D348 #56D348 #56D348
120 8801 SUCLG2 gene 835 609 46 17 1.13331986267737 0.24228512053068 -0.0493623033171513 #56D348 #56D348 #56D348
126 38 ACAT1 gene 130 340 46 17 0.913237841055567 0.0782392002726251 0.194789224982092 #56D348 #56D348 #56D348
