kegg.names labels type x y width height DCIS_1 DCIS_2 DCIS_3 DCIS_1.col DCIS_2.col DCIS_3.col
26 56954 NIT2 gene 738 425 46 17 0.613107464976522 0.236311651589943 -0.285623197188588 #D3D3D3 #D3D3D3 #6AE96A
28 440 ASNS gene 633 258 46 17 0.209115594119575 -0.00101619794014418 -0.240169170279627 #D3D3D3 #9EDE9E #6AE96A
37 339983 NAT8L gene 567 195 46 17 NA NA NA #FFFFFF #FFFFFF #FFFFFF
40 259307 IL4I1 gene 594 471 46 17 NA NA NA #FFFFFF #FFFFFF #FFFFFF
42 2805 GOT1 gene 594 513 46 17 -0.031051273930965 -0.268787385082947 0.165963325920147 #9EDE9E #6AE96A #9EDE9E
43 8528 DDO gene 664 430 46 17 -0.122253670143643 -0.0148089849543638 -0.0358116356170184 #6AE96A #9EDE9E #9EDE9E
48 445 ASS1 gene 401 333 46 17 -1.06719316364411 2.93767848929357 0.44179517846098 #00FF00 #FF0000 #D3D3D3
49 159 ADSS gene 344 333 46 17 0.351966400339219 0.296897165384083 -0.0583122069683455 #D3D3D3 #D3D3D3 #9EDE9E
51 435 ASL gene 402 427 46 17 -0.331635318447181 0.125498440170224 0.174496972086957 #6AE96A #9EDE9E #9EDE9E
52 158 ADSL gene 345 427 46 17 -0.22515854019745 0.199381211938876 -0.16237000262635 #6AE96A #9EDE9E #6AE96A
54 189 AGXT gene 129 380 46 17 -0.0405589402456732 -0.00149903907992233 0.0150834782297462 #9EDE9E #9EDE9E #9EDE9E
56 2875 GPT gene 41 411 46 17 -0.273465260512554 -0.00896627824714447 0.103773101073535 #6AE96A #9EDE9E #9EDE9E
63 790 CAD gene 567 134 46 17 -0.274191949570089 0.192467429405394 0.176530171220595 #6AE96A #9EDE9E #9EDE9E
77 7915 ALDH5A1 gene 295 646 46 17 1.48455945973572 0.323613475420394 -0.730358424127738 #F43535 #D3D3D3 #00FF00
84 2746 GLUD1 gene 537 657 46 17 0.628117944401256 0.506159171968892 -0.700372832389146 #D3D3D3 #D3D3D3 #00FF00
88 18 ABAT gene 338 693 46 17 2.78549061276607 -0.327235932649068 -0.636358709405431 #FF0000 #6AE96A #35F435
90 2571 GAD1 gene 528 704 46 17 0.542708521195671 -0.16955354297571 -0.0407009919530434 #D3D3D3 #6AE96A #9EDE9E
93 2752 GLUL gene 749 701 46 17 1.40974942455385 0.638972132616143 0.79254613037268 #F43535 #D3D3D3 #D3D3D3
96 2744 GLS gene 749 743 46 17 0.0632707302740689 0.487554344936229 -0.003788479768971 #9EDE9E #D3D3D3 #9EDE9E
101 790 CAD gene 834 779 46 17 -0.274191949570089 0.192467429405394 0.176530171220595 #6AE96A #9EDE9E #9EDE9E
104 1373 CPS1 gene 764 818 46 17 -0.349242803658333 -1.02115761647119 -0.88896854587507 #6AE96A #00FF00 #00FF00
109 56954 NIT2 gene 760 573 46 17 0.613107464976522 0.236311651589943 -0.285623197188588 #D3D3D3 #D3D3D3 #6AE96A
112 8659 ALDH4A1 gene 662 778 46 17 -0.153386586524745 -0.0698329223095611 -0.042721876441262 #6AE96A #9EDE9E #9EDE9E
114 2673 GFPT1 gene 883 656 46 17 0.886486254010116 0.380859644084533 0.222116623554634 #DE9E9E #D3D3D3 #D3D3D3
116 5471 PPAT gene 882 755 46 17 -0.0530744939465393 0.171997264417619 0.00159396172396775 #9EDE9E #9EDE9E #9EDE9E
136 443 ASPA gene 567 226 46 17 0.415882702906419 -0.0660540379226182 -0.756305458998234 #D3D3D3 #9EDE9E #00FF00
138 57494 RIMKLB gene 731 185 46 17 NA NA NA #FFFFFF #FFFFFF #FFFFFF
142 284716 RIMKLA gene 862 195 46 17 NA NA NA #FFFFFF #FFFFFF #FFFFFF
144 2346 FOLH1 gene 731 226 46 17 0.068265039764019 -1.48858812631315 -1.05030682435556 #9EDE9E #00FF00 #00FF00
146 2346 FOLH1 gene 862 226 46 17 0.068265039764019 -1.48858812631315 -1.05030682435556 #9EDE9E #00FF00 #00FF00
149 57494 RIMKLB gene 810 543 46 17 NA NA NA #FFFFFF #FFFFFF #FFFFFF
151 284716 RIMKLA gene 731 206 46 17 NA NA NA #FFFFFF #FFFFFF #FFFFFF
