Genes	HN_1	DCIS_1	HN_2	DCIS_2	HN_3	DCIS_3	HN_4	DCIS_4	HN_5	DCIS_5	HN_6	DCIS_6
10000	6.765983765	6.458338962	6.921720432	6.774492738	7.010564137	6.986779329	6.958761018	6.888199087	6.949912055	6.948588968	7.220427076	7.070158945
10001	6.339474195	6.755342241	7.177369201	6.842596614	7.392610862	6.879473955	6.296570853	6.130033729	7.831221669	7.942343892	7.665247714	7.799255051
10002	6.591755029	6.790304281	6.735359294	6.773255169	6.70001556	7.041880901	6.586284892	6.501010692	6.884930793	7.652490057	7.342505104	7.500791194
10003	6.82209175	6.590538776	6.508451648	6.411858533	6.575640191	6.470912908	6.896885573	6.848871534	6.615143476	6.407087034	6.618174061	6.651618544
100048912	7.356051102	7.311143859	7.38551264	7.333481181	7.392232858	7.428623234	7.314579292	7.362657523	7.370043664	7.39724948	7.383195616	7.437643007
10004	6.941935308	6.854372937	6.883972571	6.83369532	6.8550433	6.856864433	7.021071982	7.051310329	6.767242021	6.775276414	6.873854516	6.805247024
10005	7.902341077	7.776074262	7.568751107	8.046538544	7.124198192	7.018075711	8.156610441	8.391274506	6.745535078	6.842299363	6.824044221	6.887564264
10006	7.461545693	8.111827746	8.606735695	8.801795705	8.535887465	8.530528818	7.265350759	7.039025302	8.716359302	8.798949829	8.651490918	8.582047414
10007	8.54386992	8.700561141	8.263123151	8.318474819	8.865671255	8.964533607	8.690175483	8.664467886	8.734392917	8.947001697	8.553197104	8.712556312
10009	6.688939821	6.669643383	6.654174415	6.659315789	6.685414641	6.665754316	6.709083516	6.714966344	6.679303721	6.656130144	6.688635875	6.688355049
1000	7.172920512	7.165230857	7.273051529	7.445213616	7.260165926	7.061334497	7.60327602	7.401290931	7.134808328	7.05485357	7.290075829	7.117184719
10010	7.807376029	7.456376081	7.156938554	6.79726682	8.116765383	8.062745389	6.969117583	7.164528185	7.83535651	7.585014135	7.066685095	6.943894727
100127886	6.510699038	6.325302267	6.363673846	6.353546415	6.460725792	6.51645291	6.535910314	6.538740353	6.514113645	6.540075925	6.549054073	6.587866216
100127972	6.851480698	6.846536827	6.855519295	6.853238553	6.849721947	6.852885364	6.853924958	6.857504673	6.850058559	6.852080399	6.852280219	6.851829626
100128008	7.725744227	7.536552874	7.237849381	7.286983095	7.285024088	7.285297024	7.793870791	7.915820109	7.091682037	7.013966837	7.213624325	7.088593238
100128062	8.666415893	9.705631273	9.942161204	9.974957569	9.67613292	9.333166493	8.321469464	8.044670516	9.936551898	10.19285884	9.905566461	10.31116039
100128414	6.536789653	6.536585508	6.536640256	6.536652967	6.536702761	6.536670894	6.53679498	6.536714211	6.536644701	6.536640153	6.536791166	6.536657125
100128919	7.783036161	7.606021139	7.853694822	7.784396834	7.617986391	7.613107106	7.674151148	7.832813193	7.594604936	7.62175596	7.58866646	7.521322032
100129015	6.968608934	6.956678178	6.967507966	6.967417323	6.965232252	6.966764998	6.98647205	6.992621286	6.956829077	6.949644786	6.968918511	6.96094866
100129128	6.908534493	7.076202328	6.792252311	6.739092361	6.747897199	6.754408411	7.016941499	6.94101324	6.733665753	6.649010675	6.773011111	6.703893394
100129250	7.70885839	7.510040357	7.400854115	7.460248691	7.509079977	7.461807559	7.790685886	7.712992914	7.25116514	7.254364502	7.326062694	7.278465409
100129271	7.65369444	7.45475575	7.428921913	7.447441643	7.473814955	7.477662061	7.700932017	7.526079416	7.427817109	7.328492418	7.38966143	7.324621998
100129361	7.047540243	7.753005153	7.975492352	8.343667901	7.786416413	7.567828443	6.927012077	7.086846957	7.869258701	8.393783913	7.845680662	7.813030786
100129410	6.888397498	6.888350865	6.888182974	6.88814343	6.888125858	6.8884691	6.888429558	6.888391216	6.888236868	6.888137709	6.888305231	6.88806403
100129482	6.889547851	6.742506667	7.276922029	7.119249801	7.172772557	7.103283576	6.993291678	6.842014379	6.973270098	7.035739585	7.078385647	7.218783873
100129500	7.261543283	7.125631269	7.013802403	6.951365377	7.11263745	7.285685432	7.418660637	7.265863926	6.871551135	6.877644364	6.95194742	6.972230737
