Gene	HN_1	HN_2	DCIS_1	DCIS_2
"10197"	7.4174701	8.160738738	7.438056472	8.420151639
"10213"	7.257038604	8.407058173	8.085868933	9.172375311
"23198"	9.090446551	7.42077971	8.845731522	7.634698955
"3458"	7.025114697	6.974345545	6.972253496	6.947538239
"51371"	8.942720097	8.883915087	9.805340937	9.145856235
"5682"	8.718825718	9.504525618	9.532723388	9.436954649
"5683"	7.71678017	8.723902628	7.936729943	8.519366823
"5684"	7.499302289	7.858598699	9.114067556	8.236176814
"5685"	8.141449064	9.130979674	9.490532167	9.438129594
"5686"	8.632070488	9.021483424	8.752906559	9.610049085
"5687"	9.739951236	9.922262943	9.887627131	10.26908289
"5688"	8.861477778	8.151553019	9.265526398	8.654731731
"5689"	10.23228711	10.25147153	10.25025215	10.35614847
"5690"	9.193431682	8.114895242	9.692068318	8.374974953
"5691"	8.283191355	7.716745333	8.840404758	8.1251677
"5692"	9.408761283	10.01910433	10.41803112	10.32223765
"5693"	10.1237647	10.80494431	10.52816672	11.00861811
"5694"	9.845419551	8.971470546	10.12228811	9.496864291
"5695"	8.896881691	9.873395983	9.054277766	9.909941742
"5696"	8.92733132	8.954741548	9.690893806	8.507686946
"5698"	7.769147193	8.745169609	8.597633599	8.155312247
"5699"	8.406748309	7.196051045	8.098208741	7.250135676
"5701"	9.061064021	10.81600397	10.3305559	11.06238483
"5702"	7.528734336	7.414759603	7.649950894	7.476905579
"5704"	7.734382414	7.776044019	7.765842074	8.051580855
"5705"	8.717448131	9.573050188	9.256247649	9.874526142
"5707"	8.341490778	8.482644232	8.706294486	8.948649401
"5708"	9.408177238	9.308693716	9.511381976	9.909017778
"5709"	8.5084638	7.618775179	8.436127244	7.964657926
"5710"	9.072256898	8.991464714	9.732516215	9.316058024
"5713"	8.732757088	8.175731974	8.47875849	8.304766175
"5714"	8.307802661	7.934480892	8.429854385	8.634826454
"5717"	7.942905844	7.792926716	8.472264965	8.090813702
"5718"	7.808868363	7.836385443	7.826185595	8.404803568
"5719"	8.922593434	7.827578992	8.641281381	8.021657293
"5720"	9.432929997	9.505143878	10.28313319	10.03803354
"7979"	8.071998628	6.84560721	8.946417455	7.001918194
"9491"	7.659819704	8.081327318	7.922612383	8.594586875
"9861"	7.725246276	8.636109869	8.789084773	8.888188372
