kegg.names labels type x y width height DCIS_1 DCIS_2 DCIS_3 DCIS_1.col DCIS_2.col DCIS_3.col
13 226 ALDOA gene 483 407 46 17 -0.388237477631728 0.594445759055217 0.700600330758449 #8FCE8F #DF5F5F #EF3030
37 217 ALDH2 gene 284 943 46 17 -0.478263316497739 -4.34613629514148 -2.31237882098846 #5FDF5F #00FF00 #00FF00
39 218 ALDH3A1 gene 259 964 46 17 -1.10782353543018 0.98623547077672 3.13291190120065 #00FF00 #FF0000 #FF0000
44 10327 AKR1A1 gene 487 943 46 17 0.165364091207298 0.643531590951355 0.808549274373677 #BEBEBE #EF3030 #FF0000
45 124 ADH1A gene 439 936 46 17 -0.678133943371395 -1.3495814299417 -1.1226291352513 #30EF30 #00FF00 #00FF00
47 5160 PDHA1 gene 431 853 46 17 1.61928813023456 0.304739822529199 0.1144114588981 #FF0000 #CE8F8F #BEBEBE
48 5160 PDHA1 gene 319 865 46 17 1.61928813023456 0.304739822529199 0.1144114588981 #FF0000 #CE8F8F #BEBEBE
49 1737 DLAT gene 210 865 46 17 0.211041316694135 0.212239994525739 -0.0231033732634414 #CE8F8F #CE8F8F #BEBEBE
50 3945 LDHB gene 558 864 46 17 -0.274531199948266 0.187504998224335 -0.143856148693152 #8FCE8F #BEBEBE #BEBEBE
52 5313 PKLR gene 483 770 46 17 0.0412863682385829 0.255213171532272 0.053762575507343 #BEBEBE #CE8F8F #BEBEBE
54 2023 ENO1 gene 483 701 46 17 -0.985838518838724 0.470398726041551 -0.238575130033288 #00FF00 #DF5F5F #8FCE8F
55 669 BPGM gene 458 630 46 17 0.0781839020958852 0.336940768858102 0.387786829233435 #BEBEBE #CE8F8F #CE8F8F
56 2597 GAPDH gene 458 484 46 17 -0.465361953477816 0.256379673494662 0.654492591754507 #5FDF5F #CE8F8F #EF3030
57 7167 TPI1 gene 386 449 46 17 0.132318537962421 0.78380039569006 0.365042332375278 #BEBEBE #EF3030 #CE8F8F
58 5211 PFKL gene 458 336 46 17 -1.6437603397521 -0.248543197225825 1.02894927523458 #00FF00 #8FCE8F #FF0000
59 2203 FBP1 gene 408 336 46 17 0.688871918821174 0.0365654182199666 -0.431164688223347 #EF3030 #BEBEBE #5FDF5F
61 2821 GPI gene 483 265 46 17 0.238322181255011 0.797321547498954 0.266118981111445 #CE8F8F #EF3030 #CE8F8F
62 5236 PGM1 gene 483 178 46 17 0.156322795296463 -0.102349742908553 -0.162988474019395 #BEBEBE #BEBEBE #BEBEBE
63 2821 GPI gene 385 302 46 17 0.238322181255011 0.797321547498954 0.266118981111445 #CE8F8F #EF3030 #CE8F8F
64 3098 HK1 gene 233 291 46 17 0.736322725465103 0.614081286968101 0.608808384948644 #EF3030 #EF3030 #EF3030
65 2645 GCK gene 233 312 46 17 -0.0576779971327319 0.000296897229924653 0.0205901513086575 #BEBEBE #BEBEBE #BEBEBE
66 2821 GPI gene 357 264 46 17 0.238322181255011 0.797321547498954 0.266118981111445 #CE8F8F #EF3030 #CE8F8F
68 130589 GALM gene 181 264 46 17 NA NA NA #FFFFFF #FFFFFF #FFFFFF
69 2645 GCK gene 233 239 46 17 -0.0576779971327319 0.000296897229924653 0.0205901513086575 #BEBEBE #BEBEBE #BEBEBE
70 3098 HK1 gene 233 218 46 17 0.736322725465103 0.614081286968101 0.608808384948644 #EF3030 #EF3030 #EF3030
71 2538 G6PC gene 316 193 46 17 -0.171383029143597 0.399166364814695 -0.281244649522735 #BEBEBE #CE8F8F #8FCE8F
75 1738 DLD gene 262 908 46 17 1.25941863353613 0.0419227001362179 -0.290693235986611 #FF0000 #BEBEBE #8FCE8F
76 5230 PGK1 gene 483 557 46 17 1.16138870123209 0.916661776980383 0.188501444646712 #FF0000 #FF0000 #BEBEBE
112 5105 PCK1 gene 239 726 46 17 0.765691421734735 0.929382490542468 0.278763652828901 #EF3030 #FF0000 #CE8F8F
128 669 BPGM gene 531 593 46 17 0.0766397786360695 0.451191619573753 0.395048738134434 #BEBEBE #DF5F5F #CE8F8F
129 669 BPGM gene 531 521 46 17 0.0766397786360695 0.451191619573753 0.395048738134434 #BEBEBE #DF5F5F #CE8F8F
131 55902 ACSS2 gene 96 911 46 17 NA NA NA #FFFFFF #FFFFFF #FFFFFF
133 83440 ADPGK gene 281 239 46 17 0.803260340428139 -0.0169805540210639 0.370504603961074 #FF0000 #BEBEBE #CE8F8F
134 83440 ADPGK gene 281 312 46 17 0.803260340428139 -0.0169805540210639 0.370504603961074 #FF0000 #BEBEBE #CE8F8F
140 9562 MINPP1 gene 571 630 46 17 1.4161898883682 0.396459321959504 -0.337671193590029 #FF0000 #CE8F8F #8FCE8F
