kegg.names labels type x y width height exp1 exp2 exp1.col exp2.col
113 C06311 C06311 compound 728 769 8 8 -1.0889382259589 -0.862189515970293 #0000FF #0000FF
114 C01216 C01216 compound 785 126 8 8 -0.0644550785783799 -1.23292231959711 #BEBEBE #0000FF
115 C00137 C00137 compound 85 535 8 8 -0.252197465751769 1.4906813415016 #8F8FCE #FFFF00
116 C00095 C00095 compound 787 657 8 8 NA NA #FFFFFF #FFFFFF
117 C03383 C03383 compound 366 126 8 8 2.08677580804869 -1.32469784565431 #FFFF00 #0000FF
118 C00124 C00124 compound 124 281 8 8 -0.564483970413409 1.6537538254619 #5F5FDF #FFFF00
119 C00052 C00052 compound 387 345 8 8 NA NA #FFFFFF #FFFFFF
120 C00103 C00103 compound 505 281 8 8 0.921575715615168 -0.75370546939097 #FFFF00 #3030EF
121 C00029 C00029 compound 505 219 8 8 -2.05936067149331 0.866390182002802 #0000FF #FFFF00
122 C00880 C00880 compound 581 126 8 8 NA NA #FFFFFF #FFFFFF
123 C01286 C01286 compound 785 217 8 8 1.66977582385769 0.950917578477364 #FFFF00 #FFFF00
124 C00446 C00446 compound 290 281 8 8 NA NA #FFFFFF #FFFFFF
125 C01235 C01235 compound 628 350 8 8 0.271086252203443 -0.558105179934515 #CECE8F #5F5FDF
126 C00089 C00089 compound 787 422 8 8 NA NA #FFFFFF #FFFFFF
127 C00492 C00492 compound 628 423 8 8 -0.448367894772306 -0.707973468397111 #5F5FDF #3030EF
128 C01235 C01235 compound 173 499 8 8 0.271086252203443 -0.558105179934515 #CECE8F #5F5FDF
129 C05399 C05399 compound 173 557 8 8 0.414682306421985 -1.57053803561126 #DFDF5F #0000FF
130 C05400 C05400 compound 173 619 8 8 NA NA #FFFFFF #FFFFFF
131 C05401 C05401 compound 173 681 8 8 1.33557615184017 0.645030815852192 #FFFF00 #EFEF30
132 C00116 C00116 compound 85 716 8 8 NA NA #FFFFFF #FFFFFF
133 C00159 C00159 compound 85 654 8 8 0.477890023505896 0.410873457224884 #DFDF5F #DFDF5F
134 C00794 C00794 compound 86 593 8 8 0.16426603415387 0.552940598100613 #BEBEBE #DFDF5F
135 C05396 C05396 compound 272 527 8 8 NA NA #FFFFFF #FFFFFF
136 C01113 C01113 compound 272 691 8 8 -0.064229231018129 0.164414002708098 #BEBEBE #BEBEBE
137 C00031 C00031 compound 712 657 8 8 -1.81711293313128 -0.00518646966409944 #0000FF #BEBEBE
138 C00124 C00124 compound 632 656 8 8 -0.564483970413409 1.6537538254619 #5F5FDF #FFFF00
139 C05404 C05404 compound 628 539 8 8 NA NA #FFFFFF #FFFFFF
140 C01613 C01613 compound 628 472 8 8 0.504317073451266 -0.558105179934515 #DFDF5F #5F5FDF
141 C00118 C00118 compound 989 217 8 8 NA NA #FFFFFF #FFFFFF
142 C00111 C00111 compound 1025 285 8 8 NA NA #FFFFFF #FFFFFF
143 C03785 C03785 compound 989 446 8 8 NA NA #FFFFFF #FFFFFF
144 C01097 C01097 compound 984 741 8 8 -0.248641231779698 -1.47519476850139 #8F8FCE #0000FF
145 C01697 C01697 compound 451 741 8 8 NA NA #FFFFFF #FFFFFF
146 C05796 C05796 compound 272 350 8 8 0.925728278653916 -0.0566628870622216 #FFFF00 #BEBEBE
147 C00795 C00795 compound 728 741 8 8 -0.79910070966401 0.552940598100613 #3030EF #DFDF5F
148 C00243 C00243 compound 272 403 8 8 NA NA #FFFFFF #FFFFFF
149 C01132 C01132 compound 881 459 8 8 NA NA #FFFFFF #FFFFFF
150 C06376 C06376 compound 881 547 8 8 NA NA #FFFFFF #FFFFFF
151 C06377 C06377 compound 881 638 8 8 0.00992058899222021 -0.218307914086696 #BEBEBE #8F8FCE
152 C02262 C02262 compound 831 547 8 8 NA NA #FFFFFF #FFFFFF
153 C05402 C05402 compound 708 582 8 8 0.693489738850973 0.381491724542109 #EFEF30 #CECE8F
154 C00668 C00668 compound 502 464 8 8 -2.75797298976308 -0.313848123121175 #0000FF #8F8FCE
155 C00267 C00267 compound 354 464 8 8 NA NA #FFFFFF #FFFFFF
158 C00577 C00577 compound 989 126 8 8 0.275848811267739 0.581309687369142 #CECE8F #DFDF5F
163 C02669 C02669 compound 366 170 8 8 -0.106838346958769 -0.712180070009908 #BEBEBE #3030EF
170 C00984 C00984 compound 208 281 8 8 NA NA #FFFFFF #FFFFFF
173 C03733 C03733 compound 391 404 8 8 1.86546245325154 1.08399236320271 #FFFF00 #FFFF00
