kegg.names labels type x y width height X8hTrt_8hCult1 X8hTrt_8hCult2 X8hTrt_8hCult1.col X8hTrt_8hCult2.col
37 2821 GPI gene 202 351 46 17 -0.093279037 -0.004863678 #BEBEBE #BEBEBE
40 64080 RBKS gene 401 663 46 17 -0.168201137 -0.095542478 #BEBEBE #BEBEBE
41 55276 PGM2 gene 402 695 46 17 0.490936261 0.286123534 #DF5F5F #CE8F8F
42 51071 DERA gene 262 695 46 17 -0.161422265 -0.136497812 #BEBEBE #BEBEBE
43 5631 PRPS1 gene 530 567 46 17 1.833463723 0.825999138 #FF0000 #FF0000
44 55276 PGM2 gene 628 541 46 17 0.490936261 0.286123534 #DF5F5F #CE8F8F
45 64080 RBKS gene 628 520 46 17 -0.168201137 -0.095542478 #BEBEBE #BEBEBE
46 7086 TKT gene 420 560 46 17 -0.579748444 0.096700714 #5FDF5F #BEBEBE
47 22934 RPIA gene 530 485 46 17 -0.105458834 -0.217767975 #BEBEBE #8FCE8F
48 6120 RPE gene 476 446 46 17 0.115131402 -0.120069785 #BEBEBE #BEBEBE
49 7086 TKT gene 305 446 46 17 -0.579748444 0.096700714 #5FDF5F #BEBEBE
50 226 ALDOA gene 200 562 46 17 -0.230813808 0.094586017 #8FCE8F #BEBEBE
51 5211 PFKL gene 176 493 46 17 -0.15258976 0.072598397 #BEBEBE #BEBEBE
52 2203 FBP1 gene 140 470 46 17 -0.450871268 -0.030641243 #5FDF5F #BEBEBE
53 2821 GPI gene 202 417 46 17 -0.093279037 -0.004863678 #BEBEBE #BEBEBE
56 5226 PGD gene 530 366 46 17 -0.226617712 -0.138164618 #8FCE8F #BEBEBE
57 25796 PGLS gene 451 320 46 17 -0.18217918 0.080187795 #BEBEBE #BEBEBE
58 2539 G6PD gene 280 320 46 17 -0.069410867 -0.08995415 #BEBEBE #BEBEBE
62 414328 IDNK gene 534 241 46 17 -0.045316172 -0.200533395 #BEBEBE #8FCE8F
64 9104 RGN gene 421 156 46 17 -0.127408167 -0.059269093 #BEBEBE #BEBEBE
77 6888 TALDO1 gene 364 526 46 17 -0.041972547 -0.052811179 #BEBEBE #BEBEBE
78 5236 PGM1 gene 628 562 46 17 0.270660962 0.068888965 #CE8F8F #BEBEBE
97 9563 H6PD gene 359 294 46 17 0.011792301 0.059603899 #BEBEBE #BEBEBE
