Gene.Symbol	p7Ct1B	p7KO1B	p7Ct2	p7KO2	p7Ct1	p7KO1
0610005C13Rik	7.855008296	7.78964628	7.668959198	7.800258939	7.748236949	7.764877896
0610006L08Rik	7.734641764	7.786552704	7.815145169	7.741093471	7.716834945	7.75283885
0610007N19Rik	9.376725199	9.366360252	9.485515643	9.313288645	9.300446409	9.268285885
0610007P14Rik	11.21007244	11.40073873	11.0558008	10.57652417	11.05803716	11.29873447
0610008F07Rik	7.950311319	7.864769268	7.98291429	7.861038888	7.936398042	7.933865342
0610009B14Rik	7.745570857	7.705377248	7.704322028	7.631565817	7.555198767	7.618139947
0610009B22Rik	9.125184376	9.177715424	9.793533239	9.388582917	9.446682361	9.337502151
0610009D07Rik	7.743583168	7.788276476	7.766894179	7.793828689	7.685728432	7.768031862
0610009L18Rik	7.801719645	7.7916138	7.991994386	7.949146112	7.880448022	7.80140839
0610009O20Rik	8.693927568	8.827513986	8.744524818	9.06814384	8.696206538	8.808379948
0610010F05Rik	9.048335766	8.935723801	8.708756678	8.737737091	9.074729761	8.939911358
0610010K14Rik	9.304968487	9.116647864	9.365743432	9.392630656	9.294702463	9.281772556
0610011F06Rik	8.778670434	8.883899995	8.904299369	8.777737403	8.754206477	8.801531985
0610012G03Rik	10.88054518	10.61090519	11.14553447	11.24788943	10.98639865	10.67600918
0610012H03Rik	7.730085103	7.77433504	7.771658114	7.779001182	7.727732982	7.725571297
0610025J13Rik	7.825219782	7.80917236	7.865068598	7.859477088	7.865539361	7.927273811
0610030E20Rik	8.874453445	9.022462763	8.836190609	8.775554355	8.963919298	9.058648018
0610031J06Rik	10.06283458	10.01166425	10.167855	9.994965203	9.973620176	10.05799942
0610037L13Rik	10.20435854	10.24088202	10.18383935	10.59940958	10.20860298	10.34329867
0610038B21Rik	7.84253792	7.769080315	7.786671373	8.067957521	7.705712594	7.757906871
0610039K10Rik	7.762664334	7.679386477	7.690759045	7.722698817	7.735374762	7.679441302
0610040B10Rik	8.755409847	8.60226653	8.843136496	8.990147557	8.695365172	8.712397807
0610040J01Rik	8.10581418	8.076545054	8.140102138	7.945740243	8.13343371	8.044172416
0710001D07Rik	8.48105348	8.488860838	8.600319094	8.484485932	8.510421207	8.586948556
0710007G10Rik	8.82560003	8.868602444	8.630298051	8.566521456	8.771046499	8.81140771
1010001I08Rik	7.675372169	7.753412974	7.698254517	7.733081117	7.676189638	7.680157848
1010001N08Rik	7.848854252	7.92644386	7.9019824	7.988548042	7.862035899	7.918452234
1100001G20Rik	7.764001446	7.669842195	7.686293153	7.855594384	7.71556937	7.736891047
1110001J03Rik	10.82068711	10.69867375	11.02459151	11.19418695	10.82876603	10.68557833
1110002E22Rik	7.895070081	8.200587909	7.988825551	9.683492183	7.866600004	8.174462483
1110002L01Rik	7.786194768	7.764401623	7.801802532	7.78250136	7.911832553	7.816135582
1110004E09Rik	7.887991952	7.953251967	7.93027354	7.905697868	7.878231272	7.924312716
1110004F10Rik	7.82907132	7.860180539	7.895090954	7.823883921	7.840589616	7.809122772
1110006E14Rik	8.637294052	8.951973071	8.788464921	10.06050394	8.570530093	9.081358762
1110006G14Rik	7.756316419	7.774906137	7.805799323	7.992188354	7.766362372	7.741632469
1110007C09Rik	7.91218185	7.894451488	7.92410725	7.899575589	7.914651156	7.969993279
1110008F13Rik	11.27625571	11.17559653	11.3028272	11.49223107	11.31900251	11.20801337
1110008J03Rik	8.075265455	8.115606946	8.300667769	8.042000026	8.014770235	8.196654007
1110008L16Rik	9.068524427	8.889885482	8.9179001	9.184183514	8.991277448	8.938848132
1110008P14Rik	9.883507895	9.95470487	9.947309981	10.32595331	9.809029488	9.98073321
1110012L19Rik	10.88702897	10.71303184	10.78765149	9.626275688	10.72650441	10.73551123
1110017D15Rik	8.054081921	7.788276476	8.185622807	7.834259623	8.08696034	7.785686853
1110018G07Rik	10.51067579	10.45786179	10.29647652	10.13102822	10.46151736	10.32087418
1110018N20Rik	7.877207503	7.919687868	7.887991952	8.213615722	7.890244993	7.904938704
1110019B22Rik	7.724835021	7.79031021	7.776578261	7.736891047	7.788809518	7.796372619
1110020A21Rik	7.696141819	7.698254517	7.665421565	7.771135267	7.68286582	7.753318908
1110020C17Rik	7.748721468	7.8376323	7.765787972	7.76714795	7.748920258	7.690800846
1110021P09Rik	7.765787972	7.788276476	7.779193533	7.82581892	7.730673523	7.765943606
1110025L11Rik	7.702576296	7.687505125	7.747514363	7.721127662	7.685148092	7.698208365
1110028F11Rik	7.630975826	7.717202064	7.719002458	7.709698201	7.69564463	7.662849988
1110032A03Rik	7.856809423	7.767792094	7.872182521	7.821894168	7.787237733	7.903827727
1110032F04Rik	7.703822355	7.725117546	7.744115117	7.688681848	7.730673523	7.758815252
1110034G24Rik	8.47677644	8.542379209	8.494752172	8.24039302	8.391751014	8.510741946
1110035H17Rik	8.03041042	8.013355339	8.03289619	8.042274828	7.952539588	8.000712653
1110037F02Rik	9.01172458	8.9272465	9.031838027	9.091587818	9.088471289	8.920114457
1110038B12Rik	10.68306524	10.63433764	10.64430108	10.50084294	10.6846531	10.60587455
1110038F14Rik	9.45798497	9.882794813	9.930662314	9.785320617	9.696355379	9.62012826
1110051M20Rik	7.700868701	7.661327009	7.720576376	7.811679504	7.70460393	7.760070653
1110057K04Rik	9.435723609	9.03502771	8.790281775	8.437799603	9.284843607	9.123779885
1110057P08Rik	7.781753619	7.778529921	7.780382482	7.787479476	7.775477015	7.774374832
1110058L19Rik	10.92765047	11.15100168	11.22287506	11.51002392	10.934467	11.07272318
1110059E24Rik	10.50324097	10.45002873	10.68557833	10.65436043	10.59940958	10.57906198
1110059G02Rik	10.38274243	10.1994854	10.18331302	10.27387467	10.34139089	10.26370914
1110059G10Rik	8.30600566	8.209944764	8.139223311	8.112859005	8.290623957	8.146178456
1110059M19Rik	7.813911218	8.106192737	7.964964035	10.09909852	7.831697736	8.035437914
1110065P20Rik	8.858817148	8.778670434	9.356850645	8.70353629	8.93655917	8.829779639
1190002F15Rik	9.666806149	9.642268339	9.521840207	9.626275688	9.576289385	9.69840899
1190002N15Rik	9.653829515	9.397624141	9.315628149	9.522447026	9.506683303	9.420033324
1190003J15Rik	7.923195362	7.974016044	7.873744444	8.137784442	7.945191258	7.99313993
1190003K10Rik	7.819832443	7.831965509	7.828203888	7.828482178	7.792802529	7.859649581
1190005I06Rik	8.004417598	7.92532349	8.049204718	7.987964552	7.875522938	7.911873011
1190007I07Rik	8.309250698	8.185493907	8.325847314	8.600319094	8.366198308	8.265647755
1190028D05Rik	7.848306735	7.862790325	7.739142238	7.843001821	7.866600004	7.852606003
1200007C13Rik	7.831062191	7.776618003	7.758916732	7.72616151	7.787237733	7.779620153
1200011I18Rik	7.922719569	7.842822735	7.820690184	7.882586884	7.864311768	7.824806553
1200014J11Rik	10.06729596	10.01755034	9.910185224	9.686089187	10.1568987	9.904816593
1300002E11Rik	7.99249466	7.970532791	7.882131063	7.855594384	7.916008303	7.894768977
1300002K09Rik	7.739097732	7.82291866	7.810787474	7.689171484	7.757855249	7.73151009
1300015D01Rik	7.845454087	7.841681676	7.785118615	7.81669079	7.869597882	7.862696946
1300017J02Rik	8.412899516	8.081602313	8.163701028	8.220815477	8.557556122	8.055228681
1300018J18Rik	8.741615309	8.70206516	8.804490824	8.574107561	8.739725728	8.738230031
1500002C15Rik	7.901731412	7.932450195	7.864034669	7.793828689	7.88092494	7.96141247
1500002K03Rik	7.830494267	7.77543714	7.80917236	7.754246278	7.756214753	7.773379336
1500002O10Rik	7.864769268	7.800798621	7.826438646	7.825219782	7.758865152	7.756376575
1500004F05Rik	8.732705888	8.683207235	8.900862852	8.904888487	8.778793494	8.698027062
1500005C15Rik	7.806527278	7.847090886	7.884467809	7.827652973	7.81923003	7.821162193
1500009L16Rik	8.591667696	8.518689515	8.676271934	8.844665283	8.528257645	8.598878145
1500010C09Rik	7.816178234	7.800798621	7.706064571	7.806011666	7.756214753	7.796979932
1500011B03Rik	8.826864829	8.81215228	8.95187705	8.469138924	8.796902886	8.889391142
1500011K16Rik	10.37680802	10.44390479	10.5689828	10.86459912	10.32471732	10.38024761
1500012F01Rik	11.45105872	11.5854967	11.69333427	11.89300425	11.48681472	11.6081429
1500012K07Rik	7.78306932	7.688049123	7.744750147	7.731012729	7.814052095	7.744541408
1500015A07Rik	7.844320248	7.741677531	7.788985721	7.817140721	7.794705822	7.807538498
1500015L24Rik	7.782372498	7.756112541	7.802932678	7.774374832	7.774996843	7.876409414
1500015O10Rik	10.27769123	10.49761434	10.75354926	10.74344407	10.16304847	10.64772878
1500017E21Rik	7.811329844	7.860180539	7.775516782	8.047699813	7.797213535	7.896616889
1500026H17Rik	7.846669709	7.857665191	7.844139245	7.840181096	7.799513049	7.819138475
1500032L24Rik	11.56008805	11.59662926	11.7978134	11.72185744	11.54934634	11.55819103
1500032P08Rik	7.851219744	7.851133964	7.896447429	7.876149614	7.87369719	7.852606003
