kegg.names labels type x y width height kegg.names mol.col
40 C11557 C11557 compound 426 95 8 8 NA #FFFFFF
42 C11555 C11555 compound 53 377 8 8 NA #FFFFFF
83 C01272 C01272 compound 115 271 8 8 NA #FFFFFF
84 C01204 C01204 compound 167 513 8 8 NA #FFFFFF
85 C01245 C01245 compound 229 237 8 8 NA #FFFFFF
86 C01243 C01243 compound 230 303 8 8 NA #FFFFFF
87 C01284 C01284 compound 233 435 8 8 NA #FFFFFF
88 C04520 C04520 compound 233 513 8 8 NA #FFFFFF
89 C04563 C04563 compound 167 578 8 8 NA #FFFFFF
90 C04477 C04477 compound 233 377 8 8 NA #FFFFFF
91 C04579 C04579 compound 109 578 8 8 NA #FFFFFF
92 C04063 C04063 compound 343 303 8 8 NA #FFFFFF
93 C04062 C04062 compound 716 366 8 8 NA #FFFFFF
94 C01220 C01220 compound 343 237 8 8 NA #FFFFFF
95 C00092 C00092 compound 364 263 8 8 NA #FFFFFF
96 C04006 C04006 compound 443 303 8 8 NA #FFFFFF
97 C03546 C03546 compound 443 237 8 8 NA #FFFFFF
98 C00191 C00191 compound 459 483 8 8 NA #FFFFFF
99 C01177 C01177 compound 716 303 8 8 NA #FFFFFF
100 C04549 C04549 compound 845 155 8 8 NA #FFFFFF
101 C04637 C04637 compound 557 149 8 8 NA #FFFFFF
102 C01277 C01277 compound 557 225 8 8 NA #FFFFFF
103 C05981 C05981 compound 679 95 8 8 NA #FFFFFF
104 C01194 C01194 compound 845 304 8 8 NA #FFFFFF
105 C00641 C00641 compound 342 181 8 8 NA #FFFFFF
106 C03659 C03659 compound 647 398 8 8 NA #FFFFFF
107 C03660 C03660 compound 647 354 8 8 NA #FFFFFF
108 C00691 C00691 compound 666 440 8 8 NA #FFFFFF
109 C04287 C04287 compound 764 440 8 8 NA #FFFFFF
112 C16737 C16737 compound 856 440 8 8 NA #FFFFFF
113 C06892 C06892 compound 952 440 8 8 NA #FFFFFF
119 C06893 C06893 compound 1046 440 8 8 NA #FFFFFF
120 C00222 C00222 compound 985 510 8 8 NA #FFFFFF
121 C00024 C00024 compound 889 510 8 8 NA #FFFFFF
122 C00111 C00111 compound 985 557 8 8 NA #FFFFFF
123 C00118 C00118 compound 889 557 8 8 NA #FFFFFF
133 C11556 C11556 compound 845 95 8 8 NA #FFFFFF
137 C11554 C11554 compound 679 155 8 8 NA #FFFFFF
146 C20251 C20251 compound 666 555 8 8 NA #FFFFFF
148 C00137 C00137 compound 558 303 8 8 NA #FFFFFF
151 C19891 C19891 compound 558 555 8 8 NA #FFFFFF
152 C06153 C06153 compound 558 490 8 8 NA #FFFFFF
157 C19794 C19794 compound 443 377 8 8 NA #FFFFFF
160 C19799 C19799 compound 443 439 8 8 NA #FFFFFF
