kegg.names labels type x y width height ge1 mol.col
10 4329 ALDH6A1 gene 202 325 46 17 0.651534656126273 #BEBEBE
12 31 ACACA gene 202 237 46 17 -3.77868736053388 #00FF00
14 23417 MLYCD gene 202 196 46 17 1.75507493922352 #DF5F5F
21 18 ABAT gene 319 378 46 17 3.87745072707586 #FF0000
29 26275 HIBCH gene 418 327 46 17 -1.29870064779537 #5FDF5F
59 4329 ALDH6A1 gene 921 390 46 17 0.651534656126273 #BEBEBE
60 4329 ALDH6A1 gene 857 538 46 17 0.651534656126273 #BEBEBE
62 84693 MCEE gene 778 494 46 17 3.45684341365511 #FF0000
63 5095 PCCA gene 685 390 46 17 -0.698066273248544 #BEBEBE
65 55862 ECHDC1 gene 801 390 46 17 -1.39174867233746 #5FDF5F
67 79611 ACSS3 gene 800 282 46 17 -1.07379612154516 #5FDF5F
68 79611 ACSS3 gene 800 196 46 17 -1.07379612154516 #5FDF5F
70 55902 ACSS2 gene 750 282 46 17 -1.37727996167185 #5FDF5F
71 55902 ACSS2 gene 750 196 46 17 -1.37727996167185 #5FDF5F
77 3939 LDHA gene 603 90 46 17 -2.2955524010477 #00FF00
83 1962 EHHADH gene 504 327 46 17 -0.106005937628009 #BEBEBE
106 34 ACADM gene 601 327 46 17 -3.97454397871237 #00FF00
111 4594 MUT gene 779 577 46 17 -1.20089615404023 #5FDF5F
119 8801 SUCLG2 gene 835 630 46 17 2.08737165779798 #FF0000
120 8801 SUCLG2 gene 835 609 46 17 2.08737165779798 #FF0000
126 38 ACAT1 gene 130 340 46 17 -0.0862335690480795 #BEBEBE
