gene.ens	data
	0.427099947
	-0.231401444
ENSMUSG00000035566	0.403993088
ENSMUSG00000060565	-0.549921529
ENSMUSG00000074435	-0.693140396
ENSMUSG00000030075	-1.372565175
ENSMUSG00000044469	-0.07742131
ENSMUSG00000024818	-0.106045835
ENSMUSG00000044477	0.440665215
	-0.284904574
ENSMUSG00000046449	0.630174074
ENSMUSG00000032184	-1.607613406
	-0.915449724
ENSMUSG00000005148	-1.584764416
ENSMUSG00000020142	-1.115796811
ENSMUSG00000021647	0.685728033
	1.135087634
	1.092809194
	-1.083906544
ENSMUSG00000028457	-0.956458826
ENSMUSG00000017801	-1.613346849
ENSMUSG00000035435	0.997949023
ENSMUSG00000046845	0.801066684
ENSMUSG00000036816	0.820104776
ENSMUSG00000059042	-0.092793765
	-0.312251858
ENSMUSG00000053693	1.939030765
ENSMUSG00000023995	-0.68048408
ENSMUSG00000038042	-0.049079205
	0.120009371
ENSMUSG00000078816; ENSMUSG00000097449	-1.308588788
ENSMUSG00000028441	0.592555017
	-1.040384374
ENSMUSG00000039676	-1.195258394
	-1.83542331
ENSMUSG00000024542	0.096165331
	0.190654793
ENSMUSG00000056564	0.361482118
ENSMUSG00000005949	0.933996998
	-0.852917508
	-0.383031125
ENSMUSG00000068745	0.120376285
ENSMUSG00000020832	0.930731002
ENSMUSG00000091897	0.152532047
ENSMUSG00000082101	2.280282024
ENSMUSG00000024497	1.337015979
ENSMUSG00000064177	-0.645499834
ENSMUSG00000055188	-0.11433531
	-0.582023547
	-1.702859475
	-0.26236182
	-0.156606509
	0.214186651
	0.414845755
ENSMUSG00000030397	0.310937338
	-0.624673514
	0.823163493
	-1.140328519
ENSMUSG00000041624	1.731873868
	1.905322517
ENSMUSG00000027800	0.040356438
ENSMUSG00000058071	-0.210599639
ENSMUSG00000040706	-0.968456948
ENSMUSG00000022752	-0.084988987
ENSMUSG00000025630	-0.276889989
	0.155423969
ENSMUSG00000052736	1.963797693
ENSMUSG00000029613	0.029844483
	-2.513834582
ENSMUSG00000038173	0.638446355
ENSMUSG00000014599	-0.075591785
	-1.157335113
ENSMUSG00000039246	1.095039988
	-0.630214267
ENSMUSG00000034780	0.904738479
ENSMUSG00000074305	-0.81803077
ENSMUSG00000021807	0.185349437
ENSMUSG00000026856	0.578053066
ENSMUSG00000053111	0.903500741
	0.240543305
ENSMUSG00000026664	1.76232246
ENSMUSG00000032401	-1.085364129
ENSMUSG00000052062	-0.683662272
	0.150222975
	0.30072447
ENSMUSG00000075217	0.293185974
ENSMUSG00000034923	1.277831524
	-0.467996567
	-0.344123848
	1.602407707
ENSMUSG00000030909	-1.495975965
	2.949262031
	-0.509029411
ENSMUSG00000070907	-0.229807072
ENSMUSG00000063354	0.497661713
ENSMUSG00000032786	1.427885677
	0.139500523
ENSMUSG00000094784	-0.269097486
ENSMUSG00000095540	-0.415522816
ENSMUSG00000050379	-0.891155821
	0.493732429
ENSMUSG00000004056	-0.262536348
	0.080092872
	-0.899491403
ENSMUSG00000045052	-0.599870295
ENSMUSG00000097177	-1.832400765
ENSMUSG00000052981	0.168743021
ENSMUSG00000034853	1.31938503
ENSMUSG00000079423; ENSMUSG00000096756; ENSMUSG00000094337	0.744818822
ENSMUSG00000018263	1.19794176
ENSMUSG00000045377	1.682215967
ENSMUSG00000058076	1.306134785
	0.846093496
	1.273109729
ENSMUSG00000021916	0.010114792
ENSMUSG00000087659	-0.038729104
ENSMUSG00000029458	-0.418308556
ENSMUSG00000046652	-1.529625884
	-2.134240606
ENSMUSG00000071644	-1.209444838
ENSMUSG00000031596	0.511180395
ENSMUSG00000003309	0.845840774
ENSMUSG00000022661	-0.920517095
ENSMUSG00000038827	1.304077534
	-0.869767568
ENSMUSG00000078017	0.96586513
ENSMUSG00000032235	0.434907449
ENSMUSG00000053184	0.559330911
ENSMUSG00000005566	-0.314495605
	-0.082626395
	0.003251629
	0.513876515
ENSMUSG00000045519	-2.159803394
ENSMUSG00000047250	-0.912537343
ENSMUSG00000027474	-1.634071465
ENSMUSG00000079364	1.398173271
ENSMUSG00000031740	-0.315513421
	1.735727897
ENSMUSG00000039167	0.187018878
ENSMUSG00000032921	-0.205006075
ENSMUSG00000058183	0.731143554
	0.057251961
	2.397574183
ENSMUSG00000026096	-1.154818102
	-1.327410505
ENSMUSG00000080990	1.410775476
	-0.296457844
	-1.291943119
ENSMUSG00000038155; ENSMUSG00000097808	-0.105596005
	1.355843319
ENSMUSG00000041354	1.41125014
ENSMUSG00000021966	-1.790268486
	0.636246643
	-0.713056578
ENSMUSG00000042507	0.45932324
ENSMUSG00000028536	-1.514498329
ENSMUSG00000087362	0.370357643
ENSMUSG00000095664	-0.099875524
	1.26467538
ENSMUSG00000089815	0.040213409
ENSMUSG00000028861	0.930156598
ENSMUSG00000024236	-0.632220419
ENSMUSG00000058669	1.226736217
	0.747791415
	-0.795135409
	-0.755821492
ENSMUSG00000044948	0.682746021
	-0.308477398
ENSMUSG00000035429	-0.19279187
ENSMUSG00000018239	1.867302344
ENSMUSG00000063594	0.134280106
ENSMUSG00000001666	-0.4508709
ENSMUSG00000078584	-2.120176297
ENSMUSG00000028093	-2.253808367
ENSMUSG00000072814; ENSMUSG00000072821	-1.177120606
	-0.594408147
	-0.587164307
ENSMUSG00000044025	-0.812674782
ENSMUSG00000015647	1.298074796
ENSMUSG00000044338	0.682378961
	-0.280982361
	-1.51977215
	0.412564867
ENSMUSG00000042834	0.306749612
	-0.273112712
	-0.400382813
	-2.793493217
	0.940427392
	-0.667598212
ENSMUSG00000021891	-3.092290749
ENSMUSG00000021054	0.775944839
ENSMUSG00000029713	0.08397396
	1.923112822
ENSMUSG00000033382	0.006370001
ENSMUSG00000063065	1.234757875
	0.017331695
	-0.020866352
	1.378974162
	0.491562743
	1.114682385
ENSMUSG00000058290	-1.020747655
ENSMUSG00000027650	0.813735308
ENSMUSG00000073236	-0.403834297
ENSMUSG00000096468; ENSMUSG00000094714	-0.267214169
	0.105814072
ENSMUSG00000034278	1.791765471
	0.061966245
ENSMUSG00000045281	-0.266899492
	1.645181428
