exp1	exp2	exp3	exp4	exp5	exp6
AGAP002613-RA	-0.482607334068171	-0.603954164561831	-1.45336707707005	-1.03708646487533	-1.44132079395442	-0.386692951145215
AGAP000660-RA	1.08631667341789	-0.942853769649498	-0.911515370117944	1.16015060934053	-0.684463095602962	-0.88769217219027
AGAP007938-RA	1.26215627916049	1.29746711748153	1.32791162983131	0.365685624943815	-0.0702269386388606	-1.19866142083197
AGAP012872-RA	2.33979324974671	1.02114548851482	-0.467518488770427	-1.27846334973203	0.340182300307303	-0.919342867018714
AGAP005761-RA	0.272100622232084	0.682560879728441	2.11417009802317	-0.327670749434226	0.524946630385165	-0.811309238512548
AGAP006020-RA	2.94885291703691	0.638895780851853	-0.971045198905067	-0.100176495161312	0.593456140982065	0.06407157250042
AGAP011788-RB	-0.296711117283928	-0.349675866297034	0.148625579185074	0.0686419194868328	-0.596890122138759	-0.357398318380838
AGAP004374-RA	0.148368147695063	0.154093347668603	0.398680479975691	0.675202374872317	-1.1400709234436	-0.416985119634421
AGAP008062-RA	-0.748726148288181	0.283671654763943	0.955311336115043	2.9339193889636	0.0194685716793958	0.0123128526521142
AGAP003499-RA	2.09668441100946	-0.460317398531961	-0.051593474770796	-0.858407933509537	-0.0366533055714247	-0.0850471021455428
AGAP010206-RA	0.385160044065441	2.73194059204876	-0.731996823818199	-0.543427887975767	1.22956654333702	-1.39175521466811
AGAP001438-RA	1.17232561235047	-1.09126836198411	1.00085787771242	-0.0375793234785942	-1.50491804890452	0.632141252016934
AGAP003440-RA	0.104261848956774	-1.20641126711837	0.421707097934232	-0.984606307087866	-0.62317286215581	0.0949772041079733
AGAP005246-RE	-1.17002031900533	-0.27954811604602	0.0349130060035338	-1.90282199300567	0.845980370151241	0.745241819621607
AGAP000921-RA	-1.14940179194963	0.516850164298871	1.52548253273668	-0.0595185083574678	-1.44046457009169	-0.384849233854423
AGAP012134-RA	0.0338188839598624	-0.149935783019046	0.809721573369931	-0.478193316798904	0.382434297261471	-0.998342633511402
AGAP003808-RA	-0.0364467439675817	-0.87416413397623	0.715995950595671	-1.07658233695018	-0.666305787915296	-0.067872245651619
AGAP003546-RC	-1.23080838476058	-1.87812406289634	-1.12770021437088	-0.654881867991424	1.58198598805224	1.21643615185437
AGAP003587-RA	-0.345278333132629	0.973517109612976	0.976099327907057	-1.50958729229865	0.232424834098036	-1.14649744764234
AGAP011648-RA	0.339181725933186	-1.96167212982129	0.00929180843208984	0.327510303235758	-0.669126908003378	1.01794063570966
AGAP008339-RA	-0.628779412488868	0.253372620275769	-0.33005189431879	1.28649045792812	-0.439821763469433	-0.825322285860461
AGAP001799-RA	1.04821548620086	0.482492951135346	2.09694209953672	0.388685639704156	2.0431567093131	1.11032177039113
AGAP008279-RA	0.748231893462495	0.603999158554853	0.0263276950463842	0.186968016594786	1.24903773926357	-1.06280199427933
AGAP001235-RB	0.217629172804	0.18650470476006	-0.404492099229242	-0.758813409619584	1.14817848348665	-0.369795669409523
AGAP008631-RA	0.95161796996526	-0.613917542785607	-1.79522090330107	-1.28534279895311	0.356987201268117	-1.05343805712907
AGAP003488-RA	-0.462370905953606	0.404214616012915	0.236968988617422	-0.259504657138746	-1.77872282489375	-1.34833631932609
AGAP005487-RA	1.31191695509709	-1.36051451732104	-0.684352914970652	-0.382788904136123	0.486243007786966	-0.648430731780836
AGAP002423-RA	2.1773869569297	-0.239343102377491	-0.224917416565064	1.18356115458094	0.423145781112784	-0.21350234941884
AGAP008039-RA	-0.397736466401282	0.285221368196823	0.0733824295992193	-0.71416594340371	0.553173714713996	1.37075498681069
AGAP003431-RB	2.21148093862233	-1.10855330625119	0.484551911343095	0.265519886025785	-0.173232603388275	-0.534689702819621
AGAP006064-RA	0.319670094631177	1.31104828626056	0.441881605187602	-2.33727403209822	-0.646888572776372	-1.73810926380462
AGAP000372-RA	0.499060037353732	0.325174474232546	0.636940447179278	-0.271987420209489	-0.305073146669857	-1.68608884787252
AGAP004190-RA	0.0771162040753896	-1.56389759333761	0.0985292561207199	-0.359274628951572	0.0699113699469609	-0.00343519725196589
AGAP006851-RA	0.113109052231425	0.543635808165468	-0.770241467799747	-1.67806437795826	0.915183536871992	0.696484779154963
AGAP002069-RA	-0.790035534376023	0.922692752732442	0.732276854555418	-0.266597836334953	-1.28317025175985	-0.0138200715482903
AGAP001725-RA	0.771901002141324	0.563007572294674	0.908443423403746	-0.0242744900178744	-0.732662763116014	0.804029678832872
AGAP010834-RA	-1.30474651890918	0.227462053493167	0.974116555138315	-0.135629229163448	-0.46961880843892	0.491548308313477
AGAP010237-RA	0.472745401197795	0.289164787237252	-0.530237152462051	-0.452475077977006	-0.194698115667768	0.721806704602517
AGAP009230-RA	-0.607300780735178	-0.95750968840955	-0.564909088869332	-0.137200185323892	-0.79324701936835	-0.916664837582777
AGAP006876-RA	-0.617470795931227	0.920639608517799	-0.0762501293231115	-0.456364134497437	-0.952305058342557	0.791544878936384
AGAP003063-RA	1.40580933667208	-0.674115661839024	-1.43758942839161	1.0400334526802	0.359266296419333	-2.43226701828103
AGAP004917-RA	0.419230081359865	0.408390084698607	0.0168009482187257	-0.0233136130402796	-1.12257579572391	-0.689800307191015
AGAP006180-RA	-1.3587066516382	-0.65403434709846	-0.449826368083159	0.0341170386577629	-0.879252398312869	-1.53894916669928
AGAP008599-RA	0.872169159183167	-1.28403641061709	1.20066374529698	-0.443699036821618	-0.832692395510118	1.34950792315877
AGAP009805-RD	-0.300928647471441	-2.04602501085242	0.35854643332821	0.679915101621965	0.947184838396706	1.48528115836491
AGAP006085-RA	-0.718342634796677	1.14966036608496	-0.789973236410595	1.56181397601283	-0.120583831624969	0.94405225277714
