"p.geomean"	"stat.mean"	"p.val"	"q.val"	"set.size"	"exp1"	"exp2"	"exp3"	"exp4"	"exp5"	"exp6"
"aga00510 N-Glycan biosynthesis"	0.186300655805903	0.870215256524174	0.0171964943965033	0.827632576063539	35	0.227239122828125	0.149525837800593	0.366370634920573	0.097821369672917	0.260453190546118	0.131826546532328
"aga00230 Purine metabolism"	0.212573979542743	0.762921603427138	0.0311094393240944	0.827632576063539	116	0.32870536429255	0.253126504369177	0.390940535357356	0.17266543138295	0.192260890393168	0.0854494267861529
"aga00240 Pyrimidine metabolism"	0.222529212591684	0.749413442661267	0.0336032809938389	0.827632576063539	75	0.230679331359886	0.149324882461077	0.344452150607654	0.291374063777744	0.145373382774677	0.241610961487089
"aga03020 RNA polymerase"	0.19650300869941	0.729581326588614	0.0390360510358147	0.827632576063539	26	0.108969892414742	0.171873230599805	0.160362338989305	0.0615569529728312	0.709117047412637	0.43914004403578
"aga00900 Terpenoid backbone biosynthesis"	0.226532060317351	0.701134469792687	0.044980031307801	0.827632576063539	22	0.134173956592748	0.140885233275169	0.151123546696423	0.361349579810578	0.552943872514212	0.23675742411412
"aga04145 Phagosome"	0.223752918820391	0.616120132570822	0.0670645518338264	0.843384030317268	53	0.0821944543903494	0.485361097314746	0.443961078083565	0.630537729757408	0.0576014852496602	0.195081064753392
"aga00563 Glycosylphosphatidylinositol(GPI)-anchor biosynthesis"	0.217782073893591	0.58798116740998	0.0794437749999134	0.843384030317268	24	0.565610578535047	0.206304698505678	0.685395473713391	0.327344293273664	0.0172395984739475	0.236392111624153
"aga03460 Fanconi anemia pathway"	0.249369124870327	0.534536028444984	0.0976594274055452	0.843384030317268	27	0.808622055169419	0.08522778699684	0.340469140816239	0.309459191028778	0.281046925309556	0.117833645423588
"aga00910 Nitrogen metabolism"	0.282871970779019	0.506227060450266	0.112545379855412	0.843384030317268	13	0.274830203010785	0.128963099227783	0.340341375013563	0.532098824831538	0.141263395807838	0.565031794324876
"aga03040 Spliceosome"	0.260193900136373	0.488350774440728	0.116396295103688	0.843384030317268	108	0.12321145943576	0.281673944514238	0.239485414848697	0.824612564912199	0.444280489859947	0.101905735793702
"aga03440 Homologous recombination"	0.31734332706284	0.445506976976641	0.139718186380569	0.843384030317268	22	0.556095374123645	0.267248438224105	0.362852826764992	0.174016064129267	0.338032503082898	0.321983377513483
"aga03060 Protein export"	0.29233063792953	0.44794769798259	0.140125932279633	0.843384030317268	21	0.214106529457357	0.0649560384103605	0.499205897988857	0.412109901739708	0.579854866698127	0.376170297216165
"aga00983 Drug metabolism - other enzymes"	0.268892941247593	0.417507737913835	0.158492927342677	0.843384030317268	18	0.814655353369663	0.661982816714214	0.0820285976567232	0.379975448212232	0.126647077173001	0.177557811419738
"aga03030 DNA replication"	0.288918753864298	0.360500133861111	0.192165729949185	0.843384030317268	34	0.627526626540967	0.337047567570487	0.701630548298594	0.530473694796991	0.0388223889656646	0.190316500750405
"aga04146 Peroxisome"	0.275028558262994	0.353585580162786	0.194567413036035	0.843384030317268	64	0.768145049346861	0.158144148281661	0.83539220714448	0.307537204517082	0.209474662366395	0.0661989055761817
"aga04745 Phototransduction - fly"	0.26678766081857	0.35926406586779	0.196179283481037	0.843384030317268	25	0.657185753523475	0.2721815349275	0.303579843855844	0.7751177236438	0.0175164595393184	0.489058380051031
"aga04070 Phosphatidylinositol signaling system"	0.309247139392076	0.347339132949056	0.19990074266678	0.843384030317268	35	0.570896643481051	0.15315627621467	0.633577763019781	0.639483633776546	0.29782015501679	0.0829007409383684
"aga04310 Wnt signaling pathway"	0.342969249346061	0.338451390040059	0.204380398461495	0.843384030317268	56	0.246379068687491	0.223877629402744	0.678771879425398	0.537968481406305	0.263589684425199	0.306554365246246
"aga00590 Arachidonic acid metabolism"	0.352086921722438	0.326278789378164	0.216032165639627	0.843384030317268	13	0.569244077728222	0.593961906885398	0.223581097710566	0.420042154704922	0.214694272613069	0.279443380492532
"aga00480 Glutathione metabolism"	0.365133017267184	0.313896727478861	0.221856991497402	0.843384030317268	43	0.333375493445521	0.314946016773229	0.404385376799026	0.298792865585495	0.636773696786254	0.293349979705846
"aga00650 Butanoate metabolism"	0.331657519147571	0.307831550736311	0.230560218117033	0.843384030317268	14	0.335198746733487	0.467849709399062	0.0838457112341026	0.38723280114197	0.789264718975317	0.331172797042483
"aga03430 Mismatch repair"	0.2988514099975	0.305352866738602	0.234097833496089	0.843384030317268	18	0.826839766365669	0.219683246913354	0.551143614190198	0.525231394500012	0.0376322844714082	0.360029030357445
"aga00562 Inositol phosphate metabolism"	0.333231705085029	0.29283095813998	0.2396427265751	0.843384030317268	30	0.621038013991231	0.0674900162075505	0.604644393607754	0.573294547081444	0.359561457006101	0.262101316448924
"aga01040 Biosynthesis of unsaturated fatty acids"	0.369833070561565	0.263338662152879	0.263152179924476	0.843384030317268	14	0.630504618864565	0.203995953271463	0.275144005035184	0.509758276389	0.583926737787945	0.24290806406257
"aga04141 Protein processing in endoplasmic reticulum"	0.370263802255522	0.256976922272056	0.264960286093757	0.843384030317268	110	0.472159442591556	0.139310553687541	0.333282560223643	0.682189404689991	0.403405281189122	0.427106030679574
"aga03410 Base excision repair"	0.367789474223702	0.258523410892879	0.26620541858535	0.843384030317268	17	0.660657712558447	0.34466396331971	0.457122530509035	0.59274001659167	0.242435519376313	0.165474190379043
"aga00410 beta-Alanine metabolism"	0.361389394096871	0.252913008815983	0.270771426947103	0.843384030317268	18	0.293363697406282	0.380681421218831	0.143972234541385	0.62361330797572	0.729286309828024	0.304643687870876
"aga04330 Notch signaling pathway"	0.314848994977533	0.241503012468715	0.280340534098252	0.843384030317268	21	0.118526415137231	0.511161183973122	0.592090264854625	0.34437545673782	0.894136694769399	0.0881894878139675
"aga04150 mTOR signaling pathway"	0.4050874862048	0.224902218257808	0.291877540141386	0.843384030317268	31	0.243835814598327	0.459068942337201	0.440823305230747	0.457000947951656	0.439607899121761	0.44572851844565
"aga00970 Aminoacyl-tRNA biosynthesis"	0.364571786154657	0.208683473212523	0.305833897735069	0.843384030317268	43	0.72104931080839	0.324197317778294	0.151432945156989	0.524007959102585	0.691620463886002	0.183019711050093
"aga00564 Glycerophospholipid metabolism"	0.344647192480176	0.204612244870498	0.309638025383428	0.843384030317268	48	0.16175290891258	0.669311474149677	0.488853096024799	0.800397723312891	0.0884568335211478	0.447252211663366
"aga00360 Phenylalanine metabolism"	0.390780751225719	0.202961661190587	0.313104594841102	0.843384030317268	10	0.34253356447599	0.298593670699696	0.458452510530604	0.759528476597871	0.207077420964973	0.48288541129598
"aga00860 Porphyrin and chlorophyll metabolism"	0.400694951136402	0.198278466941534	0.315426869316689	0.843384030317268	19	0.22207424957238	0.539659000968496	0.310476513989924	0.32555982765128	0.547910072882429	0.623586558129607
"aga00250 Alanine, aspartate and glutamate metabolism"	0.366289555195636	0.192969682473418	0.319050357503239	0.843384030317268	29	0.250454311489433	0.163933601125261	0.575138141742418	0.865294776370039	0.390914204555008	0.302366041521524
"aga00280 Valine, leucine and isoleucine degradation"	0.380383877888762	0.180074599629771	0.33108882477916	0.843384030317268	31	0.36234479008568	0.350072659953669	0.116364991013419	0.440893461025465	0.774114999842327	0.601299597413869
"aga00130 Ubiquinone and other terpenoid-quinone biosynthesis"	0.401244961862901	0.173626188284861	0.337497611890515	0.843384030317268	10	0.309275018418052	0.805522485906368	0.340418633648325	0.485454436178176	0.336649020640123	0.301089694283912
"aga00514 Other types of O-glycan biosynthesis"	0.38150517833294	0.163009752300461	0.351469210422234	0.843384030317268	11	0.746219329080649	0.565505504670406	0.595575097912994	0.479602683946332	0.238445197605255	0.107273531137792
"aga00190 Oxidative phosphorylation"	0.350448018341794	0.132046309330171	0.374055174788224	0.843384030317268	98	0.4056847260397	0.513420038957464	0.584635209940562	0.880076060817122	0.0434305437546203	0.397996943698855
"aga00760 Nicotinate and nicotinamide metabolism"	0.40574711203008	0.126939206623635	0.380206212415072	0.843384030317268	15	0.68720700773068	0.286492559747347	0.653353673974601	0.648650658298185	0.179148263035929	0.298510694113014
"aga04320 Dorso-ventral axis formation"	0.427529205110522	0.119448049198713	0.386091755032884	0.843384030317268	25	0.519582500605045	0.551367044793482	0.645240220589087	0.509115542266584	0.187224322707805	0.346576689445075
"aga04391 Hippo signaling pathway - fly"	0.352913291153999	0.11886659888762	0.387058190954426	0.843384030317268	52	0.60283756208914	0.855737110685388	0.0554426500929232	0.582166879908997	0.199725176988767	0.580955847383888
"aga04130 SNARE interactions in vesicular transport"	0.441814908213097	0.0886252566735299	0.415091887106329	0.843384030317268	19	0.499278498381288	0.463317301079658	0.300499816763627	0.257278039412502	0.649561303458551	0.640256125970996
"aga04340 Hedgehog signaling pathway"	0.392977586167542	0.0529070885898203	0.445704838065608	0.843384030317268	23	0.269875018783828	0.319224992132404	0.948364115381229	0.593339204578209	0.18222921036641	0.416918304330486
"aga04144 Endocytosis"	0.416182534834676	0.0470150903121814	0.454390092898619	0.843384030317268	109	0.621206807738405	0.124059760796949	0.508975893084286	0.272869573072971	0.592417834073683	0.819512366948116
"aga00770 Pantothenate and CoA biosynthesis"	0.439171851311909	0.0336793767819715	0.467632027545138	0.843384030317268	10	0.762744421987646	0.279763940454434	0.56300484970999	0.351203184785505	0.231464389200786	0.734651610920097
"aga00982 Drug metabolism - cytochrome P450"	0.466632039101986	0.0268247763572386	0.473848597922037	0.843384030317268	19	0.687691574572222	0.387538722356216	0.483652346387652	0.690108406176542	0.322158505003645	0.360261871831117
"aga00565 Ether lipid metabolism"	0.40614528369476	0.0284466195837536	0.476903474365534	0.843384030317268	16	0.56274718671809	0.712806138345103	0.0664250878741471	0.729370655016123	0.348447629451664	0.662805013552311
"aga00380 Tryptophan metabolism"	0.428314711447027	0.0227297748429661	0.478745509256316	0.843384030317268	19	0.45694262166329	0.202267622166175	0.181834792823105	0.741273746574338	0.710962288089309	0.697088215330152
"aga00350 Tyrosine metabolism"	0.385604369333558	0.0219257274099022	0.479929978441646	0.843384030317268	13	0.909392144401083	0.476715685703896	0.643138328525834	0.651755717654489	0.080802747421615	0.223885345367613
"aga00260 Glycine, serine and threonine metabolism"	0.370046883236033	0.0163788758577148	0.481730787036361	0.843384030317268	32	0.885471846011199	0.262890215454323	0.163192583539855	0.315125493086315	0.229093397917329	0.936256389603824
"aga04080 Neuroactive ligand-receptor interaction"	0.450688078299139	0.0140230973393732	0.48678065234569	0.843384030317268	40	0.682876763521738	0.6156151119918	0.696838485995574	0.442117389585369	0.153905163367783	0.420418576894175
"aga00980 Metabolism of xenobiotics by cytochrome P450"	0.488489581396538	-0.0156608624003714	0.514966706471908	0.843384030317268	19	0.55678656852166	0.347827668524161	0.528406357892987	0.741202766066313	0.469313453465824	0.381690092262905
"aga00520 Amino sugar and nucleotide sugar metabolism"	0.47739977950473	-0.0212033682165413	0.520590583010785	0.843384030317268	43	0.428282047161747	0.237159926323306	0.561496704025026	0.448657338389205	0.599292865280453	0.772006600669721
"aga03015 mRNA surveillance pathway"	0.422663195377096	-0.0328559789744077	0.532234370384983	0.843384030317268	59	0.553959396531688	0.0843928191132261	0.469412099012094	0.653025077187123	0.89682702879608	0.443598773764995
"aga04140 Regulation of autophagy"	0.449959904264129	-0.0526183325742773	0.549444312329671	0.843384030317268	18	0.159150418663775	0.434167436901003	0.896550747301512	0.389197001489892	0.502993449357768	0.684338808650078
"aga00534 Glycosaminoglycan biosynthesis - heparan sulfate / heparin"	0.486336846033098	-0.0515129363985593	0.549562476965517	0.843384030317268	12	0.444361933504332	0.491514190911499	0.213871124049869	0.598240858761219	0.630722828696571	0.750729291768488
"aga04013 MAPK signaling pathway - fly"	0.505286487879001	-0.0721312604472884	0.568593894049599	0.843384030317268	17	0.820873931959791	0.423072495338061	0.542337967984415	0.476886820689722	0.418609097859666	0.442630013777138
"aga00630 Glyoxylate and dicarboxylate metabolism"	0.500320794613833	-0.0858308823368628	0.58250707782434	0.843384030317268	23	0.547973485969403	0.442928337182665	0.252960624442328	0.550471453328708	0.815088059453952	0.569385040663851
"aga03050 Proteasome"	0.465554274546018	-0.0900034233788294	0.586393592065397	0.843384030317268	39	0.165494428938996	0.509762649166604	0.730510979438932	0.382432135598886	0.488667525928973	0.884048142197809
"aga00620 Pyruvate metabolism"	0.493557736012451	-0.104369776381908	0.599817734287589	0.843384030317268	28	0.722294974251402	0.549668161214192	0.266158753838462	0.496152635799042	0.329619540294198	0.836456959590705
"aga04142 Lysosome"	0.45255195849343	-0.111195564047538	0.607551994570286	0.843384030317268	69	0.481123683776493	0.0828053715333285	0.674173932149133	0.58216156726949	0.636556317422586	0.863064248019847
"aga04350 TGF-beta signaling pathway"	0.488857079804127	-0.116796059030611	0.610006109515222	0.843384030317268	28	0.925715607447382	0.360108268808065	0.294326662927712	0.498209408606998	0.538598545889196	0.518410832133873
"aga00981 Insect hormone biosynthesis"	0.451341844262323	-0.125637752972435	0.611190574228364	0.843384030317268	13	0.613118732578724	0.609759290620433	0.330290522126593	0.344516014787586	0.962781819458516	0.206394051562342
"aga00030 Pentose phosphate pathway"	0.50505101490382	-0.119682524274486	0.613852881504135	0.843384030317268	19	0.54257619142099	0.461537303173512	0.24846313822421	0.802441263225559	0.747415439748515	0.444740483503415
"aga00561 Glycerolipid metabolism"	0.45752180046674	-0.124187495713748	0.616885961369468	0.843384030317268	30	0.273447827083005	0.666806020914749	0.592534462704969	0.9392092072954	0.525199350772008	0.172106245158879
"aga00640 Propanoate metabolism"	0.479940560337976	-0.126918307219222	0.620633063543328	0.843384030317268	15	0.487171962651512	0.151496091772386	0.411350912643283	0.677778735275704	0.859627847553722	0.690923762949099
"aga00670 One carbon pool by folate"	0.440879286554955	-0.126574264230364	0.622571170618552	0.843384030317268	12	0.642227810763545	0.192874719840409	0.119946412593594	0.751382626230178	0.81685912993724	0.805300882775204
"aga03018 RNA degradation"	0.510257947090244	-0.131995843072434	0.626050479312525	0.843384030317268	54	0.542359165944593	0.541496634174037	0.867306590048399	0.448272864772279	0.261024816971006	0.592187208334394
"aga00500 Starch and sucrose metabolism"	0.505107455207559	-0.152762310949221	0.644872828369988	0.843384030317268	23	0.632926440889587	0.553914748279628	0.176376442314819	0.470155227121033	0.826113204835301	0.691488708415799
"aga00051 Fructose and mannose metabolism"	0.526127631699863	-0.15398747150136	0.64607275654527	0.843384030317268	22	0.602933280421379	0.229575806969533	0.620432828234204	0.761888020573557	0.502701844306208	0.64484434839527
"aga04630 Jak-STAT signaling pathway"	0.520178510769379	-0.184266541964116	0.672183651998966	0.843384030317268	19	0.737283753570055	0.546354690587655	0.284465902715268	0.746163700387102	0.783802766571608	0.295620110329539
"aga03420 Nucleotide excision repair"	0.509333562017867	-0.188919603910708	0.676646303022335	0.843384030317268	39	0.896952617277852	0.376596686033488	0.544929912499732	0.511843206200005	0.24126970723736	0.768046267933594
"aga00600 Sphingolipid metabolism"	0.439925401643644	-0.201949846287902	0.686009337465814	0.843384030317268	25	0.336387288822281	0.927344657151692	0.153692113510193	0.792314122591685	0.871863398710515	0.218874949270899
