"p.geomean"	"stat.mean"	"p.val"	"q.val"	"set.size"	"DCIS_1"	"DCIS_2"
"hsa04141 Protein processing in endoplasmic reticulum"	9.27090141009179e-06	4.35563417963763	7.17838971395531e-10	8.39871596532771e-08	144	1.90962569056263e-05	4.50086178565803e-06
"hsa03050 Proteasome"	0.00177070326837733	3.01596713738114	1.93550101612508e-05	0.00113226809443317	39	0.00089475107964864	0.00350420372320022
"hsa03060 Protein export"	0.0035907417572799	2.85493520842242	8.57154991082777e-05	0.00334290446522283	18	0.000944247112460114	0.0136547162255878
"hsa03013 RNA transport"	0.018916895475951	2.03404732044657	0.00214671684742054	0.0627914677870509	122	0.0721232451839212	0.00496163107380297
"hsa04142 Lysosome"	0.0264891378567398	1.91039010062606	0.00361999517106128	0.084707887002834	110	0.00980722181593424	0.0715467068618068
"hsa04060 Cytokine-cytokine receptor interaction"	0.000155871681729001	-3.6338949895995	1.71047219738615e-07	2.00125247094179e-05	226	0.000169095868902771	0.000143681695612545
"hsa04640 Hematopoietic cell lineage"	0.00705667485661478	-2.45397624839853	0.000304674321419847	0.0178234478030611	77	0.00213752079795368	0.0232964563805186
"hsa04080 Neuroactive ligand-receptor interaction"	0.0117808859459592	-2.26494882196999	0.000704970028811822	0.0210749505722735	242	0.0196655808923592	0.00705747134708962
"hsa04514 Cell adhesion molecules (CAMs)"	0.00810771620235343	-2.27538667200317	0.000720511130676019	0.0210749505722735	115	0.0958522654617425	0.000685795601191515
"hsa04672 Intestinal immune network for IgA production"	0.0185933079220763	-2.11035615911881	0.00175562969753317	0.0410817349222761	39	0.00837029360611478	0.0413021473025259
"hsa04740 Olfactory transduction"	0.0222613234458478	-2.02411915846833	0.00235486571894858	0.0459198815194974	64	0.012613879079327	0.0392874006833347
"hsa04020 Calcium signaling pathway"	0.0312529662617083	-1.86907931187359	0.00422199681371004	0.0623259967849265	159	0.0285048570743028	0.0342660164058853
"hsa04670 Leukocyte transendothelial migration"	0.0324162686215807	-1.85085980366319	0.00461787590417306	0.0623259967849265	104	0.0473997943892418	0.0221691778389862
"hsa04630 Jak-STAT signaling pathway"	0.0335000887134829	-1.83957906803622	0.00479430744499435	0.0623259967849265	131	0.0345589695176796	0.0324736518326191
