Gene	HN_1	HN_2	DCIS_1	DCIS_2
"10952"	10.27709626	10.44424828	10.49487105	10.75978958
"11231"	7.624406524	8.720530837	9.091096575	8.675558445
"23478"	9.879218826	9.818760571	10.68527162	9.774328626
"23480"	8.772768491	8.505013909	9.875018242	9.124048896
"28972"	9.557199377	11.25355221	10.7699471	11.46674515
"29927"	9.679766155	8.411048105	9.516895339	9.130830396
"3309"	7.736453101	8.33334554	9.132672224	8.695864422
"5018"	7.534165379	8.428151528	7.642143916	8.708409624
"55176"	7.040451939	7.167174563	7.576341801	7.470062307
"58477"	8.301320811	9.483915014	8.706492725	10.3682058
"60559"	7.263843991	7.360661777	7.491386625	7.645429815
"6726"	9.307790882	9.744137476	9.781746207	9.805038686
"6727"	11.88180907	11.80040554	12.18521578	11.78176159
"6728"	9.278073495	8.843377138	9.678493318	9.46457457
"6729"	8.528940286	8.857727723	9.371746722	9.200170313
"6731"	7.30112816	8.38101226	8.212948263	8.779874339
"6734"	7.915661119	8.179639383	7.883435871	8.511994043
"7095"	8.541138082	9.553573832	9.766822306	9.608739461
