kegg.names	labels	all.mapped	type	x	y	width	height	DCIS_1	DCIS_2	DCIS_3	DCIS_1.col	DCIS_2.col	DCIS_3.col
13	226	ALDOA	226,229,230	gene	483	407	46	17	-0.388237477631728	0.594445759055217	0.700600330758449	#9EDE9E	#E96A6A	#F43535
37	217	ALDH2	217,219,223,224,501	gene	284	943	46	17	-0.478263316497739	-4.34613629514148	-2.31237882098846	#6AE96A	#00FF00	#00FF00
39	218	ALDH3A1	218,220,221,222	gene	259	964	46	17	-1.10782353543018	0.98623547077672	3.13291190120065	#00FF00	#FF0000	#FF0000
44	10327	AKR1A1	10327	gene	487	943	46	17	0.165364091207298	0.643531590951355	0.808549274373677	#D3D3D3	#F43535	#FF0000
45	124	ADH1A	124,125,126,128,130,131	gene	439	936	46	17	-0.678133943371395	-1.3495814299417	-1.1226291352513	#35F435	#00FF00	#00FF00
47	5160	PDHA1	5160,5161,5162	gene	431	853	46	17	1.61928813023456	0.304739822529199	0.1144114588981	#FF0000	#DE9E9E	#D3D3D3
48	5160	PDHA1	5160,5161,5162	gene	319	865	46	17	1.61928813023456	0.304739822529199	0.1144114588981	#FF0000	#DE9E9E	#D3D3D3
49	1737	DLAT	1737	gene	210	865	46	17	0.211041316694135	0.212239994525739	-0.0231033732634414	#DE9E9E	#DE9E9E	#D3D3D3
50	3945	LDHB	3945,3948,92483	gene	558	864	46	17	-0.274531199948266	0.187504998224335	-0.143856148693152	#9EDE9E	#D3D3D3	#D3D3D3
52	5313	PKLR	5313,5315	gene	483	770	46	17	0.0412863682385829	0.255213171532272	0.053762575507343	#D3D3D3	#DE9E9E	#D3D3D3
54	2023	ENO1	2023,2026,2027	gene	483	701	46	17	-0.985838518838724	0.470398726041551	-0.238575130033288	#00FF00	#E96A6A	#9EDE9E
55	669	BPGM	669,5224	gene	458	630	46	17	0.0781839020958852	0.336940768858102	0.387786829233435	#D3D3D3	#DE9E9E	#DE9E9E
56	2597	GAPDH	2597,26330	gene	458	484	46	17	-0.465361953477816	0.256379673494662	0.654492591754507	#6AE96A	#DE9E9E	#F43535
57	7167	TPI1	7167	gene	386	449	46	17	0.132318537962421	0.78380039569006	0.365042332375278	#D3D3D3	#F43535	#DE9E9E
58	5211	PFKL	5211,5213,5214	gene	458	336	46	17	-1.6437603397521	-0.248543197225825	1.02894927523458	#00FF00	#9EDE9E	#FF0000
59	2203	FBP1	2203,8789	gene	408	336	46	17	0.688871918821174	0.0365654182199666	-0.431164688223347	#F43535	#D3D3D3	#6AE96A
61	2821	GPI	2821	gene	483	265	46	17	0.238322181255011	0.797321547498954	0.266118981111445	#DE9E9E	#F43535	#DE9E9E
62	5236	PGM1	5236	gene	483	178	46	17	0.156322795296463	-0.102349742908553	-0.162988474019395	#D3D3D3	#D3D3D3	#D3D3D3
63	2821	GPI	2821	gene	385	302	46	17	0.238322181255011	0.797321547498954	0.266118981111445	#DE9E9E	#F43535	#DE9E9E
64	3098	HK1	3098,3099,3101,80201	gene	233	291	46	17	0.736322725465103	0.614081286968101	0.608808384948644	#F43535	#F43535	#F43535
65	2645	GCK	2645	gene	233	312	46	17	-0.0576779971327319	0.000296897229924653	0.0205901513086575	#D3D3D3	#D3D3D3	#D3D3D3
66	2821	GPI	2821	gene	357	264	46	17	0.238322181255011	0.797321547498954	0.266118981111445	#DE9E9E	#F43535	#DE9E9E
68	130589	GALM		gene	181	264	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
69	2645	GCK	2645	gene	233	239	46	17	-0.0576779971327319	0.000296897229924653	0.0205901513086575	#D3D3D3	#D3D3D3	#D3D3D3
70	3098	HK1	3098,3099,3101,80201	gene	233	218	46	17	0.736322725465103	0.614081286968101	0.608808384948644	#F43535	#F43535	#F43535
71	2538	G6PC	2538,57818,92579	gene	316	193	46	17	-0.171383029143597	0.399166364814695	-0.281244649522735	#D3D3D3	#DE9E9E	#9EDE9E
75	1738	DLD	1738	gene	262	908	46	17	1.25941863353613	0.0419227001362179	-0.290693235986611	#FF0000	#D3D3D3	#9EDE9E
76	5230	PGK1	5230,5232	gene	483	557	46	17	1.16138870123209	0.916661776980383	0.188501444646712	#FF0000	#FF0000	#D3D3D3
112	5105	PCK1	5105,5106	gene	239	726	46	17	0.765691421734735	0.929382490542468	0.278763652828901	#F43535	#FF0000	#DE9E9E
128	669	BPGM	669	gene	531	593	46	17	0.0766397786360695	0.451191619573753	0.395048738134434	#D3D3D3	#E96A6A	#DE9E9E
129	669	BPGM	669	gene	531	521	46	17	0.0766397786360695	0.451191619573753	0.395048738134434	#D3D3D3	#E96A6A	#DE9E9E
131	55902	ACSS2		gene	96	911	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
133	83440	ADPGK	83440	gene	281	239	46	17	0.803260340428139	-0.0169805540210639	0.370504603961074	#FF0000	#D3D3D3	#DE9E9E
134	83440	ADPGK	83440	gene	281	312	46	17	0.803260340428139	-0.0169805540210639	0.370504603961074	#FF0000	#D3D3D3	#DE9E9E
140	9562	MINPP1	9562	gene	571	630	46	17	1.4161898883682	0.396459321959504	-0.337671193590029	#FF0000	#DE9E9E	#9EDE9E
