"p.geomean"	"stat.mean"	"p.val"	"q.val"	"set.size"	"exp1"
"hsa00030 Pentose phosphate pathway"	0.0174719486539297	-2.1621812873153	0.0174719486539297	0.739182985442676	29	0.0174719486539297
"hsa00511 Other glycan degradation"	0.0400065942493365	-1.80579251610086	0.0400065942493365	0.739182985442676	18	0.0400065942493365
"hsa00310 Lysine degradation"	0.044021880910664	-1.72303800088862	0.044021880910664	0.739182985442676	51	0.044021880910664
"hsa00620 Pyruvate metabolism"	0.0469247127129983	-1.69706139386578	0.0469247127129983	0.739182985442676	39	0.0469247127129983
"hsa00020 Citrate cycle (TCA cycle)"	0.072531233283182	-1.4803513253464	0.072531233283182	0.739182985442676	30	0.072531233283182
"hsa00520 Amino sugar and nucleotide sugar metabolism"	0.106025788230866	-1.25657197268901	0.106025788230866	0.739182985442676	48	0.106025788230866
"hsa00010 Glycolysis / Gluconeogenesis"	0.134651747452398	-1.10948266867784	0.134651747452398	0.739182985442676	67	0.134651747452398
"hsa00330 Arginine and proline metabolism"	0.139284323271048	-1.08960160591839	0.139284323271048	0.739182985442676	50	0.139284323271048
"hsa00250 Alanine, aspartate and glutamate metabolism"	0.169854757658599	-0.962290115105299	0.169854757658599	0.739182985442676	33	0.169854757658599
"hsa00052 Galactose metabolism"	0.196937881790286	-0.859651144929025	0.196937881790286	0.739182985442676	30	0.196937881790286
"hsa00100 Steroid biosynthesis"	0.216305332259614	-0.793281553299567	0.216305332259614	0.739182985442676	20	0.216305332259614
"hsa00860 Porphyrin and chlorophyll metabolism"	0.219762819965351	-0.777444133055456	0.219762819965351	0.739182985442676	39	0.219762819965351
"hsa00563 Glycosylphosphatidylinositol(GPI)-anchor biosynthesis"	0.225271129587763	-0.762257343611556	0.225271129587763	0.739182985442676	25	0.225271129587763
"hsa00053 Ascorbate and aldarate metabolism"	0.255888406050354	-0.66123535527391	0.255888406050354	0.739182985442676	24	0.255888406050354
"hsa00120 Primary bile acid biosynthesis"	0.266474314670634	-0.630373897654365	0.266474314670634	0.739182985442676	17	0.266474314670634
"hsa00230 Purine metabolism"	0.267121689962047	-0.62219362394793	0.267121689962047	0.739182985442676	172	0.267121689962047
"hsa00480 Glutathione metabolism"	0.269863959792676	-0.615340732278442	0.269863959792676	0.739182985442676	51	0.269863959792676
"hsa00910 Nitrogen metabolism"	0.289946251675288	-0.560749195920693	0.289946251675288	0.739182985442676	14	0.289946251675288
"hsa00410 beta-Alanine metabolism"	0.29233434636571	-0.5495864402284	0.29233434636571	0.739182985442676	31	0.29233434636571
"hsa00830 Retinol metabolism"	0.301485927746882	-0.521551146930326	0.301485927746882	0.739182985442676	60	0.301485927746882
"hsa00670 One carbon pool by folate"	0.310325153917459	-0.499167324013116	0.310325153917459	0.739182985442676	20	0.310325153917459
"hsa00500 Starch and sucrose metabolism"	0.318397186990686	-0.473623821457816	0.318397186990686	0.739182985442676	53	0.318397186990686
"hsa00982 Drug metabolism - cytochrome P450"	0.325050708330259	-0.45469158376864	0.325050708330259	0.739182985442676	65	0.325050708330259
"hsa00650 Butanoate metabolism"	0.325424868161679	-0.455320619344428	0.325424868161679	0.739182985442676	26	0.325424868161679
"hsa00900 Terpenoid backbone biosynthesis"	0.34642089069864	-0.397869825313993	0.34642089069864	0.739182985442676	21	0.34642089069864
"hsa00140 Steroid hormone biosynthesis"	0.354627342975566	-0.373842134583456	0.354627342975566	0.739182985442676	55	0.354627342975566
"hsa00630 Glyoxylate and dicarboxylate metabolism"	0.354719933077641	-0.374801354115408	0.354719933077641	0.739182985442676	27	0.354719933077641
"hsa00565 Ether lipid metabolism"	0.367914945717871	-0.338530475020991	0.367914945717871	0.739182985442676	42	0.367914945717871
"hsa00980 Metabolism of xenobiotics by cytochrome P450"	0.370488716137116	-0.331215002218395	0.370488716137116	0.739182985442676	71	0.370488716137116
"hsa00450 Selenocompound metabolism"	0.388393024860091	-0.285970147707506	0.388393024860091	0.739182985442676	17	0.388393024860091
"hsa00920 Sulfur metabolism"	0.398362386763663	-0.261908414191227	0.398362386763663	0.739182985442676	10	0.398362386763663
"hsa00360 Phenylalanine metabolism"	0.400782638351015	-0.253311006733577	0.400782638351015	0.739182985442676	18	0.400782638351015
"hsa00040 Pentose and glucuronate interconversions"	0.40539066249531	-0.240475064898012	0.40539066249531	0.739182985442676	33	0.40539066249531
"hsa00532 Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate"	0.406630918131816	-0.238009043553914	0.406630918131816	0.739182985442676	19	0.406630918131816
"hsa00260 Glycine, serine and threonine metabolism"	0.443096891923889	-0.143663583576295	0.443096891923889	0.739182985442676	40	0.443096891923889
"hsa00051 Fructose and mannose metabolism"	0.461119694219517	-0.0980134550328784	0.461119694219517	0.739182985442676	32	0.461119694219517
