kegg.names	labels	all.mapped	all.mapped.symb	type	x	y	width	height	DCIS_1	DCIS_2	DCIS_3	DCIS_1.col	DCIS_2.col	DCIS_3.col
13	226	ALDOA	226,229,230	ALDOA,ALDOB,ALDOC	gene	483	407	46	17	-0.388237480000002	0.594445755999999	0.700600331	#9EDE9E	#E96A6A	#F43535
37	217	ALDH2	217,219,223,224,501	ALDH2,ALDH1B1,ALDH9A1,ALDH3A2,ALDH7A1	gene	284	943	46	17	-0.478263317000001	-4.346136307	-2.312378824	#6AE96A	#00FF00	#00FF00
39	218	ALDH3A1	218,220,221,222	ALDH3A1,ALDH1A3,ALDH3B1,ALDH3B2	gene	259	964	46	17	-1.107823536	0.986235471999999	3.132911898	#00FF00	#FF0000	#FF0000
44	10327	AKR1A1	10327	AKR1A1	gene	487	943	46	17	0.165364091000001	0.643531591	0.808549274000001	#D3D3D3	#F43535	#FF0000
45	124	ADH1A	124,125,126,128,130,131	ADH1A,ADH1B,ADH1C,ADH5,ADH6,ADH7	gene	439	936	46	17	-0.678133945000002	-1.349581431	-1.122629136	#35F435	#00FF00	#00FF00
47	5160	PDHA1	5160,5161,5162	PDHA1,PDHA2,PDHB	gene	431	853	46	17	1.619288131	0.304739822	0.114411459000001	#FF0000	#DE9E9E	#D3D3D3
48	5160	PDHA1	5160,5161,5162	PDHA1,PDHA2,PDHB	gene	319	865	46	17	1.619288131	0.304739822	0.114411459000001	#FF0000	#DE9E9E	#D3D3D3
49	1737	DLAT	1737	DLAT	gene	210	865	46	17	0.211041316	0.212239994	-0.0231033729999996	#DE9E9E	#DE9E9E	#D3D3D3
50	3945	LDHB	3945,3948,92483	LDHB,LDHC,LDHAL6B	gene	558	864	46	17	-0.274531201000002	0.187505001	-0.143856148999999	#9EDE9E	#D3D3D3	#D3D3D3
52	5313	PKLR	5313,5315	PKLR,PKM	gene	483	770	46	17	0.0412863689999998	0.255213171000001	0.0537625749999995	#D3D3D3	#DE9E9E	#D3D3D3
54	2023	ENO1	2023,2026,2027	ENO1,ENO2,ENO3	gene	483	701	46	17	-0.985838515999999	0.470398724	-0.238575129999999	#00FF00	#E96A6A	#9EDE9E
55	669	BPGM	669,5224	BPGM,PGAM2	gene	458	630	46	17	0.0781839029999993	0.336940768	0.387786829	#D3D3D3	#DE9E9E	#DE9E9E
