kegg.names	labels	all.mapped	all.mapped.symb	type	x	y	width	height	DCIS_2	DCIS_3	DCIS_2.col	DCIS_3.col
13	226	ALDOA	226,229,230	ALDOA,ALDOB,ALDOC	gene	483	407	46	17	0.419512281197989	0.700600330758451	#E96A6A	#F43535
37	217	ALDH2	217,219,223,224,501	ALDH2,ALDH1B1,ALDH9A1,ALDH3A2,ALDH7A1	gene	284	943	46	17	0.64642756493664	-2.31237882098843	#F43535	#00FF00
39	218	ALDH3A1	218,220,221,222	ALDH3A1,ALDH1A3,ALDH3B1,ALDH3B2	gene	259	964	46	17	0.9367235381915	3.1329119012007	#FF0000	#FF0000
44	10327	AKR1A1	10327	AKR1A1	gene	487	943	46	17	-0.0214524576913604	0.80854927437368	#D3D3D3	#FF0000
45	124	ADH1A	124,125,126,128,130,131	ADH1A,ADH1B,ADH1C,ADH5,ADH6,ADH7	gene	439	936	46	17	-0.295945752906579	-1.1226291352513	#9EDE9E	#00FF00
47	5160	PDHA1	5160,5161,5162	PDHA1,PDHA2,PDHB	gene	431	853	46	17	-0.481530571430929	0.1144114588981	#6AE96A	#D3D3D3
48	5160	PDHA1	5160,5161,5162	PDHA1,PDHA2,PDHB	gene	319	865	46	17	-0.481530571430929	0.1144114588981	#6AE96A	#D3D3D3
49	1737	DLAT	1737	DLAT	gene	210	865	46	17	0.29299134086922	-0.0231033732634396	#DE9E9E	#D3D3D3
50	3945	LDHB	3945,3948,92483	LDHB,LDHC,LDHAL6B	gene	558	864	46	17	0.9172562668126	-0.143856148693239	#FF0000	#D3D3D3
52	5313	PKLR	5313,5315	PKLR,PKM	gene	483	770	46	17	0.0170112097050206	0.0537625755073394	#D3D3D3	#D3D3D3
54	2023	ENO1	2023,2026,2027	ENO1,ENO2,ENO3	gene	483	701	46	17	1.1787653621176	-0.238575130033278	#FF0000	#9EDE9E
55	669	BPGM	669,5224	BPGM,PGAM2	gene	458	630	46	17	0.0642487707967092	0.38778682923344	#D3D3D3	#DE9E9E
56	2597	GAPDH	2597,26330	GAPDH,GAPDHS	gene	458	484	46	17	0.22142727285522	0.65449259175447	#DE9E9E	#F43535
57	7167	TPI1	7167	TPI1	gene	386	449	46	17	0.505754386443101	0.365042332375271	#E96A6A	#DE9E9E
58	5211	PFKL	5211,5213,5214	PFKL,PFKM,PFKP	gene	458	336	46	17	1.35036313323793	1.02894927523458	#FF0000	#FF0000
59	2203	FBP1	2203,8789	FBP1,FBP2	gene	408	336	46	17	-0.575014816712291	-0.431164688223349	#6AE96A	#6AE96A
61	2821	GPI	2821	GPI	gene	483	265	46	17	0.25685589108809	0.26611898111144	#DE9E9E	#DE9E9E
62	5236	PGM1	5236	PGM1	gene	483	178	46	17	0.0882719124937896	-0.162988474019389	#D3D3D3	#D3D3D3
63	2821	GPI	2821	GPI	gene	385	302	46	17	0.25685589108809	0.26611898111144	#DE9E9E	#DE9E9E
64	3098	HK1	3098,3099,3101,80201	HK1,HK2,HK3,HKDC1	gene	233	291	46	17	-0.209257982732298	0.608808384948611	#9EDE9E	#F43535
65	2645	GCK	2645	GCK	gene	233	312	46	17	0.00766064202596972	0.0205901513086495	#D3D3D3	#D3D3D3
66	2821	GPI	2821	GPI	gene	357	264	46	17	0.25685589108809	0.26611898111144	#DE9E9E	#DE9E9E
68	130589	GALM			gene	181	264	46	17	NA	NA	#FFFFFF	#FFFFFF
69	2645	GCK	2645	GCK	gene	233	239	46	17	0.00766064202596972	0.0205901513086495	#D3D3D3	#D3D3D3
70	3098	HK1	3098,3099,3101,80201	HK1,HK2,HK3,HKDC1	gene	233	218	46	17	-0.209257982732298	0.608808384948611	#9EDE9E	#F43535
71	2538	G6PC	2538,57818,92579	G6PC,G6PC2,G6PC3	gene	316	193	46	17	-0.17894715149077	-0.281244649522741	#D3D3D3	#9EDE9E
75	1738	DLD	1738	DLD	gene	262	908	46	17	-1.08297147534925	-0.29069323598661	#00FF00	#9EDE9E
76	5230	PGK1	5230,5232	PGK1,PGK2	gene	483	557	46	17	0.427453123763699	0.18850144464671	#E96A6A	#D3D3D3
112	5105	PCK1	5105,5106	PCK1,PCK2	gene	239	726	46	17	-0.11424601991531	0.2787636528289	#D3D3D3	#DE9E9E
128	669	BPGM	669	BPGM	gene	531	593	46	17	0.20065936450491	0.39504873813444	#DE9E9E	#DE9E9E
129	669	BPGM	669	BPGM	gene	531	521	46	17	0.20065936450491	0.39504873813444	#DE9E9E	#DE9E9E
131	55902	ACSS2			gene	96	911	46	17	NA	NA	#FFFFFF	#FFFFFF
133	83440	ADPGK	83440	ADPGK	gene	281	239	46	17	-0.0313156939830499	0.37050460396107	#D3D3D3	#DE9E9E
134	83440	ADPGK	83440	ADPGK	gene	281	312	46	17	-0.0313156939830499	0.37050460396107	#D3D3D3	#DE9E9E
140	9562	MINPP1	9562	MINPP1	gene	571	630	46	17	-0.35633434841019	-0.33767119359003	#9EDE9E	#9EDE9E
