kegg.names	labels	all.mapped	all.mapped.symb	type	x	y	width	height	DCIS_1	DCIS_2	DCIS_1.col	DCIS_2.col
13	226	ALDOA	226,229,230	ALDOA,ALDOB,ALDOC	gene	483	407	46	17	-0.388237480000002	0.594445755999999	#9EDE9E	#E96A6A
37	217	ALDH2	217,219,223,224,501	ALDH2,ALDH1B1,ALDH9A1,ALDH3A2,ALDH7A1	gene	284	943	46	17	-0.478263317000001	-4.346136307	#6AE96A	#00FF00
39	218	ALDH3A1	218,220,221,222	ALDH3A1,ALDH1A3,ALDH3B1,ALDH3B2	gene	259	964	46	17	-1.107823536	0.986235471999999	#00FF00	#FF0000
44	10327	AKR1A1	10327	AKR1A1	gene	487	943	46	17	0.165364091000001	0.643531591	#D3D3D3	#F43535
45	124	ADH1A	124,125,126,128,130,131	ADH1A,ADH1B,ADH1C,ADH5,ADH6,ADH7	gene	439	936	46	17	-0.678133945000002	-1.349581431	#35F435	#00FF00
47	5160	PDHA1	5160,5161,5162	PDHA1,PDHA2,PDHB	gene	431	853	46	17	1.619288131	0.304739822	#FF0000	#DE9E9E
48	5160	PDHA1	5160,5161,5162	PDHA1,PDHA2,PDHB	gene	319	865	46	17	1.619288131	0.304739822	#FF0000	#DE9E9E
49	1737	DLAT	1737	DLAT	gene	210	865	46	17	0.211041316	0.212239994	#DE9E9E	#DE9E9E
50	3945	LDHB	3945,3948,92483	LDHB,LDHC,LDHAL6B	gene	558	864	46	17	-0.274531201000002	0.187505001	#9EDE9E	#D3D3D3
52	5313	PKLR	5313,5315	PKLR,PKM	gene	483	770	46	17	0.0412863689999998	0.255213171000001	#D3D3D3	#DE9E9E
54	2023	ENO1	2023,2026,2027	ENO1,ENO2,ENO3	gene	483	701	46	17	-0.985838515999999	0.470398724	#00FF00	#E96A6A
55	669	BPGM	669,5224	BPGM,PGAM2	gene	458	630	46	17	0.0781839029999993	0.336940768	#D3D3D3	#DE9E9E
56	2597	GAPDH	2597,26330	GAPDH,GAPDHS	gene	458	484	46	17	-0.465361951000001	0.256379673000001	#6AE96A	#DE9E9E
57	7167	TPI1	7167	TPI1	gene	386	449	46	17	0.13231854	0.783800399999999	#D3D3D3	#F43535
58	5211	PFKL	5211,5213,5214	PFKL,PFKM,PFKP	gene	458	336	46	17	-1.643760339	-0.248543197000001	#00FF00	#9EDE9E
59	2203	FBP1	2203,8789	FBP1,FBP2	gene	408	336	46	17	0.688871919	0.0365654180000003	#F43535	#D3D3D3
61	2821	GPI	2821	GPI	gene	483	265	46	17	0.238322181000001	0.797321546999999	#DE9E9E	#F43535
62	5236	PGM1	5236	PGM1	gene	483	178	46	17	0.156322794999999	-0.102349738000001	#D3D3D3	#D3D3D3
63	2821	GPI	2821	GPI	gene	385	302	46	17	0.238322181000001	0.797321546999999	#DE9E9E	#F43535
64	3098	HK1	3098,3099,3101,80201	HK1,HK2,HK3,HKDC1	gene	233	291	46	17	0.736322720999998	0.614081288	#F43535	#F43535
65	2645	GCK	2645	GCK	gene	233	312	46	17	-0.0576779969999999	0.000296897000000129	#D3D3D3	#D3D3D3
66	2821	GPI	2821	GPI	gene	357	264	46	17	0.238322181000001	0.797321546999999	#DE9E9E	#F43535
68	130589	GALM			gene	181	264	46	17	NA	NA	#FFFFFF	#FFFFFF
69	2645	GCK	2645	GCK	gene	233	239	46	17	-0.0576779969999999	0.000296897000000129	#D3D3D3	#D3D3D3
70	3098	HK1	3098,3099,3101,80201	HK1,HK2,HK3,HKDC1	gene	233	218	46	17	0.736322720999998	0.614081288	#F43535	#F43535
71	2538	G6PC	2538,57818,92579	G6PC,G6PC2,G6PC3	gene	316	193	46	17	-0.171383027999999	0.399166364999998	#D3D3D3	#DE9E9E
75	1738	DLD	1738	DLD	gene	262	908	46	17	1.259418634	0.0419226999999998	#FF0000	#D3D3D3
76	5230	PGK1	5230,5232	PGK1,PGK2	gene	483	557	46	17	1.161388702	0.916661775999998	#FF0000	#FF0000
112	5105	PCK1	5105,5106	PCK1,PCK2	gene	239	726	46	17	0.765691421	0.929382490999998	#F43535	#FF0000
128	669	BPGM	669	BPGM	gene	531	593	46	17	0.0766397789999997	0.451191619	#D3D3D3	#E96A6A
129	669	BPGM	669	BPGM	gene	531	521	46	17	0.0766397789999997	0.451191619	#D3D3D3	#E96A6A
131	55902	ACSS2			gene	96	911	46	17	NA	NA	#FFFFFF	#FFFFFF
133	83440	ADPGK	83440	ADPGK	gene	281	239	46	17	0.80326034	-0.0169805539999999	#FF0000	#D3D3D3
134	83440	ADPGK	83440	ADPGK	gene	281	312	46	17	0.80326034	-0.0169805539999999	#FF0000	#D3D3D3
140	9562	MINPP1	9562	MINPP1	gene	571	630	46	17	1.416189889	0.396459322	#FF0000	#DE9E9E
