Compound ID	exp1	exp2
C02787	-0.542522369	1.794054441
C08521	-1.190335784	0.444865788
C01043	0.339181726	1.685581536
C11496	0.113109052	1.693447821
C07111	-0.975353135	0.669031728
C00031	-1.817112933	-0.00518647
C04146	-0.916431382	1.22325272
C02146	0.136005231	1.036819864
C07259	-0.538888312	-0.706790228
C04371	-0.715441733	1.255035393
C10287	-1.779764662	2.109538007
C12632	0.156613786	0.079541081
C03677	0.988884659	0.113109052
C09777	-0.779850608	-0.840345813
C00068	-0.864056736	0.478582668
C11301	-0.392876379	0.610488073
C06602	0.294765133	0.291874257
C06133	-0.517241265	0.064441235
C09162	0.503867318	-0.916431382
C02728	0.682598203	0.35749013
C07572	-0.158089795	-1.412365483
C02185	2.021231214	0.095699887
C07966	-1.454162351	-0.133854147
C09746	-0.769356546	0.387255308
C01913	0.306364284	2.721365112
C07330	-1.15912495	-0.19549731
C02205	0.316988871	1.369226771
C13199	-1.40422642	-0.959540342
C00933	-0.855820457	-0.254628218
C01056	-0.350776652	-0.248977359
C04579	-0.081230333	-0.915315192
C14191	-0.454968222	-0.857340215
C06238	0.781295325	-0.442872233
C15037	-0.937639709	0.368574821
C04133	0.845453336	-1.107204928
C12399	-0.261181165	-0.857340215
C01089	-0.260256643	0.084973243
C00050	0.339181726	-1.144663944
C18248	-1.278271266	-0.454968222
C09291	-1.307623987	1.136126738
C01113	-0.064229231	0.164414003
C12012	0.963580379	0.48857575
C02899	0.599617167	1.454982193
C09332	-0.686139186	-2.886465487
C08834	-1.217043279	1.298436002
C02825	-0.518851517	-0.450108808
C09664	0.192186913	-0.672144585
C13240	-0.705849246	-0.679873971
C04187	-0.372247042	-0.664138927
C04447	-0.595334865	0.602532775
C03383	2.086775808	-1.324697846
C01215	-0.548579151	-0.210320865
C00109	2.211480939	2.460075712
C02513	0.319670095	-2.179503545
C04257	0.619189652	-0.329167632
C04514	-0.381700744	-0.460485187
C03849	0.077495581	-1.144663944
C02934	0.700046292	-1.078100175
C07251	0.842014985	1.012063553
C04050	0.317400535	-1.175664469
C06940	-1.508775532	0.426890126
C03017	0.169181638	0.477885148
C15525	-0.138030229	-0.361649062
C02876	-0.396439477	0.334693446
C08267	1.168080589	-0.699677075
C00488	-0.044110015	0.010007753
C08230	-0.933706157	-1.168180796
C16677	-1.147964933	-0.081230333
C03338	-0.729316544	-0.229641657
C06459	0.161593678	-0.921069719
C06461	0.082341507	0.470537615
C06885	-0.987970093	0.697028981
C03719	0.364390084	-1.022858573
C15808	-0.418350884	-1.042345094
C09145	0.026887498	-0.277466534
C04087	0.595855876	0.870630879
C01641	-2.290118973	0.291168483
C04508	-0.579928698	0.459536206
C03032	-0.628779412	0.307198585
C10631	1.19219569	-0.526063455
C04007	0.393040792	0.156616443
C11489	-0.33151261	-1.048286575
C13814	0.903418393	-0.260256643
C15850	-1.108842439	0.412227512
C02796	-0.49812239	-0.504314834
C09903	-0.030385685	-1.420462453
C02079	1.940475829	0.02041577
C06830	1.617687855	-0.315886553
C06852	0.319504711	0.602532775
C00889	-0.022691788	-0.831545692
C13662	-0.872472157	-0.591049115
C05515	0.85309138	0.269199578
C11272	1.210921054	-1.218847595
C05765	1.164607783	-0.916431382
C14435	-2.086417778	-0.047608152
C05194	0.907586148	-0.568735253
C02993	-0.375373013	2.213002775
C06510	-0.302208565	-0.199691576
C05962	-1.372216383	0.06504729
C11152	-1.296550324	-1.488501175
C06874	0.128915366	2.056504138
C06956	0.014394419	-0.449438947
C01876	-0.00464203	0.166316954
C08596	2.212057413	0.504317073
C03798	-0.431471199	1.646865663
C00254	0.090128898	-0.038411397
C15591	-0.219235856	-0.005193466
C08384	-0.146267163	-2.092608885
C02773	1.462490382	0.673194158
C06917	-1.579452299	-0.881013379
C07504	0.60941176	-0.181677467
C00483	0.397533755	-1.461147201
C01657	1.168556979	1.35567151
C09060	1.198307286	0.872169159
C16514	0.099417316	1.768509614
C07328	0.067092954	-0.30806143
C13967	1.482186434	-0.79529989
C01288	-0.08065669	-3.035598384
C06333	1.442934664	-0.716981488
C08235	-0.056662887	0.046179919
C06538	1.190092299	1.570088736
C11218	1.518217682	-1.074155254
C01821	0.062734383	1.427269022
C07313	0.244513963	-0.263166953
C05973	-1.546353542	-0.990853138
C03683	0.56122333	-0.908462815
C18239	-0.012010311	-0.529500481
C14338	1.065473461	-1.444075203
C00473	-0.977986098	-1.349651915
C05602	0.50421358	-0.664138927
C03037	0.556511663	-1.444075203
C04936	-0.687749631	0.061552776
C15500	0.962264542	2.263532697
C02703	1.344605943	0.004274093
C00344	0.569869969	0.493726857
C03564	-1.644581849	-0.638288033
C06633	-0.015185813	-0.132279892
C05527	0.981588351	-0.779850608
C06260	1.051317399	0.669031728
C01941	1.733114785	0.941726619
C01514	0.567684265	0.7355661
C03742	-1.058998278	0.230306649
C02008	-1.831313691	0.081792344
C13061	-0.891483659	-2.527815121
C01149	0.44115507	-0.864056736
C04924	-0.463774796	1.404334533
C13718	0.623706531	-0.841777347
C04793	-0.097550642	0.085193778
C06734	0.396011978	0.435356534
C02505	-0.752476803	0.578277105
C00954	0.661242529	-0.456023517
C14270	0.854645069	-0.517241265
C00292	-0.735922376	-0.855820457
C02009	0.413418541	-0.225188423
C03011	0.848617575	-1.388672871
C00105	-0.229641657	1.865462453
C03812	-0.017368215	0.07553984
C04683	0.165648786	-0.677461766
C09153	-1.837176119	-0.794288904
C11609	-0.643701629	1.532794552
C01212	0.415513226	0.803073334
C02299	0.037260102	1.937219043
C18167	0.645397666	0.289446645
C03582	-0.315886553	1.371423631
C06857	0.445752801	0.457531383
C03226	-1.955833764	-0.051922216
C01295	0.907353157	-0.565020557
C18799	-0.898979843	-0.430666963
C04937	-1.265822132	0.563582209
C02086	-0.251747757	-1.573238786
C09755	0.23617747	-0.123834841
C00518	-0.34259274	-0.054974277
C11055	-0.227252467	1.039398118
C01394	-1.104193402	-0.139539099
C09849	-0.561492554	-0.493758579
C01279	0.823647001	0.311665233
C14773	0.306364284	0.669031728
C07260	0.903418393	-0.268631628
C01589	-0.348813705	0.255537786
C07027	-0.063545605	1.653753825
C03758	0.791115475	-0.540004097
C06763	0.010007753	1.815865813
C14534	-0.985746105	-1.349651915
C09171	-0.590734388	1.687480905
C10980	0.645397666	-0.857302048
C02043	0.259513907	-0.809038603
C05103	0.85309138	-0.518353034
C06324	0.679428403	-0.740150235
C11088	-0.653912542	0.339181726
C01636	1.405794636	1.310823975
C16848	-0.251693623	-0.654014991
C09086	1.206117417	0.166316954
C04734	-0.273560488	2.948852917
C14605	-1.03964163	1.736895153
C03629	0.928080815	0.339000592
C11401	-0.598954933	-0.724282439
C01286	1.669775824	0.950917578
C01533	0.7355661	-0.748813633
C01036	1.147096667	0.61167376
C02472	-0.779878495	-1.143364376
C16022	0.599617167	0.396201554
C14150	2.323884509	0.145749693
C13626	-1.207668369	0.310793794
C03030	-1.261269976	0.704481851
C01018	-0.590776502	1.454804273
C11902	-0.106838347	0.009920589
C01970	1.835128267	-0.898979843
C07250	1.487290996	-0.25216317
C02496	0.823515957	0.243139013
C02287	0.393295079	1.299123276
