Entrez.GeneID	8hTrt_8hCult1	8hTrt_8hCult2
10000	0.060557898	0.029099792
10001	-0.00179172	-0.08088321
10002	0.127184719	-0.152893245
10003	0.057385099	-0.084695401
10004	-0.02091655	-0.042281562
10005	-0.009914763	-0.043350904
10006	0.063694435	0.080933856
10007	-0.412751578	-0.178223468
10008	-0.019725887	-0.040105679
10009	-0.005905745	0.075299041
1000	0.308880036	0.310255973
10010	-0.325717918	-0.091401566
10011	0.112000005	0.003101729
10013	0.306221507	0.011605329
10014	0.214766349	0.139945068
10015	-0.028452403	-0.062468947
10016	-0.021692838	-0.046979185
10017	0.239453163	0.023921383
10018	0.10120414	0.27115406
10019	-0.300677388	0.185839612
1001	0.176282613	-0.112504289
10020	0.487621171	0.13552762
10021	-0.065045766	-0.143142777
10022	0.305393273	0.126665949
10023	0.289669578	0.301448198
10024	-0.147978978	-0.089974354
10025	-0.007094786	-0.207183061
10026	0.01498187	-0.076031995
1002	-0.08185892	-0.337377079
10036	0.065926527	-0.006423055
10038	0.143630632	0.150348927
10039	-0.032590649	0.083892967
1003	-0.169344937	-0.261506969
10040	-0.924749341	-0.303757151
10042	0.166066884	0.141613598
10043	-0.096128059	-0.095280955
10044	-0.110414294	-0.092358486
10045	-0.227457358	0.127088103
10046	-0.180743847	-0.197374578
10047	-0.063560622	-0.02820061
10048	0.301067133	0.357853745
10049	-0.072784182	-0.484493702
1004	0.069804481	-0.060460105
10050	-0.299939678	0.10179989
10051	-0.094246686	0.040883018
10052	0.003588879	0.188163128
10053	0.008360187	0.168842768
10054	0.176549449	-0.030307845
10055	0.055838392	0.116655223
10056	0.077692274	0.032828429
10057	0.094847556	-0.189700445
10058	0.181331504	0.290916562
10059	0.196537529	0.05488155
1005	-0.076132279	0.083247145
10060	0.089212347	0.060119284
10061	0.014057841	-0.196349767
10062	-0.589734381	-0.444902817
10066	-0.10262446	-0.003829572
10067	0.041130495	0.091300267
10068	0.1549441	0.101815
10069	-0.201009156	-0.066722634
1006	-0.180244359	-0.006591268
10071	-0.120819218	0.24546379
10072	-0.105147756	-0.054337155
10073	-0.440137531	-0.113625541
10075	-0.063624055	-0.128601789
10076	-0.104600477	0.022311819
10077	0.180051492	0.023087373
10078	-0.248557029	-0.054240235
10079	0.407221848	0.088552341
1007	0.000338541	0.30266138
10081	-0.267954932	-0.007971881
10082	-0.054174676	0.073118837
10083	0.022424863	0.10387613
10084	-0.060746841	-0.213246988
10085	-0.084369701	-0.124682706
10086	0.123246205	-0.028633483
10087	-0.389455443	-0.269465123
10089	-0.000603098	-0.089158161
1008	0.151023267	0.075092295
10090	-0.131047082	-0.156984331
10092	0.146099078	0.087127594
10093	0.066542769	-0.028917383
10095	-0.014954882	-0.047449806
10096	0.100094967	0.024050221
10097	0.009709077	-0.048793481
10098	-1.299368011	-0.977870434
10099	0.092159556	-0.067537011
1009	0.082074219	0.065174293
100	-0.896945437	0.045612958
10100	1.763559549	1.369266526
10101	-0.066458931	-0.048363647
10102	0.090671146	-0.124290029
10103	0.151299578	0.069407562
10105	-0.426923383	-0.24572647
10106	-0.013511442	-0.13856466
10109	0.028229714	0.01252987
1010	0.084739287	-0.183434294
10110	-0.253200633	0.022849995
10111	-0.051843349	-0.065579341
10112	0.397124286	0.26399849
10113	0.173790896	0.038970724
10114	0.311789933	0.118123794
10116	0.407527095	0.153706365
10117	0.085332531	-0.075635951
10120	-0.190606751	0.104729171
10121	0.205543177	0.004636052
10123	-1.446183636	-1.459451175
10125	0.119865666	-0.304974536
10126	0.158877355	0.090094897
10127	-0.048381692	-0.121008075
10128	-0.046074405	-0.050424516
10129	-0.738514268	-0.873806233
1012	-0.003035517	0.029248767
10130	-0.045211222	-0.002756867
10131	-0.110017049	-0.153272717
10133	-0.321540439	0.004487404
10134	0.163428784	-0.078131129
10136	-0.294387308	-0.236667254
10137	0.055183782	-0.128177869
10138	-0.203035048	-0.047704228
10139	-0.015835622	-0.166349313
1013	0.250766466	0.058343501
10140	-0.123265928	-0.106833498
10141	0.107673478	-0.106479548
10142	0.176166687	0.323570074
10143	-0.419166948	0.086296606
10144	-0.37803871	-0.056797152
10146	0.055367088	-0.093345725
10147	-0.031187168	-0.015297433
10148	0.094061526	0.004989692
10149	0.408715688	0.094309971
1014	0.04062242	0.175687294
10150	0.907288523	0.584305447
10151	0.001477887	-0.069340547
10152	-0.027310166	0.09304184
10153	-0.374979309	-0.264616938
10154	-0.060992099	-0.037790909
10155	0.084208599	0.120290205
10157	-0.408293761	-0.335872248
10158	-0.346104295	0.022249892
10159	-0.000106564	0.071040918
1015	-0.209552866	-0.097396013
10160	-0.127320659	-0.091993163
10161	0.031853988	0.284467635
10162	-0.249450032	-0.126722444
10163	-0.038696479	-0.032037229
10164	0.129728886	-0.068608464
10165	0.188563065	0.046868349
10166	0.456091793	0.620977884
10168	-0.065986198	-0.041294958
10169	0.064364809	-0.005531003
1016	-0.006420028	-0.096726707
10170	-0.050663723	-0.074329677
10171	-0.52340296	-0.441701555
10172	-0.033454221	-0.038121533
10174	-0.32226532	-0.060647176
10175	0.055772092	0.071880475
10178	-0.069577741	0.002989394
10179	-0.12440251	-0.166076523
1017	0.012886099	-0.0319524
10180	-0.283594599	0.049557817
10181	-0.127266208	-0.051953129
10184	0.100184995	0.079543071
10186	0.001831576	-0.011705451
10188	-0.010994258	0.046067987
1018	-0.220100951	0.233409473
10190	0.065588391	0.060315144
10193	-0.007015411	-0.087091114
10194	0.273316544	0.437456127
10195	-0.003792395	-0.09368723
10196	-0.458270086	0.041542304
10197	0.088759093	-0.068312962
10198	-0.096916452	0.101143892
10199	0.242294613	0.07135121
1019	-0.132709542	-0.023386795
101	0.082134967	-0.161727328
10200	-0.006056782	-0.116967554
10201	-0.165125406	-0.062859924
10202	0.026750111	0.173906159
10203	-0.036892553	0.024339476
10205	-0.118931088	0.114068181
10206	0.190162405	0.033480538
10207	-0.015478609	-0.030309841
10208	-0.247274281	-0.312032728
10209	-0.020044914	0.113895575
1020	0.139844628	0.413687051
10210	-0.10286387	0.122299825
10212	0.280430592	0.10031243
10213	0.337288516	0.017658976
10214	0.208558327	0.204551669
10215	0.060486578	-0.025270927
10216	0.050860422	0.069528515
10217	-0.413857236	-0.20956095
10218	-0.177620767	0.196518954
10219	-0.086693659	0.153988444
1021	0.038725187	-0.132152389
10220	-0.308996558	0.098937595
10221	-0.716193937	-0.236890151
10223	-0.276962019	0.043845309
10224	-0.561016075	0.39679133
10225	0.013219162	0.031450268
10226	-0.23207938	-0.073908771
10227	-0.089656046	-0.122955382
10228	-0.272742789	-0.19944525
10229	0.05428978	-0.020419765
10230	0.010314233	0.034394891
10231	-0.629352445	0.198763331
10232	-0.223339529	0.085007684
10233	0.114882658	0.092589842
10234	-0.543599103	-0.280165526
10235	-0.04676595	-0.134461256
10236	0.051452995	0.112794945
10237	0.441729404	0.255006917
10238	-0.007395278	-0.065133175
10239	-0.015128392	0.032251914
10240	-0.053257046	-0.1362362
10241	-0.105314898	-0.102715554
10242	-0.098743821	0.025590707
10243	-0.396428333	-0.134116741
10244	0.138415453	-0.052847776
10245	-0.042502662	-0.045740266
10246	-0.044161698	0.091493724
10247	-0.231117508	-0.179300406
10248	-0.109205553	-0.117879805
10249	-0.001475086	-0.042133992
1024	-0.176400061	0.036159348
10250	-0.122428527	0.084650411
10252	-0.870076615	-0.234928434
10253	0.113247162	0.613829245
10254	-0.04152599	-0.073556192
10256	-0.281189917	0.363048504
10257	-0.109179018	0.039436473
1025	0.104167879	-0.143462455
10260	-0.157984229	-0.466740831
10261	0.047572504	0.049091418
10262	-0.18327188	-0.015636559
10263	-0.168727946	-0.42263913
10265	-0.153418344	0.116361589
10266	0.139452808	0.099868876
10267	0.164009198	0.008423911
10268	-0.213335877	-0.049436206
10269	0.105154805	-0.014820521
1026	0.327266275	0.212809036
10270	-0.331126627	-0.01156397
10272	0.241015244	0.06661549
10273	-0.178399256	-0.004627361
10274	0.146832153	-0.076433759
10276	-0.546719297	-0.323302684
10277	-0.199224998	-0.075813452
10278	0.950758116	0.716049046
10279	-0.099682341	0.086081855
1027	0.083660211	0.094344368
10280	-0.005713948	0.077551857
10281	0.04900069	0.056318909
10282	0.101241037	-0.152721565
10283	-0.036485383	0.063359734
10284	0.020614522	-0.120932082
10285	0.134178034	-0.025999617
10286	0.057050444	-0.003884814
10287	-0.022444663	-0.036664989
10288	-0.204247625	-0.136626071
10289	0.079502875	0.103554816
1028	-0.269029238	-0.042054818
10290	-0.040952717	0.272188121
10291	-0.133776573	-0.18788457
10293	0.156153288	-0.144040656
10294	-0.079727621	-0.076344115
10296	0.120045365	0.058489954
10297	0.214767741	-0.196625675
10298	-0.157431174	-0.013123934
10299	-0.147059888	0.155912901
1029	0.050829869	0.067089837
102	0.283668071	-0.034620083
10300	-0.131107714	-0.040361105
10301	0.169976243	-0.117472705
10307	-0.176411703	0.368624786
10308	0.40104052	0.319198947
10309	-0.226753231	0.163215277
1030	0.416933532	0.310168487
10311	0.118975401	-0.182033097
10312	0.047833544	0.126943305
10313	-0.100320125	-0.156905574
10314	0.020465748	0.039737668
10316	0.352222858	0.179750967
10317	0.018756241	-0.279563337
10318	-0.446761375	-0.232582766
10319	-0.031466415	0.043978377
1031	0.343709342	0.495649483
10320	0.017047403	0.034468858
10321	0.194118512	0.055286146
10322	-0.060870185	0.046426854
10324	-0.067618555	-0.016464322
10325	0.086642534	-0.105289716
10326	0.057641516	0.26539638
10327	-0.076579479	-0.118824582
10328	-0.0504934	-0.036032757
10329	0.017008916	0.010062297
1032	0.347300048	-0.03133555
10330	0.080470032	0.011743795
10331	-0.056722523	0.118651235
10332	0.010052847	0.042961358
10333	-0.090548071	-0.020769042
10335	-0.174413696	-0.164266756
10336	0.328072187	0.05754793
1033	-0.897651313	-0.025990895
10342	0.065770553	0.015900065
10343	-0.02168677	-0.16091325
10344	2.804227434	0.059105741
10345	-0.047853713	-0.128242651
10346	-0.211075025	0.027380058
10347	0.032737391	-0.222374477
10350	-0.103585654	-0.328312527
10351	-0.96925291	-0.896123303
10352	-0.325279849	-0.008081423
10360	0.344432574	-0.160755393
10361	-0.011397543	0.168580985
10362	-0.018250238	0.061886848
10363	-0.148060386	-0.068520547
10365	0.356930551	-0.033602417
10367	-0.014834512	0.124610036
10368	0.022586675	0.02031087
10369	0.061269993	0.112088767
1036	-0.590700171	-0.15813317
10370	-0.792486139	-0.457382462
10371	0.523418292	0.037301198
10376	-0.029867631	0.061621763
10379	-0.221089485	-0.254321668
10380	0.144301259	0.007840514
10381	0.20892733	0.393164757
10382	-0.150640747	0.231816377
10383	-0.121675713	-0.276776329
10384	-0.216478807	-0.426332333
10385	-0.390253812	-0.25250296
10388	0.039545852	0.046523307
10389	-0.055373898	0.01483677
1038	-0.064143609	-0.132504024
10390	-0.106747853	-0.095144708
103910	-0.017390575	0.184745357
10391	-0.331705443	-0.186839608
10392	-0.162417812	-0.161676357
10393	0.06255929	-0.130160545
10394	-0.006242394	0.179591811
10395	-0.007958225	-0.103792077
10396	-0.226723332	-0.011233877
10397	0.088719731	0.119466929
10398	-0.013311253	0.029111333
10399	0.022602196	-0.009799197
1039	0.263900987	-0.118660438
103	-0.074249784	-0.087425626
10400	-0.016179451	-0.105053347
10401	0.042344975	0.124327826
10402	-0.312962322	-0.315401481
10403	0.280872248	-0.063806459
10404	-0.131170256	0.069586382
10406	0.156541041	0.105921863
10407	-0.317640275	0.088243068
10409	-0.247606012	-0.129463722
1040	-0.231114498	-0.024852135
10410	-0.107386233	-0.090552963
10411	-0.548452874	-0.271608242
10413	0.390889091	0.297276503
10417	0.142423596	0.256042287
10418	0.047484289	-0.009999168
