kegg.names labels type x y width height kegg.names mol.col
58 C00022 C00022 compound 737 241 8 8 NA #FFFFFF
59 C00122 C00122 compound 190 481 8 8 NA #FFFFFF
60 C00036 C00036 compound 320 344 8 8 NA #FFFFFF
61 C05379 C05379 compound 718 453 8 8 NA #FFFFFF
62 C00024 C00024 compound 400 241 8 8 NA #FFFFFF
63 C00149 C00149 compound 190 393 8 8 NA #FFFFFF
64 C00311 C00311 compound 718 344 8 8 NA #FFFFFF
65 C00417 C00417 compound 621 344 8 8 NA #FFFFFF
66 C00042 C00042 compound 190 574 8 8 NA #FFFFFF
67 C00158 C00158 compound 522 344 8 8 NA #FFFFFF
68 C15972 C15972 compound 522 617 8 8 NA #FFFFFF
69 C00068 C00068 compound 589 530 8 8 NA #FFFFFF
70 C16254 C16254 compound 462 573 8 8 NA #FFFFFF
71 C15973 C15973 compound 408 617 8 8 NA #FFFFFF
72 C00091 C00091 compound 334 574 8 8 NA #FFFFFF
73 C00026 C00026 compound 718 573 8 8 NA #FFFFFF
74 C05381 C05381 compound 593 573 8 8 NA #FFFFFF
76 C05125 C05125 compound 631 241 8 8 NA #FFFFFF
78 C00068 C00068 compound 631 198 8 8 NA #FFFFFF
80 C15972 C15972 compound 580 284 8 8 NA #FFFFFF
83 C16255 C16255 compound 517 241 8 8 NA #FFFFFF
91 C15973 C15973 compound 478 284 8 8 NA #FFFFFF
92 C00074 C00074 compound 471 127 8 8 NA #FFFFFF
