kegg.names labels type x y width height ge1 mol.col
40 C00033 C00033 compound 146 953 8 8 NA #FFFFFF
83 C00031 C00031 compound 601 195 8 8 NA #FFFFFF
84 C00103 C00103 compound 483 143 8 8 NA #FFFFFF
85 C00631 C00631 compound 483 664 8 8 NA #FFFFFF
86 C00267 C00267 compound 181 228 8 8 NA #FFFFFF
87 C00221 C00221 compound 181 301 8 8 NA #FFFFFF
88 C00111 C00111 compound 332 448 8 8 NA #FFFFFF
89 C01172 C01172 compound 332 301 8 8 NA #FFFFFF
90 C00668 C00668 compound 483 230 8 8 NA #FFFFFF
91 C05345 C05345 compound 483 303 8 8 NA #FFFFFF
92 C00074 C00074 compound 483 736 8 8 NA #FFFFFF
93 C00197 C00197 compound 483 592 8 8 NA #FFFFFF
94 C00236 C00236 compound 483 520 8 8 NA #FFFFFF
95 C00186 C00186 compound 627 863 8 8 NA #FFFFFF
96 C15972 C15972 compound 314 906 8 8 NA #FFFFFF
97 C00469 C00469 compound 550 953 8 8 NA #FFFFFF
98 C00022 C00022 compound 483 863 8 8 NA #FFFFFF
99 C05125 C05125 compound 378 863 8 8 NA #FFFFFF
100 C00024 C00024 compound 146 863 8 8 NA #FFFFFF
101 C00084 C00084 compound 378 953 8 8 NA #FFFFFF
102 C16255 C16255 compound 265 863 8 8 NA #FFFFFF
103 C15973 C15973 compound 212 906 8 8 NA #FFFFFF
104 C05378 C05378 compound 483 373 8 8 NA #FFFFFF
105 C06186 C06186 compound 132 359 8 8 NA #FFFFFF
106 C06187 C06187 compound 239 359 8 8 NA #FFFFFF
107 C06188 C06188 compound 239 385 8 8 NA #FFFFFF
108 C01451 C01451 compound 132 385 8 8 NA #FFFFFF
113 C00036 C00036 compound 146 736 8 8 NA #FFFFFF
125 C01159 C01159 compound 568 556 8 8 NA #FFFFFF
130 C00118 C00118 compound 483 448 8 8 NA #FFFFFF
136 C00068 C00068 compound 378 820 8 8 NA #FFFFFF
