kegg.names labels type x y width height p7Ct1B p7KO1B p7Ct2 p7KO2 p7Ct1 p7KO1 p7Ct1B.col p7KO1B.col p7Ct2.col p7KO2.col p7Ct1.col p7KO1.col
13 11674 Aldoa gene 483 407 46 17 27.412513397 27.559008754 27.519049982 28.66471677 27.489232863 27.691932442 #BCFF57 #BCFF57 #BCFF57 #BCFF57 #BCFF57 #BCFF57
37 11669 Aldh2 gene 284 943 46 17 45.749725461 45.660046205 46.154032378 45.96869976 45.839914195 45.729076027 #BCFF57 #BCFF57 #BCFF57 #BCFF57 #BCFF57 #BCFF57
39 11670 Aldh3a1 gene 259 964 46 17 41.701693972 41.583992344 41.809076926 41.439211309 41.670978663 41.533993931 #BCFF57 #BCFF57 #BCFF57 #BCFF57 #BCFF57 #BCFF57
44 58810 Akr1a1 gene 487 943 46 17 NA NA NA NA NA NA #FFFFFF #FFFFFF #FFFFFF #FFFFFF #FFFFFF #FFFFFF
45 11522 Adh1 gene 439 936 46 17 34.502499579 34.800556311 34.908723384 35.658248305 34.426851315 34.813326963 #BCFF57 #BCFF57 #BCFF57 #BCFF57 #BCFF57 #BCFF57
47 18597 Pdha1 gene 431 853 46 17 30.196322776 30.450051168 30.051315853 31.164246877 30.384251767 30.473825484 #BCFF57 #BCFF57 #BCFF57 #BCFF57 #BCFF57 #BCFF57
48 18597 Pdha1 gene 319 865 46 17 30.196322776 30.450051168 30.051315853 31.164246877 30.384251767 30.473825484 #BCFF57 #BCFF57 #BCFF57 #BCFF57 #BCFF57 #BCFF57
49 235339 Dlat gene 210 865 46 17 8.474736502 8.462588037 8.431320245 8.680398479 8.392453749 8.44613261 #7FE57F #7FE57F #7FE57F #7FE57F #7FE57F #7FE57F
50 16828 Ldha gene 558 864 46 17 19.881811853 20.089243528 19.899363187 20.588225635 19.886662412 19.964077635 #BCFF57 #BCFF57 #BCFF57 #BCFF57 #BCFF57 #BCFF57
52 18770 Pklr gene 483 770 46 17 7.769040314 7.771135267 7.879832738 7.790349799 7.802231305 7.785686853 #54ED54 #54ED54 #54ED54 #54ED54 #54ED54 #54ED54
54 13806 Eno1 gene 483 701 46 17 29.069438988 30.447721012 29.707987128 33.034409808 28.865079785 30.319913583 #BCFF57 #BCFF57 #BCFF57 #BCFF57 #BCFF57 #BCFF57
55 12183 Bpgm gene 458 630 46 17 25.190551905 26.659706762 25.991791288 29.15614146 25.428986809 26.548614533 #BCFF57 #BCFF57 #BCFF57 #BCFF57 #BCFF57 #BCFF57
56 14433 Gapdh gene 458 484 46 17 19.844334635 19.842458883 19.732798223 20.774368873 19.89002715 19.753843323 #BCFF57 #BCFF57 #BCFF57 #BCFF57 #BCFF57 #BCFF57
57 21991 Tpi1 gene 386 449 46 17 11.12069697 11.41300896 11.5441467 12.56352047 11.25159129 11.51002392 #CEDCBA #CEDCBA #CEDCBA #CAE5A1 #CEDCBA #CEDCBA
58 18641 Pfkl gene 458 336 46 17 28.216761898 28.62631939 28.520583144 30.173624634 28.016948517 28.543446772 #BCFF57 #BCFF57 #BCFF57 #BCFF57 #BCFF57 #BCFF57
59 14120 Fbp2 gene 408 336 46 17 15.81260273 16.486480163 16.139988596 19.22508489 15.857213055 16.401106406 #BCFF57 #BCFF57 #BCFF57 #BCFF57 #BCFF57 #BCFF57
