kegg.names labels type x y width height DCIS_1 DCIS_2 DCIS_3 DCIS_1.col DCIS_2.col DCIS_3.col
67 2990 GUSB gene 491 419 46 17 0.955145749062734 0.754600615268877 0.293904328724104 #DE9E9E #D3D3D3 #D3D3D3
74 6120 RPE gene 540 805 46 17 0.0611647758643148 0.144014914441138 0.0379060916057963 #9EDE9E #9EDE9E #9EDE9E
80 9942 XYLB gene 491 702 46 17 -0.0171126854911448 -0.00676244797154713 0.0306025324777668 #9EDE9E #9EDE9E #9EDE9E
89 231 AKR1B1 gene 816 640 46 17 -1.16076458287628 -1.31900169333488 1.05221806970793 #00FF00 #00FF00 #DE9E9E
91 51181 DCXR gene 520 646 46 17 0.279839929098749 0.649239111694968 -0.575821511989379 #D3D3D3 #D3D3D3 #35F435
92 231 AKR1B1 gene 388 639 46 17 -1.16076458287628 -1.31900169333488 1.05221806970793 #00FF00 #00FF00 #DE9E9E
95 51084 CRYL1 gene 663 417 46 17 0.0523576181458383 0.144298092553196 0.14903581108349 #9EDE9E #9EDE9E #9EDE9E
96 7360 UGP2 gene 297 510 46 17 0.887119755237635 0.114770218194838 0.30328862061892 #DE9E9E #9EDE9E #D3D3D3
97 7363 UGT2B4 gene 364 419 46 17 1.24864414431231 -0.07260987095564 -0.335044583330089 #E96A6A #9EDE9E #6AE96A
98 7358 UGDH gene 297 435 46 17 1.88849644188512 1.29625440604408 1.17913963754978 #FF0000 #E96A6A #E96A6A
177 27294 DHDH gene 276 650 46 17 NA NA NA #FFFFFF #FFFFFF #FFFFFF
196 6652 SORD gene 462 670 46 17 NA NA NA #FFFFFF #FFFFFF #FFFFFF
197 10327 AKR1A1 gene 607 375 46 17 0.165364091207298 0.643531590951355 0.808549274373677 #9EDE9E #D3D3D3 #DE9E9E
205 217 ALDH2 gene 85 839 46 17 -0.581685047064843 -2.06504704591011 -0.874383229678447 #35F435 #00FF00 #00FF00
