kegg.names labels type x y width height exp1 exp2 exp1.col exp2.col
98 C01151 C01151 compound 692 603 8 8 NA NA #FFFFFF #FFFFFF
99 C00668 C00668 compound 201 383 8 8 -2.75797298976308 -0.313848123121175 #C31FFF #D3D3D3
100 C00118 C00118 compound 818 320 8 8 NA NA #FFFFFF #FFFFFF
101 C00022 C00022 compound 778 228 8 8 0.384741315093191 0.26381497013187 #D3D3D3 #D3D3D3
102 C00257 C00257 compound 529 155 8 8 -0.170942096050699 1.49200293355323 #D3D3D3 #F7FF0A
103 C00198 C00198 compound 331 155 8 8 0.414534050566182 0.155027232198268 #D3D3D3 #D3D3D3
104 C00031 C00031 compound 201 203 8 8 -1.81711293313128 -0.00518646966409944 #C31FFF #D3D3D3
105 C00221 C00221 compound 201 155 8 8 -0.0151858129531744 0.434787653800793 #D3D3D3 #D3D3D3
106 C00345 C00345 compound 529 320 8 8 NA NA #FFFFFF #FFFFFF
107 C00204 C00204 compound 666 155 8 8 NA NA #FFFFFF #FFFFFF
108 C03752 C03752 compound 576 383 8 8 0.616854426844127 -0.783926622430089 #D3D3D3 #C31FFF
109 C04442 C04442 compound 666 320 8 8 1.42809040816493 -0.721471833883011 #F7FF0A #C31FFF
110 C00117 C00117 compound 529 520 8 8 NA NA #FFFFFF #FFFFFF
111 C00119 C00119 compound 529 603 8 8 NA NA #FFFFFF #FFFFFF
112 C00620 C00620 compound 692 551 8 8 NA NA #FFFFFF #FFFFFF
113 C00121 C00121 compound 692 520 8 8 NA NA #FFFFFF #FFFFFF
114 C00279 C00279 compound 363 477 8 8 0.244805167767832 -2.06905560067426 #D3D3D3 #C31FFF
115 C01218 C01218 compound 450 276 8 8 -1.12411111739839 -0.233130892352876 #C31FFF #D3D3D3
116 C05382 C05382 compound 363 584 8 8 NA NA #FFFFFF #FFFFFF
117 C01801 C01801 compound 465 663 8 8 NA NA #FFFFFF #FFFFFF
118 C00673 C00673 compound 331 694 8 8 NA NA #FFFFFF #FFFFFF
119 C00118 C00118 compound 201 602 8 8 NA NA #FFFFFF #FFFFFF
120 C05378 C05378 compound 201 523 8 8 1.71740954576898 0.803073333963522 #F7FF0A #F7FF0A
121 C01172 C01172 compound 201 320 8 8 NA NA #FFFFFF #FFFFFF
122 C01236 C01236 compound 365 320 8 8 NA NA #FFFFFF #FFFFFF
123 C06473 C06473 compound 450 215 8 8 NA NA #FFFFFF #FFFFFF
124 C05345 C05345 compound 201 446 8 8 1.58895469706646 0.666498176791431 #F7FF0A #D3D3D3
125 C00672 C00672 compound 465 694 8 8 0.121947048970447 -0.921068369497364 #D3D3D3 #C31FFF
126 C00577 C00577 compound 818 155 8 8 0.275848811267739 0.581309687369142 #D3D3D3 #D3D3D3
127 C00258 C00258 compound 916 155 8 8 0.563582209254623 1.08851640246582 #D3D3D3 #F7FF0A
128 C00631 C00631 compound 1002 155 8 8 NA NA #FFFFFF #FFFFFF
129 C00231 C00231 compound 422 446 8 8 NA NA #FFFFFF #FFFFFF
130 C00231 C00231 compound 331 638 8 8 NA NA #FFFFFF #FFFFFF
131 C00199 C00199 compound 529 446 8 8 NA NA #FFFFFF #FFFFFF
132 C06019 C06019 compound 365 383 8 8 1.04132074478077 1.01234052141349 #F7FF0A #F7FF0A
138 C20589 C20589 compound 666 383 8 8 NA NA #FFFFFF #FFFFFF
142 C03752 C03752 compound 666 77 8 8 0.616854426844127 -0.783926622430089 #D3D3D3 #C31FFF
145 C00197 C00197 compound 916 320 8 8 -1.89722748210204 -0.739340878432391 #C31FFF #C31FFF
