kegg.names labels type x y width height ge1 mol.col
29 5538 PPT1 gene 836 539 46 17 3.58379446070531 #FF0000
30 51102 MECR gene 810 451 46 17 0.218105923378465 #D3D3D3
31 3030 HADHA gene 810 370 46 17 -0.0219741207371293 #D3D3D3
32 3030 HADHA gene 835 285 46 17 -0.0219741207371293 #D3D3D3
33 3032 HADHB gene 835 204 46 17 1.87092303159479 #E96A6A
34 51102 MECR gene 668 451 46 17 0.218105923378465 #D3D3D3
35 3030 HADHA gene 668 370 46 17 -0.0219741207371293 #D3D3D3
36 3030 HADHA gene 694 285 46 17 -0.0219741207371293 #D3D3D3
37 3032 HADHB gene 694 204 46 17 1.87092303159479 #E96A6A
38 51102 MECR gene 527 451 46 17 0.218105923378465 #D3D3D3
39 3030 HADHA gene 527 370 46 17 -0.0219741207371293 #D3D3D3
40 3030 HADHA gene 552 285 46 17 -0.0219741207371293 #D3D3D3
41 3032 HADHB gene 553 204 46 17 1.87092303159479 #E96A6A
42 51102 MECR gene 385 451 46 17 0.218105923378465 #D3D3D3
43 3030 HADHA gene 385 370 46 17 -0.0219741207371293 #D3D3D3
44 3030 HADHA gene 435 285 46 17 -0.0219741207371293 #D3D3D3
45 3033 HADH gene 385 285 46 17 5.27732792577047 #FF0000
46 3032 HADHB gene 410 204 46 17 1.87092303159479 #E96A6A
47 51102 MECR gene 243 451 46 17 0.218105923378465 #D3D3D3
48 3030 HADHA gene 243 370 46 17 -0.0219741207371293 #D3D3D3
49 3030 HADHA gene 293 285 46 17 -0.0219741207371293 #D3D3D3
50 3033 HADH gene 243 285 46 17 5.27732792577047 #FF0000
51 3032 HADHB gene 268 204 46 17 1.87092303159479 #E96A6A
52 51102 MECR gene 101 451 46 17 0.218105923378465 #D3D3D3
53 3030 HADHA gene 101 370 46 17 -0.0219741207371293 #D3D3D3
54 3030 HADHA gene 151 285 46 17 -0.0219741207371293 #D3D3D3
59 3033 HADH gene 101 285 46 17 5.27732792577047 #FF0000
60 3032 HADHB gene 126 204 46 17 1.87092303159479 #E96A6A
113 51144 HSD17B12 gene 551 843 46 17 -1.10743492931665 #6AE96A
114 9524 TECR gene 551 1001 46 17 2.84767933733096 #FF0000
115 9200 PTPLA gene 551 923 46 17 1.81533617135386 #E96A6A
120 3030 HADHA gene 189 923 46 17 -0.0219741207371293 #D3D3D3
121 3033 HADH gene 189 843 46 17 5.27732792577047 #FF0000
122 3032 HADHB gene 214 768 46 17 1.87092303159479 #E96A6A
132 51102 MECR gene 189 1001 46 17 0.218105923378465 #D3D3D3
133 3030 HADHA gene 239 843 46 17 -0.0219741207371293 #D3D3D3
137 5538 PPT1 gene 215 1081 46 17 3.58379446070531 #FF0000
141 10965 ACOT2 gene 551 1081 45 16 -0.758002470315643 #D3D3D3
143 60481 ELOVL5 gene 552 768 46 17 5.12073189679063 #FF0000
