package	species	kegg code	id.type	GeneIDs
org.Ag.eg.db	Anopheles	aga	eg	ENTREZID, SYMBOL, GENENAME, ENSEMBL, ENSEMBLPROT, UNIGENE, UNIPROT, ACCNUM, ENSEMBLTRANS, REFSEQ, ENZYME
org.At.tair.db	Arabidopsis	ath	tair	ENTREZID, SYMBOL, GENENAME, REFSEQ, TAIR, ENZYME
org.Bt.eg.db	Bovine	bta	eg	ENTREZID, SYMBOL, GENENAME, ENSEMBL, ENSEMBLPROT, PROSITE, UNIGENE, UNIPROT, ACCNUM, ENSEMBLTRANS, REFSEQ, ENZYME
org.Ce.eg.db	Worm	cel	eg	ENTREZID, SYMBOL, GENENAME, ENSEMBL, ENSEMBLPROT, UNIGENE, UNIPROT, ACCNUM, ENSEMBLTRANS, REFSEQ, ENZYME
org.Cf.eg.db	Canine	cfa	eg	ENTREZID, SYMBOL, GENENAME, ENSEMBL, ENSEMBLPROT, UNIGENE, UNIPROT, ACCNUM, ENSEMBLTRANS, REFSEQ, ENZYME
org.Dm.eg.db	Fly	dme	eg	ENTREZID, SYMBOL, GENENAME, ENSEMBL, ENSEMBLPROT, UNIGENE, UNIPROT, ACCNUM, ENSEMBLTRANS, REFSEQ, ENZYME
org.Dr.eg.db	Zebrafish	dre	eg	ENTREZID, SYMBOL, GENENAME, ENSEMBL, ENSEMBLPROT, PROSITE, UNIGENE, UNIPROT, ACCNUM, ENSEMBLTRANS, REFSEQ, ENZYME
org.EcK12.eg.db	E coli strain K12	eco	eg	ENTREZID, SYMBOL, GENENAME, ACCNUM, REFSEQ, ENZYME
org.EcSakai.eg.db	E coli strain Sakai	ecs	eg	ENTREZID, SYMBOL, GENENAME, ACCNUM, REFSEQ, ENZYME
org.Gg.eg.db	Chicken	gga	eg	ENTREZID, SYMBOL, GENENAME, ENSEMBL, ENSEMBLPROT, PROSITE, UNIGENE, UNIPROT, ACCNUM, ENSEMBLTRANS, REFSEQ, ENZYME
org.Hs.eg.db	Human	hsa	eg	ENTREZID, SYMBOL, GENENAME, ENSEMBL, ENSEMBLPROT, PROSITE, UNIGENE, UNIPROT, ACCNUM, ENSEMBLTRANS, REFSEQ, ENZYME
org.Mm.eg.db	Mouse	mmu	eg	ENTREZID, SYMBOL, GENENAME, ENSEMBL, ENSEMBLPROT, PROSITE, UNIGENE, UNIPROT, ACCNUM, ENSEMBLTRANS, REFSEQ, ENZYME
org.Mmu.eg.db	Rhesus	mcc	eg	ENTREZID, SYMBOL, GENENAME, ENSEMBL, ENSEMBLPROT, UNIPROT, ACCNUM, ENSEMBLTRANS, REFSEQ, ENZYME
org.Pf.plasmo.db	Malaria	pfa	orf	ENTREZID, SYMBOL, GENENAME, ORF, ENZYME
org.Pt.eg.db	Chimp	ptr	eg	ENTREZID, SYMBOL, GENENAME, ENSEMBL, ENSEMBLPROT, UNIPROT, ACCNUM, ENSEMBLTRANS, REFSEQ, ENZYME
org.Rn.eg.db	Rat	rno	eg	ENTREZID, SYMBOL, GENENAME, ENSEMBL, ENSEMBLPROT, PROSITE, UNIGENE, UNIPROT, ACCNUM, ENSEMBLTRANS, REFSEQ, ENZYME
org.Sc.sgd.db	Yeast	sce	orf	ENTREZID, GENENAME, ENSEMBL, ENSEMBLPROT, UNIPROT, ENSEMBLTRANS, REFSEQ, ORF, ENZYME
org.Ss.eg.db	Pig	ssc	eg	ENTREZID, SYMBOL, GENENAME, UNIGENE, UNIPROT, ACCNUM, REFSEQ, ENZYME
org.Xl.eg.db	Xenopus	xla	eg	ENTREZID, SYMBOL, GENENAME, UNIGENE, UNIPROT, ACCNUM, REFSEQ, ENZYME
All	-	-	-	ENTREZID, SYMBOL, GENENAME, ENSEMBL, ENSEMBLPROT, PROSITE, UNIGENE, UNIPROT, ACCNUM, ENSEMBLTRANS, REFSEQ, TAIR, ORF, ENZYME
