"p.geomean"	"stat.mean"	"p.val"	"q.val"	"set.size"	"DCIS_1"	"DCIS_2"
"hsa04141 Protein processing in endoplasmic reticulum"	9.27090141009179e-06	4.35563417963763	7.17838971395531e-10	8.39871596532771e-08	144	1.90962569056263e-05	4.50086178565803e-06
"hsa03050 Proteasome"	0.00177070326837733	3.01596713738114	1.93550101612508e-05	0.00113226809443317	39	0.00089475107964864	0.00350420372320022
"hsa03060 Protein export"	0.0035907417572799	2.85493520842242	8.57154991082777e-05	0.00334290446522283	18	0.000944247112460114	0.0136547162255878
"hsa03013 RNA transport"	0.018916895475951	2.03404732044657	0.00214671684742054	0.0627914677870509	122	0.0721232451839212	0.00496163107380297
"hsa04142 Lysosome"	0.0264891378567398	1.91039010062606	0.00361999517106128	0.084707887002834	110	0.00980722181593424	0.0715467068618068
"hsa04146 Peroxisome"	0.0444046700671525	1.62918537897103	0.0112255552040111	0.218898326478216	68	0.0117537854815244	0.167756568883453
"hsa03040 Spliceosome"	0.0672488001778356	1.49867639189267	0.0174083457467426	0.290968064624126	106	0.0880185882853617	0.0513800688406472
"hsa04120 Ubiquitin mediated proteolysis"	0.0581829228245166	1.45649492203695	0.020256632642591	0.296253252397893	113	0.0139702486444703	0.242318701302686
"hsa04966 Collecting duct acid secretion"	0.0852144074613336	1.39562251670668	0.0262724681776783	0.341542086309817	22	0.085389621260036	0.0850395531896418
"hsa04110 Cell cycle"	0.100530526803272	1.27691581191534	0.0359106352969618	0.420154432974453	111	0.0769073504261378	0.131409894676447
"hsa04114 Oocyte meiosis"	0.0795801112999065	1.16693720706734	0.0507917762279989	0.540239801697807	90	0.0139700048180736	0.453327983560337
"hsa04145 Phagosome"	0.1292852020157	1.09720500393615	0.0608508899396815	0.593296176911894	131	0.0707759302148323	0.236163105302961
"hsa03022 Basal transcription factors"	0.151551772270894	1.02841539455081	0.0746682407529324	0.672014166776391	36	0.111601175855374	0.205803742679319
"hsa02010 ABC transporters"	0.178915234614343	0.925604331003672	0.0967427932011989	0.801471288421435	36	0.181689814979883	0.176183024792279
"hsa03008 Ribosome biogenesis in eukaryotes"	0.0964035706363958	0.890395436503214	0.108146250316084	0.801471288421435	56	0.675664384895245	0.0137548295266258
"hsa04622 RIG-I-like receptor signaling pathway"	0.182405195435806	0.866363513789533	0.111463057565069	0.801471288421435	59	0.102913273817223	0.323297997312439
"hsa04721 Synaptic vesicle cycle"	0.198411451797593	0.847408181312297	0.116453093189439	0.801471288421435	51	0.233686817882691	0.168460953686274
"hsa03015 mRNA surveillance pathway"	0.224785149523548	0.739057707935842	0.148803497377959	0.863711594353091	70	0.159371504828735	0.317047664829562
"hsa00970 Aminoacyl-tRNA biosynthesis"	0.143832789565248	0.744837191932895	0.152159304354093	0.863711594353091	32	0.658154968779193	0.031433131003318
"hsa04623 Cytosolic DNA-sensing pathway"	0.238313665329318	0.708904017716754	0.159122302899096	0.863711594353091	48	0.286734083241951	0.198069941461305
"hsa04962 Vasopressin-regulated water reabsorption"	0.236297994364806	0.665132545994856	0.174989138023323	0.863711594353091	41	0.135130902816471	0.413204833069644
"hsa03420 Nucleotide excision repair"	0.236704755058395	0.661781565050443	0.176357692581961	0.863711594353091	40	0.133974225431385	0.418208359756108
"hsa04130 SNARE interactions in vesicular transport"	0.24953400541521	0.64211964119096	0.183936653342628	0.863711594353091	30	0.158898232725912	0.391868548758278
"hsa04140 Regulation of autophagy"	0.249046094902341	0.643420422226474	0.184178492762466	0.863711594353091	28	0.156637704640451	0.395970801081879
"hsa03450 Non-homologous end-joining"	0.265455908342555	0.638760989979294	0.187817255747691	0.863711594353091	12	0.272592745234099	0.258505923235246
"hsa04915 Estrogen signaling pathway"	0.255424979058765	0.600296690984554	0.198593655337313	0.863711594353091	92	0.149074887646801	0.437645273171339
"hsa04612 Antigen processing and presentation"	0.182727136669488	0.599651439137503	0.200457435838822	0.863711594353091	63	0.049171040706794	0.679042094604603
"hsa04964 Proximal tubule bicarbonate reclamation"	0.27803529242631	0.584524699415409	0.206700210614415	0.863711594353091	22	0.223287654447154	0.34620643951849
"hsa03020 RNA polymerase"	0.241208161768366	0.529244007141716	0.231459186399404	0.917708790756395	24	0.604572420308023	0.0962355796416112
"hsa03430 Mismatch repair"	0.219846523633769	0.523160003114635	0.235309946347794	0.917708790756395	21	0.0721476416882425	0.66991093295472
"hsa03440 Homologous recombination"	0.341097989168561	0.410916717144504	0.281852878656757	0.989196859437325	26	0.319590023596255	0.364053411009539
"hsa03018 RNA degradation"	0.257810048955117	0.395359364293755	0.289811195525596	0.989196859437325	53	0.701483237751344	0.0947506907724577
"hsa04512 ECM-receptor interaction"	0.118230678488127	0.397762543243151	0.290894523419795	0.989196859437325	77	0.015244766428357	0.916937192934703
"hsa04066 HIF-1 signaling pathway"	0.359201665366332	0.359214431378621	0.305994810927929	0.989196859437325	97	0.388413037209882	0.332187192605037
