GeneID	HN_1	DCIS_1	HN_2	DCIS_2	HN_3	DCIS_3
10000	6.765983765	6.458338962	6.921720432	6.774492738	7.010564137	6.986779329
10001	6.339474195	6.755342241	7.177369201	6.842596614	7.392610862	6.879473955
10002	6.591755029	6.790304281	6.735359294	6.773255169	6.70001556	7.041880901
10003	6.82209175	6.590538776	6.508451648	6.411858533	6.575640191	6.470912908
100048912	7.356051102	7.311143859	7.38551264	7.333481181	7.392232858	7.428623234
10004	6.941935308	6.854372937	6.883972571	6.83369532	6.8550433	6.856864433
10005	7.902341077	7.776074262	7.568751107	8.046538544	7.124198192	7.018075711
10006	7.461545693	8.111827746	8.606735695	8.801795705	8.535887465	8.530528818
10007	8.54386992	8.700561141	8.263123151	8.318474819	8.865671255	8.964533607
10009	6.688939821	6.669643383	6.654174415	6.659315789	6.685414641	6.665754316
1000	7.172920512	7.165230857	7.273051529	7.445213616	7.260165926	7.061334497
10010	7.807376029	7.456376081	7.156938554	6.79726682	8.116765383	8.062745389
100127886	6.510699038	6.325302267	6.363673846	6.353546415	6.460725792	6.51645291
100127972	6.851480698	6.846536827	6.855519295	6.853238553	6.849721947	6.852885364
100128008	7.725744227	7.536552874	7.237849381	7.286983095	7.285024088	7.285297024
100128062	8.666415893	9.705631273	9.942161204	9.974957569	9.67613292	9.333166493
100128414	6.536789653	6.536585508	6.536640256	6.536652967	6.536702761	6.536670894
100128919	7.783036161	7.606021139	7.853694822	7.784396834	7.617986391	7.613107106
100129015	6.968608934	6.956678178	6.967507966	6.967417323	6.965232252	6.966764998
100129128	6.908534493	7.076202328	6.792252311	6.739092361	6.747897199	6.754408411
100129250	7.70885839	7.510040357	7.400854115	7.460248691	7.509079977	7.461807559
100129271	7.65369444	7.45475575	7.428921913	7.447441643	7.473814955	7.477662061
100129361	7.047540243	7.753005153	7.975492352	8.343667901	7.786416413	7.567828443
100129410	6.888397498	6.888350865	6.888182974	6.88814343	6.888125858	6.8884691
100129482	6.889547851	6.742506667	7.276922029	7.119249801	7.172772557	7.103283576
100129500	7.261543283	7.125631269	7.013802403	6.951365377	7.11263745	7.285685432
100129503	6.97078828	6.777070534	7.392847336	7.276814994	6.752677948	6.912794487
100129624	7.050736776	7.003148033	6.983313269	6.996889561	7.035400472	7.072283148
100129656	6.970038773	6.878765911	6.634099178	6.696285559	6.74099718	6.745534625
100129668	8.017333792	7.973329552	7.269455276	7.358874601	7.342276128	7.413257031
100129686	6.507589862	6.441311419	6.420632524	6.438966798	6.385205928	6.415677205
100129762	7.93259658	6.479917806	7.730095071	7.643708097	7.188414873	7.33575338
100129973	7.146349088	6.81503167	6.734275032	6.661904019	6.727633509	6.623879466
100130100	7.50974911	7.348952624	7.326047014	7.294477194	7.267656721	7.296772686
100130130	6.585549508	6.873065395	7.356988816	7.463731641	7.953027719	7.699115134
100130134	6.364226389	6.355682046	6.363521382	6.372209556	6.363175293	6.369912397
100130291	6.488292519	6.488433794	6.488375323	6.488586986	6.488376692	6.488540013
