cont1	cont2	bcpd	bcpd2
2-Methylpropanamine	3.74709237851533	3.92065300594306	4.01869313314242	3.03093152852957
Caranine	5.36728664844416	5.25114233103315	6.39257779600358	5.68033247458303
N-Carbamoylsarcosine	3.32874277517991	3.70737728950102	1.88075289513385	2.46963312573049
(R)-2-Hydroxypropyl-CoM	8.19056160427558	7.80337309613252	10.1809708182486	8.93797525506321
Ethylbenzene	5.65901554363072	5.14452322663562	6.05090454131855	3.72216371778328
D-Glucose	3.35906323176397	3.88332364340319	0.959089373859327	2.80435851087825
all-trans-Octaprenyl diphosphate	5.97485810485697	5.57884349338836	8.75580594989418	4.3591467339291
Dialkyl ketone	6.47664941025843	6.43312004672063	6.01895246500674	6.61946455406118
Sildenafil	6.15156270330698	5.91544492789633	6.44246866261272	7.9399484537322
3-Mercapto-2-mercaptomethylpropanoate	4.38922322568729	4.60603607164567	5.14244135255985	5.03798479524359
Pterostilbene	8.0235623369017	8.17768293201038	8.10235019787247	7.85945504387268
Luteolin 7-O-[beta-D-glucuronosyl-(1->2)-beta-D-glucuronide]	5.77968647282286	6.23096807475774	5.13072825195537	5.85129418003007
4,21-Dehydrogeissoschizine	3.75751883891639	4.68306735624867	3.51221045638776	5.51991066853342
Dolichodial	0.570600225645	0.831521323906672	1.9084494286613	0.573892359341184
Thiamin diphosphate	7.24986183628622	7.25965368841098	7.38673173005936	6.90911975293299
Sulfoglycolithocholate	4.91013278196954	4.43218070971958	2.44112421527887	4.61521137609206
2,5-Dichlorophenol	4.96761947380211	5.04028483823306	5.62066282262913	6.03487862163403
GD3	6.8876724213706	7.11091234243036	6.91186113088129	8.03816139196496
Ergocornine	6.64244239019618	6.38067749365119	6.26436103743084	5.1540746989879
N6-Methyl-L-lysine	6.18780264243502	5.84833241318453	6.44823462925412	5.57334055522214
Citalopram	6.83795474321644	6.9028077877258	5.57169167811185	7.03337942460843
Plastoquinol-1	6.56427260146213	6.34023979425593	6.60427998611051	5.84547577317767
Cerivastatin	5.14912996673038	5.34439547858329	4.85759375903797	4.36412247083596
Verrucarin A	1.02129660827325	0.651867678481503	0.301770816427562	1.1698905240273
Ferrocyanide	6.23965149578942	6.68967905944194	6.86974178780164	6.6546163546478
3-Methyl-2-butenal	4.887742520942	4.80308776373515	5.68752272428001	4.65936556947329
alpha-D-Xylose	4.68840898658934	4.5327865338515	5.64016081399851	3.37304577659093
Sodium sulfate	2.05849523220145	1.32728644035857	3.04611618396786	2.08132877379225
Sinapine	4.04369988978276	4.12917286711615	2.09835352927272	2.76475017200084
(S)-6-Hydroxynicotine	5.83588312039941	6.61992376239217	5.36788055905389	4.68235689620296
Inositol 1,2,3,5,6-pentakisphosphate	7.71735910305809	7.7131582384255	8.39690222373281	7.03405914957959
2-Chloro-4,4'-biphenyldiol	4.79442454531401	4.73844348887779	4.81954198823456	5.73515957053731
L-Arabinose 1-phosphate	5.77534322311874	5.10725968356211	6.70244036729588	4.14740562660855
Oplophorus luciferin	4.89238991883419	4.95875846126735	5.65152519589519	6.3285423212222
N-Acetyl-L-glutamate 5-phosphate	2.24588088634279	2.6845359607009	3.38059877791467	3.44218116766417
19-Hydroxytetrangulol	4.17001087340064	4.60120439038685	3.6636367380308	7.20504058221186
(R)-3-Hydroxybutanoate	4.2114200925793	4.2826240134008	4.19113889883862	3.86587343059012
Metal	4.88137320657763	5.08407285762536	5.5550709177525	5.85344104254771
Chloroethane	7.20005074396777	6.7812532152341	6.26518414409717	7.02341575537673
Amaralin	6.52635149691509	7.17615318990203	8.44979984347009	6.45863785291749
D-Galactose 6-phosphate	4.67095280749283	4.6999612630391	4.4178243406289	5.51256898558045
Tigecycline	4.49327663972698	5.30611593715025	3.10331758397244	4.67193983999582
beta-Cyclopiazonate	6.39392675080947	7.22572230689245	6.51821817044955	9.36568404376065
THF-L-glutamate	6.11332639734731	5.93511129840521	6.98152547150039	4.1209242473548
Polypodine B	3.62248861090096	3.87745417114225	2.84250794042397	4.30041368865399
Cypridina luciferin	3.58500968607576	3.60771185583743	1.79836749912699	3.39186336987441
beta-Eudesmol	5.72916392427366	5.90957922156858	4.85506279835722	6.62598501965082
Ether	6.53706584903083	6.91045695424429	5.3638400484871	7.60110031235761
5-Methyldeoxycytidine diphosphate	4.77530757569954	4.28763136487207	6.45752958508677	5.68546924229565
3-Carboxy-4-methoxy-N-methyl-2-pyridone	6.76221545290843	7.11873431075032	6.18462561417092	6.82531881515752
D-Galactono-1,4-lactone	5.79621176073414	6.18597383139194	5.91992361778773	5.93672968786612
2-(Acetamidomethylene)succinate	3.77594721349846	3.65953538528977	3.50247476687885	4.06609832609082
2-Oxobutanoate	5.68223938284885	6.24759306260178	7.56069360516358	7.31523102000144
3-Dehydroecdysone	2.74127380783841	2.64054306748655	4.28297065587201	2.53453080617863
N-Acetyl-D-mannosamine 6-phosphate	7.86604740340207	8.53364013918632	6.99816210928297	8.65032754881109
(1S,2S)-1,2-Dihydronaphthalene-1,2-diol	8.96079979701172	9.08357453745288	8.01928988638633	11.1739945346506
Acyl-sn-glycerol 3-phosphate	4.26555704706698	3.53391761506338	3.96029321832142	3.63194790628553
3-Dehydrosphinganine	2.91173074736694	3.36183697479797	5.2963725203234	2.98693339493686
Nalbuphine	6.13943925488483	6.32323352373877	6.07083025027287	7.60508411262122
4-Hydroxyaminoquinoline N-oxide	4.72989079223835	4.39623503211307	5.01606562610422	3.39476724336777
Deferoxamine	9.80323552100955	9.97148319195909	8.85540683925563	7.81961139141582
O-Propanoylcarnitine	4.92151999453366	4.66406045234266	5.05431830241924	5.9164591857816
Eriodictyol chalcone	6.37947872490155	6.37912468186487	5.025103971038	6.76186419808358
Propanoyl phosphate	5.05600431756133	4.73705461262912	6.89641188268285	3.91413611761932
