Compound ID,cont1,cont2,exp1,exp2
C02787,3.747092379,4.042738346,3.204570009,5.836792787
C08521,5.367286648,5.52193014,4.176950865,5.966795928
C01043,3.328742775,3.847301644,3.667924501,5.53288318
C11496,8.190561604,7.869138261,8.303670657,9.562586082
C07111,5.659015544,5.017965276,4.683662408,5.686997004
C00031,3.359063232,3.73236362,1.541950299,3.72717715
C04146,5.974858105,6.697293806,5.058426723,7.920546527
C02146,6.47664941,6.454047957,6.612654641,7.490867822
C07259,6.151562703,6.905927231,5.612674391,6.199137003
C04371,4.389223226,5.020576597,3.673781493,6.27561199
C10287,8.023562337,8.224476187,6.243797675,10.33401419
C12632,5.779686473,5.951652158,5.936300259,6.031193239
C03677,3.757518839,3.251260627,4.746403498,3.36436968
C09777,0.570600226,1.465093158,-0.209250382,0.624747345
C00068,7.249861836,7.382649187,6.3858051,7.861231855
C11301,4.910132782,4.854419828,4.517256403,5.4649079
C06602,4.967619474,4.673781944,5.262384607,4.9656562
C06133,6.887672421,5.776635316,6.370431156,5.841076551
C09162,6.64244239,6.513300807,7.146309708,5.596869424
C02728,6.187802642,5.773568053,6.870400845,6.131058183
C07572,6.837954743,6.859855803,6.679864948,5.44749032
C02185,6.564272601,7.181746569,8.585503815,7.277446456
C07966,5.149129967,5.534908468,3.694967616,5.401054321
C09746,1.021296608,0.288375469,0.251940063,0.675630777
C01913,6.239651496,6.292836033,6.54601578,9.014201144
C07330,4.887742521,4.474381706,3.728617571,4.278884395
C02205,4.688408987,3.997094101,5.005397858,5.366320872
C13199,2.058495232,1.594546819,0.654268812,0.635006477
C00933,4.04369989,3.486322449,3.187879433,3.231694231
C01056,5.83588312,5.435110542,5.485106468,5.186133183
C04579,7.717359103,8.25671588,7.63612877,7.341400688
C14191,4.794424545,4.08408999,4.339456323,3.226749776
C06238,5.775343223,5.923493101,6.556638548,5.480620868
C15037,4.892389919,4.909174153,3.95475021,5.277748974
C04133,2.245880886,2.192780691,3.091334222,1.085575763
C12399,4.170010873,4.164434063,3.908829708,3.307093849
C01089,4.211420093,4.065004372,3.95116345,4.149977616
C00050,4.881373207,4.839303628,5.220554933,3.694639685
C18248,7.200050744,7.864148495,5.921779478,7.409180273
C09291,6.526351497,7.148382546,5.21872751,8.284509283
C01113,4.670952807,4.848234784,4.606723576,5.012648787
C12012,4.49327664,4.317809951,5.456857019,4.806385701
C02899,6.393926751,6.877874133,6.993543918,8.332856326
C09332,6.113326397,5.544155999,5.427187211,2.657690512
C08834,3.622488611,3.598929545,2.405445332,4.897365548
C02825,3.585009686,3.666504206,3.066158169,3.216395398
C09664,5.729163924,6.026368178,5.921350837,5.354223594
C13240,6.537065849,6.385986276,5.831216603,5.706112305
C04187,4.775307576,5.726779646,4.403060534,5.062640719
C04447,6.762215453,6.40704267,6.166880588,7.009575445
C03383,5.796211761,5.381781261,7.882987569,4.057083415
C01215,3.775947213,4.723061783,3.227368063,4.512740918
C00109,5.682239383,5.906700999,7.893720321,8.36677671
C02513,2.741273808,2.562897787,3.060943902,0.383394242
C04257,7.866047403,7.492280799,8.485237055,7.163113167
C04514,8.960799797,9.15260042,8.579099053,8.692115233
C03849,4.265557047,4.360349267,4.343052628,3.215685323
C02934,2.911730747,2.375969784,3.61177704,1.297869609
