,cont1,cont2,exp1,exp2
C02787,3.74709237851533,3.92065300594306,4.01869313351533,3.03093152894306
C08521,5.36728664844416,5.25114233103315,6.39257779644416,5.68033247503315
C01043,3.32874277517991,3.70737728950102,1.88075289517991,2.46963312550102
C11496,8.19056160427558,7.80337309613252,10.1809708182756,8.93797525513252
C07111,5.65901554363072,5.14452322663562,6.05090454163072,3.72216371763562
C00031,3.35906323176397,3.88332364340319,0.94814129276397,2.79341043040319
C04146,5.97485810485697,5.57884349338836,8.75580594985697,4.35914673438836
C02146,6.47664941025843,6.43312004672063,6.01895246525843,6.61946455372063
C07259,6.15156270330698,5.91544492789633,6.44246866230698,7.93994845389633
C04371,4.38922322568729,4.60603607164567,5.14244135268729,5.03798479564567
C10287,8.0235623369017,8.17768293201038,8.1023501979017,7.85945504401038
C12632,5.77968647282286,6.23096807475774,5.13072825182286,5.85129417975774
C03677,3.75751883891639,4.68306735624867,3.51221045591639,5.51991066824867
C09777,0.570600225645,0.831521323906672,1.908449428645,0.573892358906672
C00068,7.24986183628622,7.25965368841098,7.38673173028622,6.90911975341098
C11301,4.91013278196954,4.43218070971958,2.44112421496954,4.61521137571958
C06602,4.96761947380211,5.04028483823306,5.62066282280211,6.03487862123306
C06133,6.8876724213706,7.11091234243036,6.9118611313706,8.03816139243036
C09162,6.64244239019618,6.38067749365119,6.26436103719618,5.15407469865119
C02728,6.18780264243502,5.84833241318453,6.44823462943502,5.57334055518453
C07572,6.83795474321644,6.9028077877258,5.57169167821644,7.0333794247258
C02185,6.56427260146213,6.34023979425593,6.60427998646213,5.84547577325593
C07966,5.14912996673038,5.34439547858329,4.85759375873038,4.36412247058329
C09746,1.02129660827325,0.651867678481503,0.301770816273254,1.1698905244815
C01913,6.23965149578942,6.68967905944194,6.86974178778942,6.65461635444194
C07330,4.887742520942,4.80308776373515,5.687522723942,4.65936556973515
C02205,4.68840898658934,4.5327865338515,5.64016081358934,3.3730457768515
C13199,2.05849523220145,1.32728644035857,3.04611618420145,2.08132877335857
C00933,4.04369988978276,4.12917286711615,2.09835352878276,2.76475017211615
C01056,5.83588312039941,6.61992376239217,5.36788055939941,4.68235689639217
C04579,7.71735910305809,7.7131582384255,8.39690222405809,7.0340591494255
C14191,4.79442454531401,4.73844348887779,4.81954198831401,5.73515957087779
C06238,5.77534322311874,5.10725968356211,6.70244036711874,4.14740562656211
C15037,4.89238991883419,4.95875846126735,5.65152519583419,6.32854232126735
C04133,2.24588088634279,2.6845359607009,1.64541688034279,1.5669565407009
C12399,4.17001087340064,4.60120439038685,3.66363673840064,7.20504058238685
C01089,4.2114200925793,4.2826240134008,4.1911388985793,3.8658734304008
C00050,4.88137320657763,5.08407285762536,5.55507091757763,5.85344104262536
C18248,7.20005074396777,6.7812532152341,6.26518414396777,7.0234157552341
C09291,6.52635149691509,7.17615318990203,8.44979984391509,6.45863785290203
C01113,4.67095280749283,4.6999612630391,4.41782434049283,5.5125689860391
C12012,4.49327663972698,5.30611593715025,3.10331758372699,4.67193984015025
C02899,6.39392675080947,7.22572230689245,6.51821817080947,9.36568404389245
C09332,6.11332639734731,5.93511129840521,6.98152547134731,4.12092424740521
C08834,3.62248861090096,3.87745417114225,2.84250794090096,4.30041368914225
C02825,3.58500968607576,3.60771185583743,1.79836749907576,3.39186336983743
C09664,5.72916392427366,5.90957922156858,4.85506279827366,6.62598501956858
C13240,6.53706584903083,6.91045695424429,5.36384004803083,7.60110031224429
C04187,4.77530757569954,4.28763136487207,6.45752958469954,5.68546924187207
C04447,6.76221545290843,7.11873431075032,6.18462561390843,6.82531881475032
C03383,5.79621176073414,6.18597383139194,5.91992361773414,5.93672968739194
C01215,3.77594721349846,3.65953538528977,3.50247476649846,4.06609832628977
C00109,5.68223938284885,6.24759306260178,6.76338294884885,6.55939651260178
C02513,2.74127380783841,2.64054306748655,4.28297065583842,2.53453080648655
C04257,7.86604740340207,8.53364013918632,6.13849068640207,7.79065612618632
C04514,8.96079979701172,9.08357453745288,8.01928988601172,11.1739945344529
C03849,4.26555704706698,3.53391761506338,3.96029321806698,3.63194790606338
C02934,2.91173074736694,3.36183697479797,5.29637252036694,2.98693339479797
C07251,6.13943925488483,6.32323352373877,6.07083024988483,7.60508411273877
C04050,4.72989079223835,4.39623503211307,5.01606562623835,3.39476724311307
C06940,9.80323552100955,9.97148319195909,8.85540683900955,7.81961139095909
C03017,4.92151999453366,4.66406045234266,5.05431830253366,5.91645918534266
C15525,6.37947872490155,6.37912468186487,5.02510397090155,6.76186419786487
C02876,5.05600431756133,4.73705461262912,6.89641188256133,3.91413611762912
C08267,3.51345358223519,3.71727336331385,4.55775005623519,4.77758726431385
C00488,5.37758459902869,5.31863371615052,5.07488871702869,7.18719010415052
C08230,1.39008274221792,1.37593303873205,1.18276095121792,2.00262573473205
C16677,7.93110972312577,7.86980643489405,6.59492687112577,8.17421650689405
C03338,5.3065066764238,5.83454312310291,6.6392349514238,6.30222161010291
C06459,9.34522334072431,9.34898724860656,9.58068804972431,9.38033725160656
C06461,5.95101905779932,6.06044481411912,5.76058487679933,6.85003024211912
C06885,3.58010713815637,3.87967567364137,3.60783277915637,2.91308556164137
C03719,6.22145270697811,6.63354397135034,4.99121702997811,7.06617059135034
C15808,3.1318047367115,2.93805320393057,3.4246462257115,4.26226828893057
C09145,2.4927331995218,2.19618478074947,2.4210006845218,2.16915290174947
C04087,5.58289247103493,5.99099701202024,6.36381098103493,4.27861035302024
C01641,4.11341625356313,4.14920659374323,5.40117428756313,5.69219061674323
C04508,5.00221070326325,5.63780240066617,4.66126674426325,5.09267312366617
C03032,5.14868264830333,4.86690690283285,5.07789325830333,4.37685347383285
C10631,3.82095810762386,3.51342007682869,4.07777158462386,3.40398894382869
C04007,3.862662534363,3.80409500994822,5.347408682363,3.56195362594822
C11489,4.72964276975234,4.56204434878779,6.75741019075234,6.52155107578779
C13814,7.35617399314641,7.95620730056236,7.05760230214641,8.58562475456236
C15850,1.95286639914048,1.41698322022626,-0.244932226859524,2.21640890822626
C02796,6.18789237525684,5.73155944052336,6.29304191425684,4.41913012152336
C09903,5.66590074242704,5.78381366758628,4.42022083842704,6.29422370058628
C02079,7.12619967455273,7.37748096350489,8.46679574555272,8.44001696950489
C06830,4.3916321527314,3.97250102305736,6.3509453607314,5.37600425905736
C06852,5.74003761983258,5.79195795452244,5.24500715883258,6.48822373152244
C00889,5.53419758154446,6.09641390061932,6.49361049354446,5.32919078961932
C13662,3.9149599380167,4.23179068511575,3.8090027480167,4.19881298211575
C05515,7.41573561196634,6.72788082856346,5.83819986596634,7.85320232356346
C11272,7.3208052313899,8.16578585629352,8.5788021363899,8.66216878929352
C05765,6.40042729903,6.07811724295128,4.48916181203,6.24355042295128
C14435,8.17366690908169,8.27079397414787,8.01204504608169,9.18067831714787
C05194,6.11697285113061,6.32763272225368,6.33848380713061,5.63462786025368
