ACCNUM	ENTREZID
EGK96886	1273521
XP_311556	1272655
XM_317645	1278109
XP_307499	1268922
EDO63755	1276571
XP_316205	1276813
XP_552406	3291440
EAA09228	1274656
XM_317513	1277993
XP_309807	1271062
XM_319404	1279640
XM_001231158	4577298
EGK96733	1273081
XP_314340	1275116
EAL41169	3289706
XP_320326	1280480
XM_003436974	1271707
EAA09173	1274449
XM_313615	1274483
EAA00707	1280868
XM_317276	1277779
XM_321172	1281232
XP_317327	1277823
EAA01307	1281885
EAA10150	1275676
XM_309838	1271092
XP_556128	3289982
XP_001230745	4577278
EAL39702	1278043
XM_311985	1273044
XP_001688829	1276879
XP_001687918	5666877
XP_313360	1274265
XM_001688507	5667363
XM_320829	1280955
EAU75779	4577541
Q7QGE0	1271274
XM_319496	1279726
EDO63384	5668183
XP_308987	1270304
EGK96989	1273930
XP_001237835	4576611
XP_316603	3290199
XP_552892	3291870
XP_318913	1279222
XM_001688788	1276918
XM_565221	3290281
EAU75736	4577351
XM_310610	1271757
Q7QC57	1273498
XP_003436714	1273926
XM_310433	1271607
XM_311150	1272266
XM_311930	1272996
XM_318638	1278983
EAA07213	1272570
XM_308859	1270182
XM_311023	1272145
XM_318795	1279124
XM_003436943	1271819
XP_315832	1276478
EAA15081	1280049
EDO63258	5667495
EAA00433	1280591
XM_315500	1276186
XM_003436730	1274448
XP_315685	1276348
XP_001688666	1276187
XM_311208	1272425
XM_552539	1280925
XP_314735	1275487
XM_312912	1273881
EAA13184	1278480
EDO63279	5667664
XP_320186	1280341
EAA43633	1279615
EAU77664	4576279
XM_556681	3290082
XP_553857	3292101
XP_308324	1269679
XP_315752	1276409
XM_318833	1279156
EAA14378	4578416
EDO63302	5668035
XM_003436183	11176071
XP_318287	1278668
XP_321543	1281601
XP_311399	1272486
XP_003436155	1273402
XM_321544	1281602
XP_001237605	4578084
XP_310641	1271787
XM_313574	1274449
XP_315543	1276226
XP_001238205	4578056
EDO64114	1274931
XP_003437124	1277396
EAA04246	1270205
EGK96973	11175942
EAL39849	3289990
XM_562969	1273869
XP_001687814	5668367
EGK97314	11176127
EGK97153	1274510
EAA13245	1278455
Q7PKC5	1280748
XM_001689267	5667753
XM_321001	1281066
XM_003436704	11175640
XP_317249	1277756
XM_560792	3292264
XM_563987	3291197
XM_308162	1269517
EAA06847	1272321
EDO64263	5667624
EGK97609	11176069
EAU76693	4578326
XP_003435904	1281485
XP_566247	1271637
EAL42262	3292561
XP_314297	1275071
EAA09348	1274967
EAA44115	1276614
XP_003436675	1278800
XM_003436498	1274317
EGK96425	11175915
XP_001689029	5668240
XP_001688705	5667385
XM_317601	1278067
XM_308489	1269838
EAA45039	1272294
XM_001237159	4576338
XP_003435856	1281671
EAA11203	1277002
XP_318367	1278739
XP_003436228	11175715
EAA11365	1276603
XM_003436679	11176149
Q7Q6K7	1276455
XM_319468	1279699
EAA00177	1280524
EAA04045	1269596
EAA04959	1270523
EAU76068	4578097
Q7QIK0	1270165
EAA00933	1281524
XP_001688159	5667272
EAA13673	1267439
EGK96531	11175771
XP_559663	1271606
XP_316574	1277135
XP_001687757	5666784
XM_309138	1270444
EAA05510	1271033
EAL39215	1279254
XM_552320	3291457
EAU77856	4397595
EAA43220	3290452
XM_003436313	11175761
XM_320850	1280976
XP_320730	3291433
XM_003437161	1278393
XP_316114	1276736
XM_309633	1270880
XM_001687829	1269636
XM_309606	1270900
EGK96769	11175884
XP_321111	1281173
XP_322035	1282040
XM_001230962	4576225
XM_001688587	1276041
EAA44374	1275572
XM_318463	1278827
XM_555189	3291691
XP_563692	3290627
XM_312855	1273833
EDO64559	5667373
XP_319944	1280136
EAA10743	1276378
XM_318928	1279236
XP_312149	1273195
XP_003435946	1281318
EAU77833	4578462
XM_320386	1280536
XM_310168	1271385
XP_313328	1274239
EDO64759	1270178
XM_308574	1269920
EAA07740	1273347
Q5TXQ4	3292273
XP_001689205	5668180
EAA11312	1276037
XP_003437030	1271658
XP_001687842	5667501
Q7Q0F9	1280287
Q7PR93	1273348
XP_308788	1270116
EAA14211	1279134
EAA04672	1270130
XM_551649	3290436
XM_313766	1274615
EDO63714	5667342
Q5TNC7	4578198
XM_555434	3291640
XM_312741	1273734
XP_001230998	4577006
XP_559533	3290895
EAA14079	1279318
XP_307998	1269369
EAL40311	1275666
XM_313256	1274174
XP_321844	1281874
XM_003436918	1271946
EGK96791	1273249
EAA08933	1274378
EAL39321	1279728
EAU75777	4577527
EAA01763	1281750
XM_315684	1276347
XM_003436502	11176041
XM_317806	1278378
XM_315363	1276058
XP_318816	1279141
XM_001688739	5667260
XP_311816	1272899
EAA14905	1280233
XP_308083	1269442
EAA03747	1269351
EAA09239	1274627
Q7PRB0	1273323
XP_317556	1278029
EAA09255	1274618
XM_001230326	4397627
EAU76095	1279501
XP_314327	1275097
EAA08046	1273372
EAA09427	1274779
EAA00623	1281010
XP_001688521	5667180
XP_556049	3289962
EGK96483	1271959
EAA01084	1281270
XM_320185	1280340
EAA43062	1281103
XP_311993	1273052
EAA00972	1281194
EAL39095	1280268
XM_003435818	11176124
XP_307768	1269162
XM_003436257	1273053
XM_312377	1273403
EDO64609	5667330
XM_001688476	1274911
XM_313802	1274650
XM_561173	3292578
XM_001230468	4397665
EAA07463	1273667
EAA04440	1270340
XP_319131	1279414
XP_551141	3290497
XP_313086	1274028
XP_001237910	4577935
XP_310400	1271578
XP_563881	3290603
XM_003435747	1281907
EAU76054	4578106
XP_003436393	1273768
Q7QJT2	1269582
EAU76327	4578099
XM_001688832	5667301
EAA00710	1280457
XM_321704	1281750
XM_315372	1276067
XM_308689	1270030
EAA00493	1280529
XM_321456	1281532
XM_316159	1276773
XP_003436880	1271057
XM_001689205	1280530
EAA07330	1272760
XM_313158	1274087
XP_003437001	1271779
EGK96306	11175717
XM_003436802	1274712
XM_317786	1278231
XP_320447	1280593
XP_321706	1281752
EDO63901	5667217
XP_309592	1270899
XP_312812	1273798
XM_309026	1270341
Q7PWU1	1279819
XP_312938	1273904
XM_319820	1280026
XP_312385	1273411
XM_307975	1269347
EAA00530	1280297
XM_003435723	1281968
XM_317590	1278057
XM_317277	1277780
EAU77136	4397728
EAA14679	1280102
XP_001689082	5667223
XM_319120	1279404
EAA11128	1276905
XP_001689320	5667789
EAA11574	1276860
XP_319953	1280143
Q7Q1Q1	1279072
EAL41768	5667171
EAA09222	1274583
EAU77002	4576953
XP_315623	1276298
XP_001688848	1276953
EDO63722	1276385
XM_001688536	5668281
XP_318870	1279189
XP_565111	3290302
XP_317625	1278088
XM_559415	3289748
EAA09972	1275242
XP_001688931	1277193
XP_316925	1277455
XP_001689025	5668128
EAA10500	1275818
XP_001687800	5668393
EAL41851	3290326
EAA11816	1277277
XM_316483	1277055
XM_001230585	4578080
EAA07402	1272779
EAA05635	1271118
XM_314285	1275103
XP_317251	1277758
Q7QE55	1272405
XP_313855	1274698
XM_003437139	1278631
XP_003437006	1271756
Q5TUB1	3290834
XM_319612	1279837
XM_321524	1281587
XM_555972	1276040
EAA13402	1278610
XP_311497	1272588
XM_315774	1276430
XM_309752	1271010
XM_319034	1279327
EDO64858	5667322
Q7Q678	1276666
XM_321794	1281829
EGK96998	11175787
EAA05506	1271053
XP_319631	1279852
XP_309659	1270931
XM_313426	1274324
XM_310164	1271382
XP_001238370	4577595
EAA06758	1272272
XP_001689246	5667958
EGK97362	11175796
EAL41843	1269905
XM_311350	1272400
XP_320907	1281345
XM_003437086	11175987
XM_317481	1277963
XM_320488	1280630
XM_312332	1273365
XP_001688518	1274881
XM_321445	1281522
XM_001687855	5667381
Q7PX44	1281965
XM_318287	1278668
EAA10958	1276414
XM_313461	1274353
EDO64087	1274802
XM_310462	1271697
EAL41666	1270438
XP_314074	1274884
EAA07350	1272802
EAA00616	1281009
Q7Q8T5	1275301
XM_003436426	1272791
XM_314292	1275106
XM_310386	1271564
XP_554957	3291729
XM_317022	1277554
XM_314169	1274967
EAA13137	1278440
EDO63271	5667583
XM_319815	1280021
XM_312987	1273932
XM_312935	1273901
EDO64640	5667050
XP_001688485	1274760
XM_317796	1278244
EDO63937	1277193
EGK96263	1270438
Q7QEC2	1272312
XM_321196	1281252
XP_312269	1273304
XM_316630	1277186
EAA07583	1273011
EDO64860	5668407
EGK97269	1276006
XP_562353	3290856
EAA12068	1277384
XM_001238368	1280864
EAA44691	4397582
XP_001687799	5668353
XP_314118	1274924
Q7QHJ0	1270719
XP_319601	1279826
XM_312093	1273141
XM_001230503	4578464
XM_309483	1270763
EDO63709	5667387
XM_003436931	11175461
XM_321013	1281076
EAA13793	1279631
XM_558222	3289865
XP_001238575	4577390
XM_316625	1277181
EGK97594	1281767
EAU77397	4578405
XP_308309	1269664
XP_316346	1276936
XM_001688985	5668219
XP_001689222	5668110
XP_003436882	11176050
XM_001237299	1271904
XM_001237406	4577309
XP_308773	1270102
EDO63387	5668258
XP_309633	1270880
XM_309687	1270951
XM_001688572	5667608
XP_558106	3291118
Q5TQU9	5667217
XM_314306	1275079
XP_001230636	4397725
XP_307841	1269229
XM_312366	1273396
EDO63819	1276847
XP_319726	1279939
XP_001688916	1277168
XM_563897	3290598
XP_317796	1278244
XM_313383	1274286
XP_319990	1280171
XM_311230	1272287
EAA07403	1272781
XP_316738	1277307
XP_321519	1281585
EAL39888	3290023
XP_308666	1270011
XM_318975	1279278
XP_001238101	4577966
XP_319458	1279691
EAA07962	1272951
XM_313371	1274275
XP_320239	1280392
XM_001230818	4577835
XP_321366	1281455
XM_001237949	4578215
XP_001688495	1274767
XM_001230406	4397811
XM_307305	1268741
XM_311451	1272539
XM_313691	1274550
XM_313564	1274443
XP_001687796	5668396
EDO64053	1274867
XP_003436515	1274198
EAA07607	1273026
EAL40805	3290711
XP_001689223	5668107
EAA01402	1281828
XM_318797	1279126
EAA13732	1278921
XP_318249	1278649
EAA06806	1272277
XM_315574	1276252
EDO63397	5668113
XP_308175	1269533
XM_307152	1268590
XM_316295	1276888
EAA03211	1268706
EDO63739	5667158
XP_319432	1279665
EAA07387	1272839
XM_001688219	5668132
EGK97122	1274388
XP_562218	1274610
Q7QBF4	1273865
EAA45424	1269863
EDO63515	1278512
XP_312948	1273913
EGK96879	11175507
EDO63445	5668088
EGK97168	1274580
XP_003436966	1271946
XM_321601	1281655
XM_312407	1273431
EAA09710	1275109
BK001474	1274937
Q7Q7F8	1276042
XP_555870	3289776
XM_310608	1271755
XP_321679	1281727
XP_318364	1278747
XP_003436391	1273768
EAA09213	1274663
EAA12401	5668319
XP_316103	1276725
XM_001688496	5667483
XM_003436062	11175449
XM_308536	1269880
XP_315337	1276030
EAA08081	1273532
EDO64807	5667516
EAA43664	1278744
XM_321425	1281503
Q7PVH9	1280237
EGK97474	1281318
EAA04497	1269952
XM_310775	1271918
XP_319167	1279448
XM_001688078	5667279
XM_558128	3291124
EGK97616	11175810
XM_320427	1280574
EAL39626	3291673
XM_560083	3290958
EAL39212	3292077
XP_310172	1271389
XM_308362	1269713
EAA11135	1276168
XP_318689	1279032
EAU76470	4576199
EAU78056	4397619
XM_320725	1280858
XP_319652	1279872
XP_319853	1280055
XP_001238509	4576821
XM_001230278	4397893
EAL42108	3292484
XP_003436400	1273796
EAA12278	1277861
EDO63608	5668177
XP_558882	3290836
EAA06186	1271693
XM_001230761	4576813
XP_314156	1274959
EDO64410	5667814
EAA12920	1278153
EAU77178	4577835
EAA01145	1281162
XM_311082	1272201
EGK97652	11175510
EAL39970	1276651
EAU76626	4576526
XP_559100	1272681
XP_553211	1280224
EAA03256	4576789
XP_001238142	4577930
XP_314067	1274878
EAU76599	4576221
EAA11272	1277211
EGK97532	1281600
EDO63607	5668175
EAA13011	1278318
EAA08138	1273507
XP_551275	1281631
EGK97277	1276187
XP_315922	1276559
XM_001688695	1276568
XM_321533	1281592
EDO64632	1269898
EAA14898	1279834
EAL40285	1275597
EAL40912	3290628
EAA14080	1279321
EAA06931	1272442
EAA00200	1280538
EAA08934	1274180
XM_001237516	4577229
XP_319900	1280097
XM_001688006	5666851
Q7QI82	1270348
EDO64201	5667500
EAL40588	1274221
EGK96547	1272230
EAA14394	1279301
XP_321641	1281691
XM_001688978	5668239
XM_001237037	4578480
XM_564866	3290356
Q7QC44	1273518
XM_308335	1269690
EGK96424	1271707
XP_003436138	11175965
XM_318076	1278482
XM_309438	1270719
XP_308861	1270184
XP_564160	1270609
XP_001230701	4577952
XM_311495	1272586
XP_317267	1277770
XP_319731	1279944
XP_309342	1270627
XP_560960	3292516
EGK96786	1273231
EAA12397	1277958
EAU76446	4576506
XM_319692	1279908
XM_001688492	1274967
EGK97085	11175927
XP_313426	1274324
EAA00765	1280851
XP_312283	1273317
EAL40721	3290757
EDO63614	5668253
EGK96442	1271769
EAA09182	1274680
XM_003436082	1273506
XM_307946	4577423
XP_314718	1275471
XP_557814	3291777
XP_003436087	1273655
EAA04795	1270406
EAA14064	1279324
XP_320281	1280428
XM_003436317	1272904
EAA05904	1271351
XM_312874	1273848
EAA04714	1270136
XM_001237354	1272191
EAU77865	4578453
XM_556304	3290015
XM_315509	1276193
XP_001688027	1269944
XP_001230616	4577125
XM_558992	3291092
EAA06037	1271540
XM_318655	1278999
XP_003436687	11176100
XP_003435730	1276544
XM_314350	3289859
XM_318070	1278477
EAA07483	1273664
EDO63343	5667996
XM_316305	1276898
XP_320378	1280528
XP_321456	1281532
XM_001237579	4577723
EAA11376	1276033
XM_321640	1281690
XP_321755	1281796
XM_315397	1276089
EAA09247	1274512
EGK96228	1269475
XM_001688239	1271667
XP_001237639	4576922
XP_001230737	4578026
XP_319021	1279315
XM_001687758	5668364
XP_320280	1280427
CBG05772	1275301
XM_320164	1280320
XM_001237565	4577813
XM_314677	1275434
EAA05175	1270692
XP_003436835	1274678
EAA10955	1276410
XM_311306	1272359
XM_308743	1270076
XP_003435982	11175587
EAA14868	1279958
EAA03027	1268850
EDO64791	1270271
EDO64514	5667245
EAA07202	1272618
EGK96676	11175597
XM_001688158	5667967
XP_319785	1279992
XM_321248	1281304
XP_321052	1281114
EAL38853	3291440
XM_564160	1270609
XM_320251	1280404
EAL39306	3292147
XP_001689240	5667960
XM_001237456	1273393
XP_001689016	5668341
EAA11416	1277260
EAL39678	3291627
XM_001238249	4578042
XM_313261	1274170
XP_312916	1273884
XM_552774	3291841
XM_556035	1276094
Q7PZH2	1280756
EAU75783	4577538
EGK97453	11175925
XM_315854	1276497
EAA09953	1275261
XP_562632	1273946
Q7PVP6	1280179
XP_001237723	4576397
XP_564580	1269580
XP_312944	1273910
EAU77434	4578434
XP_001238251	4578043
Q7PZT7	1280597
EDO64075	1274760
XM_003436128	11175596
EGK97443	1281194
XP_316016	1276646
EGK97064	11175506
XM_317948	1278325
XM_003436608	1269496
XP_003436843	1274700
EDO63437	5668086
EAA04622	1269745
XP_563520	3290656
EDO64511	1269545
EAU77716	4576573
XM_001688227	5667688
EDO63439	5668255
EAA43299	1280562
Q7Q5V5	1276853
XP_311869	1272944
XM_001689172	5668092
XM_320014	1280192
XP_317347	1277843
EAA13689	1278887
XM_312417	1273441
XP_001238471	4577314
XM_001230696	4577954
XM_001689033	5667395
EAA08616	1274041
XM_001237973	4578291
XM_001238251	4578027
XP_320550	1280688
XP_322016	1282021
XP_318666	1279009
XM_322006	1282012
EAA04617	1269751
EAA06422	1272113
XP_320833	1280959
XM_003435768	11175914
XM_319294	1279559
EAA00405	1280343
XM_001688620	1276193
EAA00298	1280403
XM_003436003	11175598
XM_307790	1269184
XM_311929	1272995
XM_315772	1276428
XM_559330	3289731
XM_003436746	1274510
EAU76958	4577440
EAA11381	1277285
XM_312095	1273143
XP_311299	1272353
XM_318379	1278754
EAA09162	1274709
EAL38891	1280925
EAA03943	1270021
XP_318581	1278930
EAL39198	3292064
XM_313289	1274203
XM_312550	1273560
XP_313952	3289894
EAA07056	1272525
XP_552734	3291831
XM_003435798	1281711
XM_312421	1273445
XM_001688632	1276270
XP_314652	1275410
XP_003436384	1273751
