mmu:106740	uncharacterized LOC106740
mmu:654309	Nrp; neural regeneration protein
mmu:100861531	Rn45s; 45S pre-ribosomal RNA
mmu:236598	Rn28s1, 28s; 28S ribosomal RNA
mmu:790956	Rs5-8s1; 5.8S ribosomal RNA
mmu:100048885	Gm2083; major urinary protein LOC100048885
mmu:266459	Gm5039, EG266459; eukaryotic translation initiation factor 1A pseudogene
mmu:626943	Pramef17, Gm13107, OTTMUSG00000010438; PRAME family member 17
mmu:17451	Mos, c-mos; Moloney sarcoma oncogene (EC:2.7.11.1); K04367 proto-oncogene serine/threonine-protein kinase mos [EC:2.7.11.1]
mmu:69952	Tunar, 2810011L19Rik, Tuna; Tcl1 upstream neural differentiation associated RNA
mmu:68260	Trmt12, 4632406N01Rik, AI449275, Tyw2; tRNA methyltranferase 12 (EC:2.5.1.114); K07055 tRNA wybutosine-synthesizing protein 2 [EC:2.5.1.114]
mmu:69109	Fam58b, 1810009O10Rik, Fam58a; family with sequence similarity 58, member B
mmu:434676	Scgb1b19, Abpa19, EG434676, Gm5632; secretoglobin, family 1B, member 19
mmu:668379	Scgb2b12, Abpbg12, EG668379, Gm9138; secretoglobin, family 2B, member 12
mmu:233099	Scgb2b27, Abpbg27, Abpbg5, Scgb2b5; secretoglobin, family 2B, member 27
mmu:626305	Scgb1b7, Abpa7, EG626305, Gm6662; secretoglobin, family 1B, member 7
mmu:384585	Scgb1b3, Abpa21, Abpa3, EG384585, Gm5325; secretoglobin, family 1B, member 3
mmu:384589	Scgb1b29, Abpa29, Abpa29_a7, EG384589, Gm5326; secretoglobin, family 1B, member 29
mmu:545947	Scgb2b19, Abpbg19, Gm5894; secretoglobin, family 2B, member 19
mmu:110187	Scgb2b26, Abpbg26, Abpbg4, Abpg, C2d, Scgb2b4; secretoglobin, family 2B, member 26
mmu:100043868	Scgb1b30, Abpa30, Gm12776, OTTMUSG00000008394; secretoglobin, family 1B, member 30
mmu:238568	Serpinb6d, Gm11390, OTTMUSG00000000712, SPI3D; serine (or cysteine) peptidase inhibitor, clade B, member 6d
mmu:103164605	Paupar; Pax6 upstream antisense RNA
mmu:100873092	Gm15679, OTTMUSG00000025218; predicted gene 15679
mmu:231603	A630023P12Rik; RIKEN cDNA A630023P12 gene
mmu:330183	Gm16063, G630008E18, OTTMUSG00000029664; predicted gene 16063
mmu:76003	Tmem150cos, 5830403M04Rik; transmembrane protein 150C, opposite strand
mmu:78212	Rbm46os, 4930444E23Rik, 4930564K09Rik, Lratos; RNA binding motif protein 46, opposite strand
mmu:100125931	Phtf1os, A130049A11Rik; putative homeodomain transcription factor 1, opposite strand
mmu:71033	4933406K04Rik, 4930426M03Rik, 4930485I22Rik, 4933427G14Rik; RIKEN cDNA 4933406K04 gene
mmu:73588	St8sia3os, 1700091E21Rik; ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 3, opposite strand
mmu:54218	B3galt4, Gal-T2, Galt2; UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 4 (EC:2.4.1.62); K00715 ganglioside galactosyltransferase [EC:2.4.1.62]
mmu:71306	Mfap3l, 4933428A15Rik, 5430405D20Rik, AI461995, AW125052, NYD-sp9, mKIAA0626; microfibrillar-associated protein 3-like
mmu:67334	Hypm, 1700054O13Rik, H2al3; huntingtin interacting protein M
mmu:319750	A230009B12Rik; RIKEN cDNA A230009B12 gene
mmu:791381	Gm15413, OTTMUSG00000021246; predicted gene 15413
mmu:100861987	Gm21379; predicted gene, 21379
mmu:545886	Gm5886, EG545886, smarp; predicted gene 5886
mmu:12606	Cebpa, C/ebpalpha, CBF-A, Cebp; CCAAT/enhancer binding protein (C/EBP), alpha; K09055 CCAAT/enhancer binding protein (C/EBP), alpha
mmu:21926	Tnf, DIF, TNF-a, TNF-alpha, TNFSF2, TNFalpha, Tnfa, Tnfsf1a; tumor necrosis factor; K03156 tumor necrosis factor superfamily, member 2
mmu:497113	Rnase11, Raj1; ribonuclease, RNase A family, 11 (non-active); K16633 ribonuclease 11 [EC:3.1.27.-]
mmu:18999	Pou5f1, NF-A3, Oct-3, Oct-3/4, Oct-4, Oct3, Oct3/4, Oct4, Otf-3, Otf-4, Otf3, Otf3-rs7, Otf3g, Otf4; POU domain, class 5, transcription factor 1; K09367 POU domain transcription factor, class 5
