exp1	exp2	exp3	exp4	exp5	exp6
AGAP004484-PA	-0.808759285941834	0.214515717867882	1.04563297106998	0.343053809469725	-1.66680003805296	0.405970788053576
AGAP002370-PA	0.117868821318868	-0.986925865182219	-1.04892249917142	-0.148318282395939	-1.73994086304664	-0.714780542889192
AGAP010133-PA	2.4878660608345	-0.213306710849164	-0.272674905456775	-0.842059206178942	-0.241756190804785	0.00225351992183332
AGAP007338-PA	-0.369737814117382	0.510587380483217	1.46390874958676	0.192487636386756	0.283570338280011	1.21991003795031
AGAP008117-PA	0.173078681745478	0.180069129385959	1.97391160169782	0.685491293635962	0.54984527527871	-0.355043272249231
AGAP007847-PA	-0.905659880937303	0.249150056377323	-2.1118038243597	0.875295497853949	-0.378172615750882	-1.28948993000992
AGAP003382-PA	0.171996286672742	1.37791252542467	2.37229666543635	1.8460792554756	-0.271691327516049	-0.809550943742401
AGAP005340-PA	0.279854358078152	1.88724084908884	0.148725937002921	1.22666284261025	1.92083322441743	-0.299976404381087
AGAP010007-PA	-2.88090438413302	2.10597651699832	-0.0846077891874207	0.551420449576459	-1.434296409467	-1.02907651003153
AGAP000287-PA	-0.0818029096406934	0.48548038902665	1.04386560388763	-0.277773357900582	2.2770151299105	-0.13132341890473
AGAP011830-PA	-0.747195184843892	-0.19272195258047	-0.2805360375832	-1.41467976371915	0.631828996348631	-0.713242569916508
AGAP006917-PA	-0.0584684550532955	0.5035244808594	-2.21509620779431	1.22857932109788	0.750012743296083	-0.453795888945726
AGAP004210-PA	-0.812215970783693	0.170512921876051	-1.40786027963228	-0.212320866487989	-0.379637192532195	-0.553555368682939
AGAP005861-PB	-0.372997353370027	1.43551052632845	-0.0784958553667966	1.86204817293163	1.48855033415932	0.365823933575646
AGAP008868-PA	0.566078711218783	-0.714153010651041	-0.34834498394736	-0.691733111982782	-0.904871339144525	-0.969055121382259
AGAP001565-PA	0.759821978817423	1.00016666950156	-2.46182410284662	-0.0883948824607756	-0.0492486370971123	-0.63867257432287
AGAP010455-PA	1.37064329871514	1.15846939882235	0.346952602713908	1.1134466532694	1.05916207449884	1.72580300182257
AGAP004918-PA	1.34450458867365	-0.434583705850295	1.87637103087525	1.32152811466089	-0.104146500682704	-1.98479811996623
AGAP004951-PA	2.76643516469459	1.00183039413459	0.198639059120329	1.49760141573751	-1.69234639552599	-0.701905466852198
AGAP001199-PA	-0.248750317843413	1.30117061867042	-0.288932077822174	-0.484599142928576	-0.0863085003628638	-1.01766446338991
AGAP009827-PA	-0.143379023260603	1.75372624092751	-0.0956019205989328	0.761280967750133	-1.15119610318335	-0.416929766822026
AGAP006321-PA	-1.0666192472356	0.661858730111504	-0.131114396585498	1.17842831644829	-1.97670530990283	1.58333293170179
