kegg.names labels type x y width height DCIS_1 DCIS_2 DCIS_3 DCIS_1.col DCIS_2.col DCIS_3.col
37 2821 GPI gene 202 351 46 17 0.238322181255011 0.797321547498954 0.266118981111445 #D3D3D3 #D3D3D3 #D3D3D3
40 64080 RBKS gene 401 663 46 17 0.335551523978497 0.138031710980633 -0.085745085914974 #D3D3D3 #9EDE9E #9EDE9E
41 55276 PGM2 gene 402 695 46 17 NA NA NA #FFFFFF #FFFFFF #FFFFFF
42 51071 DERA gene 262 695 46 17 -0.307646944612676 0.26767813497128 0.0407953372371068 #6AE96A #D3D3D3 #9EDE9E
43 5631 PRPS1 gene 530 567 46 17 0.409671687902184 -0.604050237427636 -0.425616483293882 #D3D3D3 #35F435 #35F435
44 55276 PGM2 gene 628 541 46 17 NA NA NA #FFFFFF #FFFFFF #FFFFFF
45 64080 RBKS gene 628 520 46 17 0.335551523978497 0.138031710980633 -0.085745085914974 #D3D3D3 #9EDE9E #9EDE9E
46 7086 TKT gene 420 560 46 17 -0.406005320298962 0.356271945102659 0.556879252801589 #35F435 #D3D3D3 #D3D3D3
47 22934 RPIA gene 530 485 46 17 0.590982584444614 0.122225432117396 -0.0886213322658289 #D3D3D3 #9EDE9E #9EDE9E
48 6120 RPE gene 476 446 46 17 0.0611647758643148 0.144014914441138 0.0379060916057963 #9EDE9E #9EDE9E #9EDE9E
49 7086 TKT gene 305 446 46 17 -0.406005320298962 0.356271945102659 0.556879252801589 #35F435 #D3D3D3 #D3D3D3
50 226 ALDOA gene 200 562 46 17 -0.388237477631728 0.594445759055217 0.700600330758449 #6AE96A #D3D3D3 #D3D3D3
51 5211 PFKL gene 176 493 46 17 -1.6437603397521 -0.248543197225825 1.02894927523458 #00FF00 #6AE96A #DE9E9E
52 2203 FBP1 gene 140 470 46 17 0.688871918821174 0.0365654182199666 -0.431164688223347 #D3D3D3 #9EDE9E #35F435
53 2821 GPI gene 202 417 46 17 0.238322181255011 0.797321547498954 0.266118981111445 #D3D3D3 #D3D3D3 #D3D3D3
56 5226 PGD gene 504 363 46 17 0.0762552023988725 0.100708778945994 0.0429416183118327 #9EDE9E #9EDE9E #9EDE9E
57 25796 PGLS gene 451 320 46 17 -0.521880311239924 0.618706906283071 0.144030734523349 #35F435 #D3D3D3 #9EDE9E
58 2539 G6PD gene 280 310 46 17 -0.0528374109888352 0.138784959543546 0.0854596185153289 #9EDE9E #9EDE9E #9EDE9E
62 414328 IDNK gene 534 241 46 17 NA NA NA #FFFFFF #FFFFFF #FFFFFF
64 9104 RGN gene 421 156 46 17 0.953038138728306 -2.06510323340914 -2.20049753126435 #DE9E9E #00FF00 #00FF00
77 6888 TALDO1 gene 364 526 46 17 0.480698193940102 0.700215621724597 0.0595358575031035 #D3D3D3 #D3D3D3 #9EDE9E
78 5236 PGM1 gene 628 562 46 17 0.156322795296463 -0.102349742908553 -0.162988474019395 #9EDE9E #6AE96A #6AE96A
97 9563 H6PD gene 359 294 46 17 -0.0902634962139812 -0.165527157009936 0.0202662160011844 #9EDE9E #6AE96A #9EDE9E
156 5226 PGD gene 554 363 46 17 0.0762552023988725 0.100708778945994 0.0429416183118327 #9EDE9E #9EDE9E #9EDE9E
